Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688907583492,-147,4177
1688907583501,-147,4177
1688907583508,-147,4177
1688907583518,-147,4177
1688907583526,-147,4177
1688907583533,-147,4177
1688907583541,-147,4177
1688907583548,-147,4177
1688907583556,-147,4177
1688907583561,-147,4177
1688907583567,-147,4177
1688907583574,-147,4177
1688907583581,-147,4177
1688907583588,-147,4177
1688907583595,-147,4177
1688907583602,-147,4177
1688907583609,-147,4177
1688907583615,-147,4177
1688907583623,-147,4177
1688907583630,-147,4177
1688907583637,-147,4177
1688907583644,-147,4177
1688907583650,-147,4177
1688907583655,-147,4177
1688907583660,-147,4177
1688907583665,-147,4177
1688907583670,-147,4177
1688907583675,-147,4177
1688907583680,-147,4177
1688907583685,-147,4177
1688907583690,-147,4177
1688907583694,-147,4177
1688907583700,-147,4177
1688907583705,-147,4177
1688907583710,-147,4177
1688907583715,-147,4177
1688907583720,-147,4177
1688907583725,-147,4177
1688907583730,-147,4177
1688907583734,-147,4177
1688907583740,-147,4177
1688907583745,-147,4177
1688907583752,-147,4177
1688907583757,-147,4177
1688907583763,-147,4177
1688907583769,-147,4177
1688907583775,-147,4177
1688907583781,-147,4177
1688907583787,-147,4177
1688907583793,-147,4177
1688907583799,-147,4177
1688907583805,-147,4177
1688907583811,-147,4177
1688907583817,-147,4177
1688907583823,-147,4177
1688907583829,-147,4177
1688907583836,-147,4177
1688907583842,-147,4177
1688907583848,-147,4177
1688907583855,-147,4177
1688907583861,-147,4177
1688907583868,-147,4177
1688907583874,-147,4177
1688907583880,-147,4177
1688907583887,-147,4177
1688907583894,-147,4177
1688907583900,-147,4177
1688907583907,-147,4177
1688907583913,-147,4177
1688907583919,-147,4177
1688907583926,-147,4177
1688907583932,-147,4177
1688907583939,-147,4177
1688907583945,-147,4177
1688907583951,-147,4177
1688907583957,-147,4177
1688907583963,-147,4177
1688907583969,-147,4177
1688907583975,-147,4177
1688907583982,-147,4177
1688907583988,-147,4177
1688907583994,-147,4177
1688907584000,-147,4177
1688907584007,-147,4177
1688907584014,-147,4177
1688907584023,-147,4177
1688907584032,-147,4177
1688907584040,-147,4177
1688907584049,-147,4177
1688907584058,-147,4177
1688907584067,-147,4177
1688907584077,-147,4177
1688907584085,-147,4177
1688907584091,-147,4177
1688907584098,-147,4177
1688907584106,-147,4177
1688907584116,-147,4177
1688907584126,-147,4177
1688907584133,-147,4177
1688907584140,-147,4177
1688907584146,-147,4177
1688907584153,-147,4177
1688907584160,-147,4177
1688907584166,-147,4177
1688907584173,-147,4177
1688907584180,-147,4177
1688907584186,-147,4177
1688907584193,-147,4177
1688907584200,-147,4177
1688907584206,-147,4177
1688907584213,-147,4177
1688907584219,-147,4177
1688907584226,-147,4177
1688907584232,-147,4177
1688907584239,-147,4177
1688907584246,-147,4177
1688907584252,-147,4177
1688907584259,-147,4177
1688907584266,-147,4177
1688907584272,-147,4177
1688907584278,-147,4177
1688907584285,-147,4177
1688907584294,-147,4177
1688907584304,-147,4177
1688907584312,-147,4177
1688907584320,-147,4177
1688907584327,-147,4177
1688907584334,-147,4177
1688907584340,-147,4177
1688907584347,-147,4177
1688907584353,-147,4177
1688907584360,-147,4177
1688907584367,-147,4177
1688907584373,-147,4177
1688907584381,-147,4177
1688907584388,-147,4177
1688907584395,-147,4177
1688907584401,-147,4177
1688907584408,-147,4177
1688907584414,-147,4177
1688907584421,-147,4177
1688907584428,-147,4177
1688907584437,-147,4177
1688907584446,-147,4177
1688907584455,-147,4177
1688907584465,-147,4177
1688907584474,-147,4177
1688907584483,-147,4177
1688907584490,-147,4177
1688907584497,-147,4177
1688907584504,-147,4177
1688907584511,-147,4177
1688907584518,-147,4177
1688907584524,-147,4177
1688907584532,-147,4177
1688907584538,-147,4177
1688907584545,-147,4177
1688907584552,-147,4177
1688907584559,-147,4177
1688907584565,-147,4177
1688907584572,-147,4177
1688907584578,-147,4177
1688907584585,-147,4177
1688907584591,-147,4177
1688907584598,-147,4177
1688907584604,-147,4177
1688907584610,-147,4177
1688907584616,-147,4177
1688907584623,-147,4177
1688907584629,-147,4177
1688907584635,-147,4177
1688907584641,-147,4177
1688907584647,-147,4177
1688907584654,-147,4177
1688907584660,-147,4177
1688907584666,-147,4177
1688907584672,-147,4177
1688907584679,-147,4177
1688907584685,-147,4177
1688907584691,-147,4177
1688907584698,-147,4177
1688907584704,-147,4177
1688907584710,-147,4177
1688907584716,-147,4177
1688907584723,-147,4177
1688907584729,-147,4177
1688907584735,-147,4177
1688907584741,-147,4177
1688907584747,-147,4177
1688907584753,-147,4177
1688907584759,-147,4177
1688907584765,-147,4177
1688907584771,-147,4177
1688907584777,-147,4177
1688907584783,-147,4177
1688907584797,-147,4177
1688907584804,-147,4177
1688907584810,-147,4177
1688907584815,-147,4177
1688907584820,-147,4177
1688907584825,-147,4177
1688907584830,-147,4177
1688907584834,-147,4177
1688907584838,-147,4177
1688907584843,-147,4177
1688907584847,-147,4177
1688907584852,-147,4177
1688907584857,-147,4177
1688907584861,-147,4177
1688907584866,-147,4177
1688907584871,-147,4177
1688907584876,-147,4177
1688907584881,-147,4177
1688907584887,-147,4177
1688907584892,-147,4177
1688907584898,-147,4177
1688907584903,-147,4177
1688907584909,-147,4177
1688907584915,-147,4177
1688907584921,-147,4177
1688907584926,-147,4177
1688907584932,-147,4177
1688907584937,-147,4177
1688907584943,-147,4177
1688907584949,-147,4177
1688907584954,-147,4177
1688907584960,-147,4177
1688907584965,-147,4177
1688907584970,-147,4177
1688907584976,-147,4177
1688907584982,-147,4177
1688907584987,-147,4177
1688907584993,-147,4177
1688907584999,-147,4177
1688907585005,-147,4177
1688907585010,-147,4177
1688907585018,-147,4177
1688907585027,-147,4177
1688907585035,-147,4177
1688907585043,-147,4177
1688907585048,-147,4177
1688907585054,-147,4177
1688907585060,-147,4177
