Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688337035671,-148,3991
1688337036685,-148,3991
1688337037698,-148,3991
1688337038712,-148,3991
1688337039727,-148,3991
1688337040740,-148,3991
1688337041751,-148,3991
1688337042758,-148,3991
1688337043772,-148,3991
1688337044785,-148,3991
1688337045799,-148,3991
1688337046813,-148,3991
1688337047827,-148,3991
1688337048841,-148,3991
1688337049855,-148,3991
1688337050867,-148,3991
1688337051877,-148,3991
1688337052888,-88,3991
1688337053901,-88,3992
1688337054913,-88,3992
1688337055926,-88,3992
1688337056940,-88,3992
1688337057953,-88,3992
1688337058967,-88,3992
1688337059980,-88,3992
1688337060996,-88,3992
1688337062009,-88,3992
1688337063023,-88,3992
1688337064035,-88,3992
1688337065048,-88,3992
1688337066055,-88,3992
1688337067067,-88,3992
1688337068079,-88,3992
1688337069093,-88,3992
1688337070105,-88,3992
1688337071118,-88,3992
1688337072128,-88,3992
1688337073141,-88,3992
1688337074151,-88,3992
1688337075164,-88,3992
1688337076177,-88,3992
1688337077190,-88,3992
1688337078203,-88,3992
1688337079208,-88,3992
1688337080221,-88,3992
1688337081233,-88,3992
1688337082246,-88,3992
1688337083254,-140,3984
1688337084267,-140,3984
1688337085279,-140,3984
1688337086292,-140,3984
1688337087306,-140,3984
1688337088319,-140,3984
1688337089332,-140,3984
1688337090344,-140,3984
1688337091357,-140,3984
1688337092370,-140,3984
1688337093379,-140,3984
1688337094386,-140,3984
1688337095398,-140,3984
