Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688336900907,-95,3990
1688336901923,-142,3992
1688336902930,-142,3992
1688336903944,-142,3992
1688336904957,-142,3992
1688336905971,-142,3992
1688336906985,-142,3992
1688336907999,-142,3992
1688336909007,-142,3992
1688336910014,-142,3992
1688336911028,-142,3992
1688336912041,-142,3992
1688336913055,-142,3992
1688336914070,-142,3992
1688336915084,-142,3992
1688336916097,-142,3992
1688336917111,-142,3992
1688336918124,-142,3992
1688336919138,-142,3992
1688336920151,-142,3992
1688336921166,-142,3992
1688336922179,-142,3992
1688336923192,-142,3992
1688336924205,-142,3992
1688336925217,-142,3992
1688336926225,-142,3992
1688336927238,-142,3992
1688336928251,-142,3992
1688336929258,-142,3992
1688336930270,-142,3992
1688336931279,-142,3992
1688336932292,-155,4000
1688336933305,-155,4000
1688336934318,-155,4000
1688336935331,-155,4000
1688336936344,-155,4000
1688336937357,-155,4000
1688336938369,-155,4000
1688336939381,-155,4000
1688336940388,-155,4000
1688336941400,-155,4000
1688336942413,-155,4000
1688336943427,-155,4000
1688336944439,-155,4000
1688336945452,-155,4000
1688336946459,-155,4000
1688336947471,-155,4000
1688336948484,-155,4000
1688336949495,-155,4000
1688336950508,-155,4000
1688336951520,-155,4000
1688336952533,-155,4000
1688336953545,-155,4000
1688336954558,-155,4000
1688336955571,-155,4000
1688336956583,-155,4000
1688336957590,-155,4000
1688336958603,-155,4000
1688336959615,-155,4000
1688336960628,-155,4000
1688336961636,-155,4000
