Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683454291418,false,true,-2147483648,93,510000,189375,-2147483648,2276000,3,2276000,510000,93,93,2276000,189375,510000,-2147483648,3,510000,189375,-2147483648,93,2276000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454291944,false,true,-2147483648,93,183125,199375,-2147483648,2276000,3,2276000,183125,93,93,2276000,199375,183125,-2147483648,3,183125,199375,-2147483648,93,2276000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454292485,false,true,-2147483648,93,95937,198437,-2147483648,2276000,3,2276000,95937,93,93,2276000,198437,95937,-2147483648,3,95937,198437,-2147483648,93,2276000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454293027,false,true,-2147483648,93,168437,195000,-2147483648,2276000,3,2276000,168437,93,93,2276000,195000,168437,-2147483648,3,168437,195000,-2147483648,93,2276000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454293571,false,true,-2147483648,93,327500,192187,-2147483648,2276000,3,2276000,327500,93,93,2276000,192187,327500,-2147483648,3,327500,192187,-2147483648,93,2276000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454294122,false,true,-2147483648,93,181250,196250,-2147483648,2275000,3,2275000,181250,93,93,2275000,195937,181250,-2147483648,3,181250,195937,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454294677,false,true,-2147483648,93,134375,192500,-2147483648,2275000,3,2275000,134375,93,93,2275000,192500,134375,-2147483648,3,134375,192500,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454295198,false,true,-2147483648,93,168125,190000,-2147483648,2275000,3,2275000,168125,93,93,2275000,190000,168125,-2147483648,3,168125,190000,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454295751,false,true,-2147483648,93,91562,187500,-2147483648,2275000,3,2275000,91562,93,93,2275000,187500,91562,-2147483648,3,91562,187500,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454296295,false,true,-2147483648,93,106562,182187,-2147483648,2275000,3,2275000,106562,93,93,2275000,182187,106562,-2147483648,3,106562,182187,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454296841,false,true,-2147483648,93,108750,182187,-2147483648,2275000,3,2275000,108750,93,93,2275000,182187,108750,-2147483648,3,108750,182187,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454297381,false,true,-2147483648,93,136562,178437,-2147483648,2275000,3,2275000,136562,93,93,2275000,178437,136562,-2147483648,3,136562,178437,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454297923,false,true,-2147483648,93,100312,176875,-2147483648,2275000,3,2275000,100312,93,93,2275000,176875,100312,-2147483648,3,100312,176875,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454298458,false,true,-2147483648,93,204375,173750,-2147483648,2275000,3,2275000,204375,93,93,2275000,173750,204375,-2147483648,3,204375,173750,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454299023,false,true,-2147483648,93,653125,174687,-2147483648,2275000,3,2275000,653125,93,93,2275000,174687,653125,-2147483648,3,653125,189687,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454299561,false,true,-2147483648,93,171875,186875,-2147483648,2275000,3,2275000,171875,93,93,2275000,186875,171875,-2147483648,3,171875,186875,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454300110,false,true,-2147483648,93,183437,186250,-2147483648,2275000,3,2275000,183437,93,93,2275000,186250,183437,-2147483648,3,183437,186250,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454300647,false,true,-2147483648,93,170625,183437,-2147483648,2275000,3,2275000,170625,93,93,2275000,183437,170625,-2147483648,3,170625,183437,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
1683454301191,false,true,-2147483648,93,680000,198437,-2147483648,2275000,3,2275000,680000,93,93,2275000,198437,680000,-2147483648,3,680000,198437,-2147483648,93,2275000,2,17303567,93,0,100,3,Li-ion,290,4207
