Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683453912266,false,true,-2147483648,94,320625,200625,-2147483648,2296000,3,2296000,320625,94,94,2296000,200625,320625,-2147483648,3,320625,200625,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453912809,false,true,-2147483648,94,208750,204375,-2147483648,2296000,3,2296000,208750,94,94,2296000,204375,208750,-2147483648,3,208750,204375,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453913359,false,true,-2147483648,94,103750,205000,-2147483648,2296000,3,2296000,103750,94,94,2296000,205000,103750,-2147483648,3,103750,205000,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453913898,false,true,-2147483648,94,184062,201250,-2147483648,2296000,3,2296000,144687,94,94,2296000,201250,144687,-2147483648,3,144687,201250,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453914434,false,true,-2147483648,94,159062,199687,-2147483648,2296000,3,2296000,159062,94,94,2296000,199687,159062,-2147483648,3,159062,199687,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453914982,false,true,-2147483648,94,116250,197187,-2147483648,2296000,3,2296000,116250,94,94,2296000,197187,116250,-2147483648,3,116250,197187,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453915519,false,true,-2147483648,94,105312,194687,-2147483648,2296000,3,2296000,105312,94,94,2296000,194687,105312,-2147483648,3,105312,194687,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453916043,false,true,-2147483648,94,112187,190937,-2147483648,2296000,3,2296000,112187,94,94,2296000,190937,112187,-2147483648,3,112187,190937,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453916583,false,true,-2147483648,94,134375,188437,-2147483648,2296000,3,2296000,134375,94,94,2296000,188437,134375,-2147483648,3,134375,188437,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453917138,false,true,-2147483648,94,107187,185937,-2147483648,2296000,3,2296000,107187,94,94,2296000,185937,107187,-2147483648,3,107187,185937,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453917678,false,true,-2147483648,94,110625,181250,-2147483648,2296000,3,2296000,110625,94,94,2296000,181250,110625,-2147483648,3,110625,181250,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453918239,false,true,-2147483648,94,119375,186250,-2147483648,2296000,3,2296000,119375,94,94,2296000,186250,119375,-2147483648,3,119375,186250,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453918784,false,true,-2147483648,94,121250,182187,-2147483648,2296000,3,2296000,121250,94,94,2296000,182187,121250,-2147483648,3,121250,182187,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453919333,false,true,-2147483648,94,115625,184062,-2147483648,2296000,3,2296000,115625,94,94,2296000,184062,115625,-2147483648,3,115625,184062,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453919877,false,true,-2147483648,94,595000,180000,-2147483648,2296000,3,2296000,595000,94,94,2296000,180000,595000,-2147483648,3,595000,180000,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453920434,false,true,-2147483648,94,73750,192812,-2147483648,2296000,3,2296000,73750,94,94,2296000,192812,73750,-2147483648,3,73750,192812,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453921002,false,true,-2147483648,94,157500,186562,-2147483648,2296000,3,2296000,157500,94,94,2296000,186562,157500,-2147483648,3,157500,186562,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453921549,false,true,-2147483648,94,164375,185000,-2147483648,2296000,3,2296000,164375,94,94,2296000,185000,164375,-2147483648,3,164375,185000,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453922094,false,true,-2147483648,94,567500,182187,-2147483648,2296000,3,2296000,567500,94,94,2296000,182187,567500,-2147483648,3,567500,182187,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453922640,false,true,-2147483648,94,169062,193437,-2147483648,2296000,3,2296000,169062,94,94,2296000,193437,169062,-2147483648,3,169062,193437,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453923187,false,true,-2147483648,94,147500,191875,-2147483648,2296000,3,2296000,147500,94,94,2296000,191875,147500,-2147483648,3,147500,191875,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453923724,false,true,-2147483648,94,105625,189687,-2147483648,2296000,3,2296000,105625,94,94,2296000,189687,105625,-2147483648,3,105625,189687,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453924266,false,true,-2147483648,94,340000,187187,-2147483648,2296000,3,2296000,340000,94,94,2296000,187187,340000,-2147483648,3,340000,187187,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453924815,false,true,-2147483648,94,129687,191250,-2147483648,2296000,3,2296000,129687,94,94,2296000,191250,129687,-2147483648,3,129687,191250,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453925364,false,true,-2147483648,94,115312,189375,-2147483648,2296000,3,2296000,115312,94,94,2296000,187187,115312,-2147483648,3,115312,187187,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453925919,false,true,-2147483648,94,73437,185937,-2147483648,2296000,3,2296000,73437,94,94,2296000,185937,73437,-2147483648,3,73437,185937,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453926477,false,true,-2147483648,94,329375,187187,-2147483648,2296000,3,2296000,329375,94,94,2296000,187187,329375,-2147483648,3,329375,187187,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453927007,false,true,-2147483648,94,109375,185312,-2147483648,2296000,3,2296000,109375,94,94,2296000,185312,109375,-2147483648,3,109375,185312,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453927546,false,true,-2147483648,94,93750,180312,-2147483648,2296000,3,2296000,93750,94,94,2296000,180312,132187,-2147483648,3,132187,180312,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453928100,false,true,-2147483648,94,174687,178750,-2147483648,2296000,3,2296000,174687,94,94,2296000,178750,174687,-2147483648,3,174687,178750,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453928640,false,true,-2147483648,94,130937,179375,-2147483648,2296000,3,2296000,130937,94,94,2296000,179375,130937,-2147483648,3,130937,179375,-2147483648,94,2296000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453929173,false,true,-2147483648,94,267500,177812,-2147483648,2295000,3,2295000,267500,94,94,2295000,177812,267500,-2147483648,3,267500,177812,-2147483648,94,2295000,2,17303567,94,0,100,3,Li-ion,287,4214
1683453929713,false,true,-2147483648,94,123437,179687,-2147483648,2295000,3,2295000,123437,94,94,2295000,179687,123437,-2147483648,3,123437,179687,-2147483648,94,2295000,2,17303567,94,0,100,3,Li-ion,287,4214
