Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683451258754,false,true,-2147483648,99,744375,213750,-2147483648,2425000,3,2425000,744375,99,99,2425000,213750,744375,-2147483648,3,744375,213750,-2147483648,99,2425000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451259280,false,true,-2147483648,99,225625,230312,-2147483648,2424000,3,2424000,225625,99,99,2424000,230312,225625,-2147483648,3,225625,230312,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451259802,false,true,-2147483648,99,190625,229375,-2147483648,2424000,3,2424000,190625,99,99,2424000,229375,190625,-2147483648,3,190625,229375,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451260355,false,true,-2147483648,99,236562,228437,-2147483648,2424000,3,2424000,236562,99,99,2424000,228437,236562,-2147483648,3,236562,228437,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451260890,false,true,-2147483648,99,100625,224375,-2147483648,2424000,3,2424000,100625,99,99,2424000,224375,100625,-2147483648,3,100625,224375,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451261436,false,true,-2147483648,99,154687,218437,-2147483648,2424000,3,2424000,154687,99,99,2424000,218437,154687,-2147483648,3,154687,218437,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451261981,false,true,-2147483648,99,106250,217187,-2147483648,2424000,3,2424000,106250,99,99,2424000,217187,106250,-2147483648,3,106250,217187,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451262509,false,true,-2147483648,99,251875,215000,-2147483648,2424000,3,2424000,136562,99,99,2424000,215000,136562,-2147483648,3,136562,215000,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451263045,false,true,-2147483648,99,109375,212500,-2147483648,2424000,3,2424000,109375,99,99,2424000,212500,109375,-2147483648,3,109375,212500,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451263610,false,true,-2147483648,99,103750,206562,-2147483648,2424000,3,2424000,103750,99,99,2424000,206562,103750,-2147483648,3,103750,206562,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451264163,false,true,-2147483648,99,110625,203125,-2147483648,2424000,3,2424000,110625,99,99,2424000,203125,110625,-2147483648,3,110625,203125,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451264699,false,true,-2147483648,99,134062,198125,-2147483648,2424000,3,2424000,134062,99,99,2424000,198125,134062,-2147483648,3,134062,198125,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451265246,false,true,-2147483648,99,140937,194687,-2147483648,2424000,3,2424000,140937,99,99,2424000,194687,140937,-2147483648,3,140937,194687,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451265793,false,true,-2147483648,99,154062,193125,-2147483648,2424000,3,2424000,154062,99,99,2424000,193125,154062,-2147483648,3,154062,193125,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451266339,false,true,-2147483648,99,153750,190625,-2147483648,2424000,3,2424000,153750,99,99,2424000,190625,153750,-2147483648,3,153750,190625,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451266875,false,true,-2147483648,99,169687,189062,-2147483648,2424000,3,2424000,169687,99,99,2424000,189062,169687,-2147483648,3,169687,189062,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451267436,false,true,-2147483648,99,176562,185312,-2147483648,2424000,3,2424000,176562,99,99,2424000,185312,176562,-2147483648,3,176562,185312,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451267972,false,true,-2147483648,99,290000,185000,-2147483648,2424000,3,2424000,290000,99,99,2424000,185000,290000,-2147483648,3,290000,185000,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451268514,false,true,-2147483648,99,111562,186562,-2147483648,2424000,3,2424000,111562,99,99,2424000,186562,111562,-2147483648,3,111562,186562,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451269054,false,true,-2147483648,99,75000,184375,-2147483648,2424000,3,2424000,75000,99,99,2424000,184375,75000,-2147483648,3,75000,184375,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451269600,false,true,-2147483648,99,110000,178750,-2147483648,2424000,3,2424000,110000,99,99,2424000,178750,110000,-2147483648,3,110000,178750,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451270135,false,true,-2147483648,99,93125,176562,-2147483648,2424000,3,2424000,93125,99,99,2424000,174062,93125,-2147483648,3,93125,174062,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451270689,false,true,-2147483648,99,110625,174687,-2147483648,2424000,3,2424000,110625,99,99,2424000,174687,110625,-2147483648,3,110625,174687,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451271229,false,true,-2147483648,99,132187,171250,-2147483648,2424000,3,2424000,132187,99,99,2424000,171250,132187,-2147483648,3,132187,171250,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451271781,false,true,-2147483648,99,98750,171562,-2147483648,2424000,3,2424000,98750,99,99,2424000,171562,98750,-2147483648,3,98750,171562,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451272316,false,true,-2147483648,99,110625,167500,-2147483648,2424000,3,2424000,110625,99,99,2424000,167500,202812,-2147483648,3,202812,167500,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451272859,false,true,-2147483648,99,224687,168750,-2147483648,2424000,3,2424000,224687,99,99,2424000,168750,224687,-2147483648,3,224687,168750,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451273393,false,true,-2147483648,99,117812,167500,-2147483648,2424000,3,2424000,117812,99,99,2424000,167500,117812,-2147483648,3,117812,167500,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451273955,false,true,-2147483648,99,104375,165937,-2147483648,2424000,3,2424000,104375,99,99,2424000,165937,104375,-2147483648,3,104375,165937,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451274494,false,true,-2147483648,99,130625,162500,-2147483648,2424000,3,2424000,130625,99,99,2424000,162500,130625,-2147483648,3,130625,162500,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451275043,false,true,-2147483648,99,95937,161250,-2147483648,2424000,3,2424000,95937,99,99,2424000,159375,95937,-2147483648,3,95937,159375,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451275606,false,true,-2147483648,99,86250,157500,-2147483648,2424000,3,2424000,86250,99,99,2424000,157500,86250,-2147483648,3,86250,157500,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451276144,false,true,-2147483648,99,250625,158437,-2147483648,2424000,3,2424000,250625,99,99,2424000,158437,250625,-2147483648,3,250625,158437,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
1683451276692,false,true,-2147483648,99,133125,157187,-2147483648,2424000,3,2424000,133125,99,99,2424000,157187,133125,-2147483648,3,133125,157187,-2147483648,99,2424000,2,17303567,100,0,100,3,Li-ion,274,4172
