Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683452269490,false,true,-2147483648,97,426875,191875,-2147483648,2376000,3,2376000,426875,97,97,2376000,191875,426875,-2147483648,3,426875,191875,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452270012,false,true,-2147483648,97,159062,204062,-2147483648,2376000,3,2376000,159062,97,97,2376000,204062,159062,-2147483648,3,159062,204062,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452270537,false,true,-2147483648,97,227812,202812,-2147483648,2376000,3,2376000,227812,97,97,2376000,202812,227812,-2147483648,3,227812,202812,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452271101,false,true,-2147483648,97,118125,203437,-2147483648,2376000,3,2376000,118125,97,97,2376000,203437,118125,-2147483648,3,118125,203437,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452271635,false,true,-2147483648,97,147812,199062,-2147483648,2376000,3,2376000,147812,97,97,2376000,199062,147812,-2147483648,3,147812,199062,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452272174,false,true,-2147483648,97,156250,196250,-2147483648,2376000,3,2376000,156250,97,97,2376000,196250,156250,-2147483648,3,156250,196250,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452272716,false,true,-2147483648,97,205312,195312,-2147483648,2376000,3,2376000,205312,97,97,2376000,195312,205312,-2147483648,3,205312,195312,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452273250,false,true,-2147483648,97,165312,194687,-2147483648,2376000,3,2376000,165312,97,97,2376000,194687,165312,-2147483648,3,165312,194687,-2147483648,97,2376000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452273799,false,true,-2147483648,97,203437,194062,-2147483648,2375000,3,2375000,203437,97,97,2375000,194062,133437,-2147483648,3,133437,194062,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452274352,false,true,-2147483648,97,168437,192187,-2147483648,2375000,3,2375000,168437,97,97,2375000,192187,168437,-2147483648,3,168437,192187,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452274900,false,true,-2147483648,97,136562,188750,-2147483648,2375000,3,2375000,136562,97,97,2375000,188750,136562,-2147483648,3,136562,188750,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452275441,false,true,-2147483648,97,174062,187187,-2147483648,2375000,3,2375000,174062,97,97,2375000,187187,174062,-2147483648,3,174062,187187,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452275979,false,true,-2147483648,97,211250,184687,-2147483648,2375000,3,2375000,211250,97,97,2375000,184687,211250,-2147483648,3,211250,184687,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452276542,false,true,-2147483648,97,181562,185312,-2147483648,2375000,3,2375000,181562,97,97,2375000,185312,181562,-2147483648,3,181562,185312,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452277084,false,true,-2147483648,97,669062,182812,-2147483648,2375000,3,2375000,669062,97,97,2375000,182812,669062,-2147483648,3,669062,182812,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452277604,false,true,-2147483648,97,115312,195312,-2147483648,2375000,3,2375000,115312,97,97,2375000,195312,115312,-2147483648,3,115312,195312,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452278137,false,true,-2147483648,97,179687,195312,-2147483648,2375000,3,2375000,179687,97,97,2375000,195312,179687,-2147483648,3,179687,195312,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452278655,false,true,-2147483648,97,106250,191875,-2147483648,2375000,3,2375000,106250,97,97,2375000,191875,106250,-2147483648,3,106250,191875,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452279174,false,true,-2147483648,97,580000,204062,-2147483648,2375000,3,2375000,580000,97,97,2375000,204062,580000,-2147483648,3,580000,204062,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452279707,false,true,-2147483648,97,103125,212187,-2147483648,2375000,3,2375000,103125,97,97,2375000,212187,103125,-2147483648,3,103125,212187,-2147483648,97,2375000,2,17303567,97,0,100,3,Li-ion,281,4205
