Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683452395618,false,true,-2147483648,97,289062,196875,-2147483648,2370000,3,2370000,289062,97,97,2370000,196875,289062,-2147483648,3,289062,196875,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452396140,false,true,-2147483648,97,460625,207812,-2147483648,2370000,3,2370000,460625,97,97,2370000,207812,234375,-2147483648,3,234375,207812,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452396662,false,true,-2147483648,97,151250,208750,-2147483648,2370000,3,2370000,151250,97,97,2370000,208750,151250,-2147483648,3,151250,208750,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452397203,false,true,-2147483648,97,98437,207500,-2147483648,2370000,3,2370000,98437,97,97,2370000,207500,98437,-2147483648,3,98437,207500,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452397723,false,true,-2147483648,97,116250,204062,-2147483648,2370000,3,2370000,116250,97,97,2370000,204062,116250,-2147483648,3,116250,204062,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452398266,false,true,-2147483648,97,169687,198125,-2147483648,2370000,3,2370000,169687,97,97,2370000,198125,169687,-2147483648,3,169687,198125,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452398814,false,true,-2147483648,97,121250,197187,-2147483648,2370000,3,2370000,121250,97,97,2370000,197187,121250,-2147483648,3,121250,197187,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452399348,false,true,-2147483648,97,205937,191250,-2147483648,2370000,3,2370000,205937,97,97,2370000,191250,205937,-2147483648,3,205937,191250,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452399882,false,true,-2147483648,97,217187,191875,-2147483648,2370000,3,2370000,217187,97,97,2370000,191875,217187,-2147483648,3,217187,191875,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452400418,false,true,-2147483648,97,149062,190625,-2147483648,2370000,3,2370000,149062,97,97,2370000,190625,149062,-2147483648,3,149062,190625,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452400959,false,true,-2147483648,97,100625,189375,-2147483648,2370000,3,2370000,100625,97,97,2370000,186562,100625,-2147483648,3,100625,186562,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452401500,false,true,-2147483648,97,180000,184375,-2147483648,2370000,3,2370000,180000,97,97,2370000,184375,180000,-2147483648,3,180000,184375,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452402039,false,true,-2147483648,97,88750,181250,-2147483648,2370000,3,2370000,88750,97,97,2370000,181250,88750,-2147483648,3,88750,181250,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452402579,false,true,-2147483648,97,163125,178750,-2147483648,2370000,3,2370000,163125,97,97,2370000,178750,163125,-2147483648,3,163125,178750,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452403138,false,true,-2147483648,97,104375,175937,-2147483648,2370000,3,2370000,104375,97,97,2370000,175937,104375,-2147483648,3,104375,175937,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
1683452403678,false,true,-2147483648,97,100312,174062,-2147483648,2370000,3,2370000,100312,97,97,2370000,174062,100312,-2147483648,3,100312,174062,-2147483648,97,2370000,2,17303567,97,0,100,3,Li-ion,281,4205
