Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683456568757,false,true,-2147483648,88,340625,188750,-2147483648,2160000,3,2160000,340625,88,88,2160000,188750,340625,-2147483648,3,340625,188750,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456569283,false,true,-2147483648,88,425312,193750,-2147483648,2160000,3,2160000,425312,88,88,2160000,193750,425312,-2147483648,3,425312,193750,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456569833,false,true,-2147483648,88,141250,199375,-2147483648,2160000,3,2160000,141250,88,88,2160000,199375,141250,-2147483648,3,141250,199375,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456570372,false,true,-2147483648,88,181875,197500,-2147483648,2160000,3,2160000,181875,88,88,2160000,197500,181875,-2147483648,3,181875,197187,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456570903,false,true,-2147483648,88,148437,195312,-2147483648,2160000,3,2160000,148437,88,88,2160000,195312,148437,-2147483648,3,148437,195312,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456571446,false,true,-2147483648,88,188125,193750,-2147483648,2160000,3,2160000,188125,88,88,2160000,193750,188125,-2147483648,3,188125,193750,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456571992,false,true,-2147483648,88,134375,191250,-2147483648,2160000,3,2160000,134375,88,88,2160000,191250,134375,-2147483648,3,134375,191250,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456572572,false,true,-2147483648,88,204375,190000,-2147483648,2160000,3,2160000,204375,88,88,2160000,190000,204375,-2147483648,3,200625,190000,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456573116,false,true,-2147483648,88,162187,190312,-2147483648,2160000,3,2160000,162187,88,88,2160000,190312,162187,-2147483648,3,162187,190312,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456573656,false,true,-2147483648,88,190312,187500,-2147483648,2160000,3,2160000,190312,88,88,2160000,187500,190312,-2147483648,3,190312,187500,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456574206,false,true,-2147483648,88,99375,187500,-2147483648,2160000,3,2160000,99375,88,88,2160000,187500,99375,-2147483648,3,99375,187500,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456574755,false,true,-2147483648,88,209062,181875,-2147483648,2160000,3,2160000,209062,88,88,2160000,181875,209062,-2147483648,3,209062,181875,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
1683456575319,false,true,-2147483648,88,99062,180312,-2147483648,2160000,3,2160000,99062,88,88,2160000,180312,99062,-2147483648,3,99062,180312,-2147483648,88,2160000,2,17303567,88,0,100,3,Li-ion,287,4149
