Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683452016970,false,true,-2147483648,97,320000,198125,-2147483648,2388000,3,2388000,320000,97,97,2388000,198125,320000,-2147483648,3,320000,198125,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452017496,false,true,-2147483648,97,228750,202812,-2147483648,2388000,3,2388000,228750,97,97,2388000,202812,228750,-2147483648,3,228750,202812,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452018037,false,true,-2147483648,97,114375,202812,-2147483648,2388000,3,2388000,114375,97,97,2388000,202812,114375,-2147483648,3,114375,202812,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452018579,false,true,-2147483648,97,190312,199687,-2147483648,2388000,3,2388000,190312,97,97,2388000,199687,190312,-2147483648,3,190312,199687,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452019101,false,true,-2147483648,97,157812,196562,-2147483648,2388000,3,2388000,157812,97,97,2388000,196562,157812,-2147483648,3,157812,196562,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452019656,false,true,-2147483648,97,175625,194687,-2147483648,2388000,3,2388000,175625,97,97,2388000,194687,175625,-2147483648,3,175625,194687,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452020195,false,true,-2147483648,97,82187,192500,-2147483648,2388000,3,2388000,82187,97,97,2388000,192500,82187,-2147483648,3,82187,192500,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452020751,false,true,-2147483648,97,160937,188125,-2147483648,2388000,3,2388000,255625,97,97,2388000,188125,255625,-2147483648,3,255625,188125,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452021304,false,true,-2147483648,97,90937,190312,-2147483648,2388000,3,2388000,90937,97,97,2388000,190312,90937,-2147483648,3,90937,190312,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452021857,false,true,-2147483648,97,109062,184375,-2147483648,2388000,3,2388000,109062,97,97,2388000,184375,109062,-2147483648,3,109062,184375,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452022401,false,true,-2147483648,97,111250,180000,-2147483648,2388000,3,2388000,111250,97,97,2388000,180000,111250,-2147483648,3,111250,180000,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
1683452022943,false,true,-2147483648,97,101562,180000,-2147483648,2388000,3,2388000,101562,97,97,2388000,180000,101562,-2147483648,3,101562,180000,-2147483648,97,2388000,2,17303567,97,0,100,3,Li-ion,281,4260
