Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683457074667,false,true,-2147483648,87,313125,208125,-2147483648,2138000,3,2138000,313125,87,87,2138000,208125,313125,-2147483648,3,313125,208125,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457075203,false,true,-2147483648,87,420937,217812,-2147483648,2138000,3,2138000,420937,87,87,2138000,217812,420937,-2147483648,3,420937,217812,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457075756,false,true,-2147483648,87,105312,215000,-2147483648,2137000,3,2137000,105312,87,87,2137000,215000,105312,-2147483648,3,105312,215000,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457076302,false,true,-2147483648,87,195312,211250,-2147483648,2137000,3,2137000,195312,87,87,2137000,211250,195312,-2147483648,3,195312,211250,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457076833,false,true,-2147483648,87,106562,209375,-2147483648,2137000,3,2137000,106562,87,87,2137000,209375,106562,-2147483648,3,106562,209375,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457077389,false,true,-2147483648,87,78125,205937,-2147483648,2137000,3,2137000,78125,87,87,2137000,205937,78125,-2147483648,3,78125,205937,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457077931,false,true,-2147483648,87,215312,201875,-2147483648,2137000,3,2137000,215312,87,87,2137000,201875,215312,-2147483648,3,215312,201875,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457078496,false,true,-2147483648,87,127187,201250,-2147483648,2137000,3,2137000,127187,87,87,2137000,201250,127187,-2147483648,3,127187,201250,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457079045,false,true,-2147483648,87,125937,196562,-2147483648,2137000,3,2137000,125937,87,87,2137000,196562,125937,-2147483648,3,125937,196562,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
1683457079602,false,true,-2147483648,87,155937,193437,-2147483648,2137000,3,2137000,155937,87,87,2137000,193437,155937,-2147483648,3,155937,193437,-2147483648,87,2137000,2,17303567,87,0,100,3,Li-ion,284,4118
