Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683459309997,false,true,-2147483648,94,682187,217187,-2147483648,2318000,3,2318000,682187,94,94,2318000,217187,682187,-2147483648,3,682187,217187,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459310520,false,true,-2147483648,94,549062,234062,-2147483648,2318000,3,2318000,549062,94,94,2318000,234062,549062,-2147483648,3,549062,234062,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459311046,false,true,-2147483648,94,463125,250625,-2147483648,2318000,3,2318000,463125,94,94,2318000,250625,463125,-2147483648,3,463125,250625,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459311580,false,true,-2147483648,94,431250,265312,-2147483648,2318000,3,2318000,431250,94,94,2318000,265312,431250,-2147483648,3,431250,265312,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459312105,false,true,-2147483648,94,464375,276562,-2147483648,2318000,3,2318000,464375,94,94,2318000,276562,464375,-2147483648,3,464375,276562,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459312638,false,true,-2147483648,94,505937,285625,-2147483648,2318000,3,2318000,505937,94,94,2318000,285625,505937,-2147483648,3,505937,285625,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459313173,false,true,-2147483648,94,443750,297187,-2147483648,2318000,3,2318000,465312,94,94,2318000,297187,465312,-2147483648,3,465312,297187,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459313705,false,true,-2147483648,94,520000,302500,-2147483648,2318000,3,2318000,520000,94,94,2318000,302500,520000,-2147483648,3,520000,302500,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459314237,false,true,-2147483648,94,471562,316250,-2147483648,2318000,3,2318000,471562,94,94,2318000,316250,471562,-2147483648,3,471562,316250,-2147483648,94,2318000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459314767,false,true,-2147483648,94,546562,321250,-2147483648,2317000,3,2317000,546562,94,94,2317000,321250,546562,-2147483648,3,546562,321250,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459315299,false,true,-2147483648,94,424375,331875,-2147483648,2317000,3,2317000,424375,94,94,2317000,331875,424375,-2147483648,3,424375,331875,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459315831,false,true,-2147483648,94,450312,334687,-2147483648,2317000,3,2317000,450312,94,94,2317000,334687,450312,-2147483648,3,450312,334687,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459316364,false,true,-2147483648,94,452812,342812,-2147483648,2317000,3,2317000,452812,94,94,2317000,342812,452812,-2147483648,3,452812,342812,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459316891,false,true,-2147483648,94,509062,346250,-2147483648,2317000,3,2317000,509062,94,94,2317000,346250,509062,-2147483648,3,509062,346250,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459317421,false,true,-2147483648,94,424062,355000,-2147483648,2317000,3,2317000,424062,94,94,2317000,355000,424062,-2147483648,3,424062,355000,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
1683459317953,false,true,-2147483648,94,466562,357187,-2147483648,2317000,3,2317000,466562,94,94,2317000,357187,466562,-2147483648,3,466562,357187,-2147483648,94,2317000,2,17303567,94,0,100,3,Li-ion,285,4227
