Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683461585205,false,true,-2147483648,89,883125,236250,-2147483648,2203000,3,2203000,883125,89,89,2203000,236250,883125,-2147483648,3,883125,236250,-2147483648,89,2203000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461585728,false,true,-2147483648,89,512812,267187,-2147483648,2203000,3,2203000,512812,89,89,2203000,267187,512812,-2147483648,3,512812,267187,-2147483648,89,2203000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461586260,false,true,-2147483648,89,433125,274687,-2147483648,2202000,3,2202000,433125,89,89,2202000,274687,433125,-2147483648,3,433125,274687,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461586793,false,true,-2147483648,89,449687,287812,-2147483648,2202000,3,2202000,449687,89,89,2202000,287812,449687,-2147483648,3,449687,287812,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461587316,false,true,-2147483648,89,431562,292812,-2147483648,2202000,3,2202000,431562,89,89,2202000,292812,431562,-2147483648,3,431562,292812,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461587834,false,true,-2147483648,89,437187,304687,-2147483648,2202000,3,2202000,437187,89,89,2202000,304687,437187,-2147483648,3,437187,304687,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461588369,false,true,-2147483648,89,517500,308750,-2147483648,2202000,3,2202000,517500,89,89,2202000,308750,517500,-2147483648,3,517500,308750,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461588902,false,true,-2147483648,89,489062,318750,-2147483648,2202000,3,2202000,489062,89,89,2202000,318750,489062,-2147483648,3,489062,318750,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461589431,false,true,-2147483648,89,616875,324062,-2147483648,2202000,3,2202000,616875,89,89,2202000,324062,616875,-2147483648,3,616875,324062,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461589966,false,true,-2147483648,89,506250,336875,-2147483648,2202000,3,2202000,506250,89,89,2202000,336875,506250,-2147483648,3,506250,336875,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461590499,false,true,-2147483648,89,452187,342187,-2147483648,2202000,3,2202000,452187,89,89,2202000,342187,452187,-2147483648,3,452187,342187,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461591029,false,true,-2147483648,89,516562,349062,-2147483648,2202000,3,2202000,516562,89,89,2202000,349062,516562,-2147483648,3,516562,349062,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461591563,false,true,-2147483648,89,475000,354375,-2147483648,2202000,3,2202000,475000,89,89,2202000,354375,475000,-2147483648,3,475000,354375,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461592093,false,true,-2147483648,89,521875,360625,-2147483648,2202000,3,2202000,521875,89,89,2202000,360625,521875,-2147483648,3,521875,360625,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461592625,false,true,-2147483648,89,465312,365937,-2147483648,2202000,3,2202000,465312,89,89,2202000,368750,465312,-2147483648,3,465312,368750,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461593159,false,true,-2147483648,89,502812,370312,-2147483648,2202000,3,2202000,502812,89,89,2202000,370312,502812,-2147483648,3,502812,370312,-2147483648,89,2202000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461593691,false,true,-2147483648,89,430312,376250,-2147483648,2201000,3,2201000,430312,89,89,2201000,376250,430312,-2147483648,3,430312,376250,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461594219,false,true,-2147483648,89,495000,378125,-2147483648,2201000,3,2201000,495000,89,89,2201000,378125,495000,-2147483648,3,495000,378125,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461594752,false,true,-2147483648,89,501250,385312,-2147483648,2201000,3,2201000,501250,89,89,2201000,385312,501250,-2147483648,3,501250,385312,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461595282,false,true,-2147483648,89,440937,387500,-2147483648,2201000,3,2201000,440937,89,89,2201000,387500,440937,-2147483648,3,440937,387500,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461595814,false,true,-2147483648,89,522187,393437,-2147483648,2201000,3,2201000,522187,89,89,2201000,393437,522187,-2147483648,3,522187,393437,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461596346,false,true,-2147483648,89,696562,396875,-2147483648,2201000,3,2201000,696562,89,89,2201000,396875,696562,-2147483648,3,696562,396875,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461596878,false,true,-2147483648,89,501562,409375,-2147483648,2201000,3,2201000,501562,89,89,2201000,409375,501562,-2147483648,3,501562,409375,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461597409,false,true,-2147483648,89,460000,409687,-2147483648,2201000,3,2201000,460000,89,89,2201000,409687,460000,-2147483648,3,460000,409687,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461597939,false,true,-2147483648,89,468125,413125,-2147483648,2201000,3,2201000,468125,89,89,2201000,413125,468125,-2147483648,3,468125,413125,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461598466,false,true,-2147483648,89,467500,415625,-2147483648,2201000,3,2201000,467500,89,89,2201000,415625,467500,-2147483648,3,467500,415625,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461598999,false,true,-2147483648,89,450937,418437,-2147483648,2201000,3,2201000,450937,89,89,2201000,418437,450937,-2147483648,3,450937,418437,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461599528,false,true,-2147483648,89,475937,421562,-2147483648,2201000,3,2201000,475937,89,89,2201000,421562,475937,-2147483648,3,475937,421562,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461600061,false,true,-2147483648,89,444687,423750,-2147483648,2201000,3,2201000,444687,89,89,2201000,423750,444687,-2147483648,3,444687,423750,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461600592,false,true,-2147483648,89,433750,427187,-2147483648,2201000,3,2201000,433750,89,89,2201000,427187,433750,-2147483648,3,433750,427187,-2147483648,89,2201000,2,17303567,89,0,100,3,Li-ion,288,4164
1683461601125,false,true,-2147483648,89,461562,428437,-2147483648,2200000,3,2200000,461562,89,89,2200000,428437,461562,-2147483648,3,461562,428437,-2147483648,89,2200000,2,17303567,89,0,100,3,Li-ion,288,4164
