Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683462216833,false,true,-2147483648,88,390000,206875,-2147483648,2167000,3,2167000,390000,88,88,2167000,206875,390000,-2147483648,3,390000,206875,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462217359,false,true,-2147483648,88,190625,213750,-2147483648,2167000,3,2167000,190625,88,88,2167000,213750,190625,-2147483648,3,190625,213750,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462217889,false,true,-2147483648,88,200312,213125,-2147483648,2167000,3,2167000,200312,88,88,2167000,213125,200312,-2147483648,3,200312,213125,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462218422,false,true,-2147483648,88,106562,211562,-2147483648,2167000,3,2167000,106562,88,88,2167000,211562,106562,-2147483648,3,106562,211562,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462218944,false,true,-2147483648,88,103437,208125,-2147483648,2167000,3,2167000,103437,88,88,2167000,208125,103437,-2147483648,3,103437,208125,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462219481,false,true,-2147483648,88,105312,205312,-2147483648,2167000,3,2167000,105312,88,88,2167000,205312,105312,-2147483648,3,105312,205312,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462220034,false,true,-2147483648,88,104375,202187,-2147483648,2167000,3,2167000,104375,88,88,2167000,202187,104375,-2147483648,3,104375,202187,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462220582,false,true,-2147483648,88,142812,196250,-2147483648,2167000,3,2167000,142812,88,88,2167000,196250,142812,-2147483648,3,142812,196250,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462221122,false,true,-2147483648,88,187812,194375,-2147483648,2167000,3,2167000,187812,88,88,2167000,194375,187812,-2147483648,3,187812,194375,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462221676,false,true,-2147483648,88,169375,191875,-2147483648,2167000,3,2167000,169375,88,88,2167000,191875,169375,-2147483648,3,169375,191875,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462222216,false,true,-2147483648,88,128125,189062,-2147483648,2167000,3,2167000,128125,88,88,2167000,189062,128125,-2147483648,3,128125,189062,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462222757,false,true,-2147483648,88,167187,207812,-2147483648,2167000,3,2167000,167187,88,88,2167000,207812,167187,-2147483648,3,167187,207812,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462223306,false,true,-2147483648,88,107500,203437,-2147483648,2167000,3,2167000,119375,88,88,2167000,203437,119375,-2147483648,3,119375,203437,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462223853,false,true,-2147483648,88,283750,200937,-2147483648,2167000,3,2167000,283750,88,88,2167000,200937,283750,-2147483648,3,283750,200937,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462224391,false,true,-2147483648,88,155312,200312,-2147483648,2167000,3,2167000,155312,88,88,2167000,200312,155312,-2147483648,3,155312,200312,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462224930,false,true,-2147483648,88,96250,198750,-2147483648,2167000,3,2167000,96250,88,88,2167000,198750,96250,-2147483648,3,96250,198750,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462225473,false,true,-2147483648,88,240625,192500,-2147483648,2167000,3,2167000,240625,88,88,2167000,192500,240625,-2147483648,3,240625,192500,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462226004,false,true,-2147483648,88,90625,194062,-2147483648,2167000,3,2167000,90625,88,88,2167000,194062,90625,-2147483648,3,90625,194062,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462226547,false,true,-2147483648,88,87812,193125,-2147483648,2167000,3,2167000,87812,88,88,2167000,193125,87812,-2147483648,3,87812,193125,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
1683462227084,false,true,-2147483648,88,128125,189687,-2147483648,2167000,3,2167000,128125,88,88,2167000,187812,128125,-2147483648,3,128125,187812,-2147483648,88,2167000,2,17303567,88,0,100,3,Li-ion,292,4062
