Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683462595854,false,true,-2147483648,87,465000,229375,-2147483648,2151000,3,2151000,465000,87,87,2151000,229375,465000,-2147483648,3,465000,229375,-2147483648,87,2151000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462596379,false,true,-2147483648,87,180000,230937,-2147483648,2150000,3,2150000,180000,87,87,2150000,230937,180000,-2147483648,3,180000,230937,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462596943,false,true,-2147483648,87,128750,226250,-2147483648,2150000,3,2150000,128750,87,87,2150000,226250,128750,-2147483648,3,128750,226250,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462597481,false,true,-2147483648,87,107812,224062,-2147483648,2150000,3,2150000,107812,87,87,2150000,224062,107812,-2147483648,3,107812,224062,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462598027,false,true,-2147483648,87,156875,218437,-2147483648,2150000,3,2150000,156875,87,87,2150000,218437,158750,-2147483648,3,158750,218437,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462598579,false,true,-2147483648,87,179062,216562,-2147483648,2150000,3,2150000,179062,87,87,2150000,216562,179062,-2147483648,3,179062,216562,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462599130,false,true,-2147483648,87,102500,211875,-2147483648,2150000,3,2150000,102500,87,87,2150000,211875,102500,-2147483648,3,102500,211875,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462599705,false,true,-2147483648,87,186562,208437,-2147483648,2150000,3,2150000,186562,87,87,2150000,208437,186562,-2147483648,3,186562,207812,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462600250,false,true,-2147483648,87,158125,208437,-2147483648,2150000,3,2150000,158125,87,87,2150000,208437,158125,-2147483648,3,158125,208437,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462600802,false,true,-2147483648,87,177500,205937,-2147483648,2150000,3,2150000,177500,87,87,2150000,205937,177500,-2147483648,3,177500,205937,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462601338,false,true,-2147483648,87,132812,203750,-2147483648,2150000,3,2150000,132812,87,87,2150000,203750,132812,-2147483648,3,132812,203750,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462601879,false,true,-2147483648,87,114062,198750,-2147483648,2150000,3,2150000,138437,87,87,2150000,198750,138437,-2147483648,3,138437,198750,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462602441,false,true,-2147483648,87,168437,196875,-2147483648,2150000,3,2150000,168437,87,87,2150000,196875,168437,-2147483648,3,168437,196875,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
1683462602992,false,true,-2147483648,87,133125,193437,-2147483648,2150000,3,2150000,133125,87,87,2150000,193437,133125,-2147483648,3,133125,193437,-2147483648,87,2150000,2,17303567,87,0,100,3,Li-ion,288,4145
