Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683461079743,false,true,-2147483648,91,333750,193750,-2147483648,2229000,3,2229000,333750,91,91,2229000,198125,333750,-2147483648,3,333750,198125,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461080263,false,true,-2147483648,91,178125,201250,-2147483648,2229000,3,2229000,178125,91,91,2229000,201250,178125,-2147483648,3,178125,201250,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461080786,false,true,-2147483648,91,198750,200625,-2147483648,2229000,3,2229000,198750,91,91,2229000,200625,198750,-2147483648,3,198750,200625,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461081342,false,true,-2147483648,91,119687,200000,-2147483648,2229000,3,2229000,119687,91,91,2229000,200000,119687,-2147483648,3,119687,200000,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461081880,false,true,-2147483648,91,93750,194062,-2147483648,2229000,3,2229000,93750,91,91,2229000,194062,93750,-2147483648,3,93750,194062,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461082436,false,true,-2147483648,91,278437,191250,-2147483648,2229000,3,2229000,278437,91,91,2229000,191250,278437,-2147483648,3,278437,191250,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461082980,false,true,-2147483648,91,139687,192500,-2147483648,2229000,3,2229000,139687,91,91,2229000,192500,139687,-2147483648,3,139687,192500,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461083520,false,true,-2147483648,91,166250,190312,-2147483648,2229000,3,2229000,166250,91,91,2229000,190312,166250,-2147483648,3,166250,190312,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461084060,false,true,-2147483648,91,100312,189062,-2147483648,2229000,3,2229000,100312,91,91,2229000,189062,100312,-2147483648,3,100312,189062,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461084598,false,true,-2147483648,91,212812,186250,-2147483648,2229000,3,2229000,212812,91,91,2229000,186250,212812,-2147483648,3,212812,186250,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461085150,false,true,-2147483648,91,95000,184375,-2147483648,2229000,3,2229000,95000,91,91,2229000,184375,95000,-2147483648,3,95000,184375,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461085690,false,true,-2147483648,91,89375,181562,-2147483648,2229000,3,2229000,89375,91,91,2229000,181562,89375,-2147483648,3,89375,181562,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461086225,false,true,-2147483648,91,89375,176562,-2147483648,2229000,3,2229000,89375,91,91,2229000,176562,89375,-2147483648,3,89375,176562,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461086767,false,true,-2147483648,91,106875,174062,-2147483648,2229000,3,2229000,106875,91,91,2229000,171875,106875,-2147483648,3,106875,171875,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461087307,false,true,-2147483648,91,151250,172812,-2147483648,2229000,3,2229000,151250,91,91,2229000,172812,151250,-2147483648,3,151250,172812,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461087833,false,true,-2147483648,91,146250,171250,-2147483648,2229000,3,2229000,146250,91,91,2229000,171250,146250,-2147483648,3,146250,171250,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461088363,false,true,-2147483648,91,93125,171562,-2147483648,2229000,3,2229000,93125,91,91,2229000,171562,93125,-2147483648,3,93125,171562,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461088893,false,true,-2147483648,91,99375,166875,-2147483648,2229000,3,2229000,99375,91,91,2229000,166875,99375,-2147483648,3,99375,166875,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461089430,false,true,-2147483648,91,145000,167812,-2147483648,2229000,3,2229000,145000,91,91,2229000,167812,145000,-2147483648,3,145000,167812,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461089978,false,true,-2147483648,91,91875,164687,-2147483648,2229000,3,2229000,91875,91,91,2229000,164687,91875,-2147483648,3,91875,164687,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461090527,false,true,-2147483648,91,95625,168750,-2147483648,2229000,3,2229000,95625,91,91,2229000,168750,95625,-2147483648,3,95625,168750,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461091077,false,true,-2147483648,91,95000,165312,-2147483648,2229000,3,2229000,95000,91,91,2229000,165312,95000,-2147483648,3,95000,165312,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461091629,false,true,-2147483648,91,97187,163125,-2147483648,2229000,3,2229000,97187,91,91,2229000,163125,97187,-2147483648,3,97187,163125,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
1683461092171,false,true,-2147483648,91,75000,159062,-2147483648,2229000,3,2229000,75000,91,91,2229000,159062,75000,-2147483648,3,75000,159062,-2147483648,91,2229000,2,17303567,91,0,100,3,Li-ion,285,4181
