Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683464318006,false,true,-2147483648,84,564687,202812,-2147483648,2067000,3,2067000,564687,84,84,2067000,202812,564687,-2147483648,3,564687,202812,-2147483648,84,2067000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464318532,false,true,-2147483648,84,170312,214062,-2147483648,2066000,3,2066000,170312,84,84,2066000,214062,170312,-2147483648,3,170312,214062,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464319074,false,true,-2147483648,84,132187,210625,-2147483648,2066000,3,2066000,132187,84,84,2066000,210625,132187,-2147483648,3,132187,210625,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464319631,false,true,-2147483648,84,79687,208125,-2147483648,2066000,3,2066000,79687,84,84,2066000,208125,79687,-2147483648,3,79687,208125,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464320169,false,true,-2147483648,84,338125,200625,-2147483648,2066000,3,2066000,338125,84,84,2066000,200625,338125,-2147483648,3,338125,200625,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464320740,false,true,-2147483648,84,164375,205000,-2147483648,2066000,3,2066000,164375,84,84,2066000,203750,164375,-2147483648,3,164375,203750,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464321281,false,true,-2147483648,84,59375,200312,-2147483648,2066000,3,2066000,59375,84,84,2066000,200312,59375,-2147483648,3,59375,200312,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464321802,false,true,-2147483648,84,188125,195625,-2147483648,2066000,3,2066000,188125,84,84,2066000,195625,188125,-2147483648,3,188125,195625,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464322348,false,true,-2147483648,84,144062,196562,-2147483648,2066000,3,2066000,144062,84,84,2066000,196562,144062,-2147483648,3,144062,196562,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464322902,false,true,-2147483648,84,196875,195000,-2147483648,2066000,3,2066000,196875,84,84,2066000,195000,196875,-2147483648,3,196875,195000,-2147483648,84,2066000,2,17303567,84,0,100,3,Li-ion,288,4111
