Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683460827019,false,true,-2147483648,91,426250,209375,-2147483648,2240000,3,2240000,426250,91,91,2240000,209375,426250,-2147483648,3,426250,209375,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460827548,false,true,-2147483648,91,273125,215000,-2147483648,2240000,3,2240000,273125,91,91,2240000,215000,273125,-2147483648,3,273125,215000,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460828088,false,true,-2147483648,91,127187,214062,-2147483648,2240000,3,2240000,127187,91,91,2240000,214062,127187,-2147483648,3,127187,214062,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460828631,false,true,-2147483648,91,120312,210937,-2147483648,2240000,3,2240000,120312,91,91,2240000,210937,120312,-2147483648,3,120312,210937,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460829150,false,true,-2147483648,91,119687,205312,-2147483648,2240000,3,2240000,119687,91,91,2240000,205312,119687,-2147483648,3,119687,205312,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460829700,false,true,-2147483648,91,157500,205000,-2147483648,2240000,3,2240000,157500,91,91,2240000,205000,157500,-2147483648,3,157500,205000,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460830242,false,true,-2147483648,91,142500,201562,-2147483648,2240000,3,2240000,127812,91,91,2240000,201562,127812,-2147483648,3,127812,201562,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460830763,false,true,-2147483648,91,220937,199062,-2147483648,2240000,3,2240000,220937,91,91,2240000,199062,220937,-2147483648,3,220937,199062,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460831301,false,true,-2147483648,91,134375,196250,-2147483648,2240000,3,2240000,134375,91,91,2240000,196250,134375,-2147483648,3,134375,196250,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
1683460831839,false,true,-2147483648,91,171562,194375,-2147483648,2240000,3,2240000,171562,91,91,2240000,194375,171562,-2147483648,3,171562,194375,-2147483648,91,2240000,2,17303567,91,0,100,3,Li-ion,287,4170
