Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683458677209,false,true,-2147483648,96,292812,409062,-2147483648,2350000,3,2350000,292812,96,96,2350000,409062,292812,-2147483648,3,292812,409062,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458677749,false,true,-2147483648,96,169687,406562,-2147483648,2350000,3,2350000,169687,96,96,2350000,406562,169687,-2147483648,3,169687,406562,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458678305,false,true,-2147483648,96,123437,390625,-2147483648,2350000,3,2350000,123437,96,96,2350000,390625,123437,-2147483648,3,123437,390625,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458678844,false,true,-2147483648,96,112812,383750,-2147483648,2350000,3,2350000,112812,96,96,2350000,383750,112812,-2147483648,3,112812,383750,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458679388,false,true,-2147483648,96,155312,366250,-2147483648,2350000,3,2350000,155312,96,96,2350000,366250,155312,-2147483648,3,155312,366250,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458679933,false,true,-2147483648,96,236250,359687,-2147483648,2350000,3,2350000,236250,96,96,2350000,359687,236250,-2147483648,3,236250,359687,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458680471,false,true,-2147483648,96,124375,353750,-2147483648,2350000,3,2350000,124375,96,96,2350000,353750,124375,-2147483648,3,124375,353750,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458681009,false,true,-2147483648,96,193125,346562,-2147483648,2350000,3,2350000,193125,96,96,2350000,346562,193125,-2147483648,3,193125,346562,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458681532,false,true,-2147483648,96,248125,338750,-2147483648,2350000,3,2350000,248125,96,96,2350000,338750,248125,-2147483648,3,248125,338750,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
1683458682055,false,true,-2147483648,96,284687,335937,-2147483648,2350000,3,2350000,284687,96,96,2350000,335937,284687,-2147483648,3,284687,335937,-2147483648,96,2350000,2,17303567,96,0,100,3,Li-ion,281,4293
