Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683469213529,false,true,-2147483648,90,718437,268437,-2147483648,2212000,3,2212000,718437,90,90,2212000,268437,718437,-2147483648,3,718437,268437,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469214052,false,true,-2147483648,90,618437,282500,-2147483648,2212000,3,2212000,618437,90,90,2212000,292812,618437,-2147483648,3,618437,292812,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469214582,false,true,-2147483648,90,434375,299687,-2147483648,2212000,3,2212000,434375,90,90,2212000,299687,434375,-2147483648,3,434375,299687,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469215117,false,true,-2147483648,90,485000,309687,-2147483648,2212000,3,2212000,485000,90,90,2212000,309687,485000,-2147483648,3,485000,309687,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469215634,false,true,-2147483648,90,500937,313437,-2147483648,2212000,3,2212000,500937,90,90,2212000,313437,500937,-2147483648,3,500937,313437,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469216166,false,true,-2147483648,90,496562,325000,-2147483648,2212000,3,2212000,496562,90,90,2212000,325000,496562,-2147483648,3,496562,325000,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469216700,false,true,-2147483648,90,472187,329375,-2147483648,2212000,3,2212000,472187,90,90,2212000,329375,472187,-2147483648,3,472187,329375,-2147483648,90,2212000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469217233,false,true,-2147483648,90,617187,342812,-2147483648,2211000,3,2211000,617187,90,90,2211000,342812,617187,-2147483648,3,617187,342812,-2147483648,90,2211000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469217765,false,true,-2147483648,90,590625,347187,-2147483648,2211000,3,2211000,590625,90,90,2211000,347187,590625,-2147483648,3,590625,347187,-2147483648,90,2211000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469218295,false,true,-2147483648,90,502187,359375,-2147483648,2211000,3,2211000,502187,90,90,2211000,359375,502187,-2147483648,3,502187,359375,-2147483648,90,2211000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469218828,false,true,-2147483648,90,460625,361875,-2147483648,2211000,3,2211000,460625,90,90,2211000,361875,460625,-2147483648,3,460625,361875,-2147483648,90,2211000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469219362,false,true,-2147483648,90,504687,369375,-2147483648,2211000,3,2211000,504687,90,90,2211000,369375,504687,-2147483648,3,504687,369375,-2147483648,90,2211000,2,17303567,90,0,100,3,Li-ion,281,4147
1683469219894,false,true,-2147483648,90,458750,371875,-2147483648,2211000,3,2211000,458750,90,90,2211000,371875,458750,-2147483648,3,458750,371875,-2147483648,90,2211000,2,17303567,90,0,100,3,Li-ion,281,4147
