Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683469750575,false,true,-2147483648,89,880000,200312,-2147483648,2185000,3,2185000,880000,89,89,2185000,200312,880000,-2147483648,3,880000,200312,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469751100,false,true,-2147483648,89,247812,221562,-2147483648,2185000,3,2185000,247812,89,89,2185000,222500,247812,-2147483648,3,247812,222500,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469751637,false,true,-2147483648,89,186562,220312,-2147483648,2185000,3,2185000,186562,89,89,2185000,220312,186562,-2147483648,3,186562,220312,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469752186,false,true,-2147483648,89,191562,218437,-2147483648,2185000,3,2185000,191562,89,89,2185000,218437,191562,-2147483648,3,191562,218437,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469752705,false,true,-2147483648,89,98437,214687,-2147483648,2185000,3,2185000,98437,89,89,2185000,214687,98437,-2147483648,3,98437,214687,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469753272,false,true,-2147483648,89,193750,210625,-2147483648,2185000,3,2185000,193750,89,89,2185000,210625,193750,-2147483648,3,193750,210625,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469753812,false,true,-2147483648,89,179375,208437,-2147483648,2185000,3,2185000,179375,89,89,2185000,208437,179375,-2147483648,3,179375,208437,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469754391,false,true,-2147483648,89,105625,204062,-2147483648,2185000,3,2185000,271875,89,89,2185000,204062,271875,-2147483648,3,271875,204062,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469754928,false,true,-2147483648,89,102187,206250,-2147483648,2185000,3,2185000,102187,89,89,2185000,206250,102187,-2147483648,3,102187,206250,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469755471,false,true,-2147483648,89,177187,199687,-2147483648,2185000,3,2185000,177187,89,89,2185000,199687,177187,-2147483648,3,177187,199687,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469756021,false,true,-2147483648,89,126875,199062,-2147483648,2184000,3,2184000,126875,89,89,2184000,196875,126875,-2147483648,3,126875,196875,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469756561,false,true,-2147483648,89,166250,194375,-2147483648,2184000,3,2184000,166250,89,89,2184000,194375,166250,-2147483648,3,166250,194375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469757095,false,true,-2147483648,89,102500,190625,-2147483648,2184000,3,2184000,102500,89,89,2184000,190625,102500,-2147483648,3,102500,190625,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469757633,false,true,-2147483648,89,160625,201250,-2147483648,2184000,3,2184000,160625,89,89,2184000,201250,160625,-2147483648,3,160625,201250,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469758177,false,true,-2147483648,89,118437,197500,-2147483648,2184000,3,2184000,118437,89,89,2184000,197500,118437,-2147483648,3,118437,197500,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469758718,false,true,-2147483648,89,243437,197500,-2147483648,2184000,3,2184000,243437,89,89,2184000,197500,243437,-2147483648,3,243437,197500,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469759261,false,true,-2147483648,89,116562,196250,-2147483648,2184000,3,2184000,115937,89,89,2184000,196250,115937,-2147483648,3,115937,196250,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469759800,false,true,-2147483648,89,102812,193750,-2147483648,2184000,3,2184000,102812,89,89,2184000,193750,102812,-2147483648,3,102812,193750,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469760348,false,true,-2147483648,89,128750,187812,-2147483648,2184000,3,2184000,128750,89,89,2184000,187812,128750,-2147483648,3,128750,187812,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469760887,false,true,-2147483648,89,100312,185937,-2147483648,2184000,3,2184000,100312,89,89,2184000,185937,100312,-2147483648,3,100312,185937,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469761429,false,true,-2147483648,89,92812,183125,-2147483648,2184000,3,2184000,92812,89,89,2184000,183125,92812,-2147483648,3,92812,183125,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469761969,false,true,-2147483648,89,116562,180312,-2147483648,2184000,3,2184000,116562,89,89,2184000,180312,116562,-2147483648,3,116562,178125,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469762519,false,true,-2147483648,89,122812,178437,-2147483648,2184000,3,2184000,122812,89,89,2184000,178437,122812,-2147483648,3,122812,178437,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469763057,false,true,-2147483648,89,197187,177187,-2147483648,2184000,3,2184000,197187,89,89,2184000,177187,197187,-2147483648,3,197187,177187,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469763608,false,true,-2147483648,89,145937,176875,-2147483648,2184000,3,2184000,145937,89,89,2184000,176875,145937,-2147483648,3,145937,176875,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469764168,false,true,-2147483648,89,288750,179375,-2147483648,2184000,3,2184000,288750,89,89,2184000,179375,137187,-2147483648,3,137187,179375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469764733,false,true,-2147483648,89,104375,178125,-2147483648,2184000,3,2184000,104375,89,89,2184000,178125,104375,-2147483648,3,104375,178125,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469765284,false,true,-2147483648,89,122187,173750,-2147483648,2184000,3,2184000,122187,89,89,2184000,173750,122187,-2147483648,3,122187,173750,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469765823,false,true,-2147483648,89,139062,172187,-2147483648,2184000,3,2184000,139062,89,89,2184000,172187,139062,-2147483648,3,139062,171250,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469766372,false,true,-2147483648,89,71250,170937,-2147483648,2184000,3,2184000,71250,89,89,2184000,170937,71250,-2147483648,3,71250,170937,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469766930,false,true,-2147483648,89,163125,167500,-2147483648,2184000,3,2184000,163125,89,89,2184000,167500,163125,-2147483648,3,163125,167500,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469767475,false,true,-2147483648,89,115312,166562,-2147483648,2184000,3,2184000,115312,89,89,2184000,166562,115312,-2147483648,3,115312,166562,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469768024,false,true,-2147483648,89,181562,165625,-2147483648,2184000,3,2184000,125937,89,89,2184000,165625,125937,-2147483648,3,125937,165625,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469768567,false,true,-2147483648,89,118437,164375,-2147483648,2184000,3,2184000,118437,89,89,2184000,164375,118437,-2147483648,3,118437,164375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469769117,false,true,-2147483648,89,96875,163750,-2147483648,2184000,3,2184000,96875,89,89,2184000,163750,96875,-2147483648,3,96875,163750,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469769679,false,true,-2147483648,89,435625,161875,-2147483648,2184000,3,2184000,435625,89,89,2184000,161875,435625,-2147483648,3,435625,170312,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469770227,false,true,-2147483648,89,166875,167812,-2147483648,2184000,3,2184000,166875,89,89,2184000,167812,166875,-2147483648,3,166875,167812,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469770776,false,true,-2147483648,89,226562,169687,-2147483648,2184000,3,2184000,226562,89,89,2184000,169687,226562,-2147483648,3,226562,169687,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469771326,false,true,-2147483648,89,136250,167812,-2147483648,2184000,3,2184000,136250,89,89,2184000,167812,136250,-2147483648,3,136250,167812,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469771864,false,true,-2147483648,89,102187,165000,-2147483648,2184000,3,2184000,102187,89,89,2184000,165000,102187,-2147483648,3,119375,165000,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469772418,false,true,-2147483648,89,209687,163437,-2147483648,2184000,3,2184000,209687,89,89,2184000,163437,209687,-2147483648,3,209687,163437,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469772951,false,true,-2147483648,89,90000,164375,-2147483648,2184000,3,2184000,90000,89,89,2184000,164375,90000,-2147483648,3,90000,164375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469773497,false,true,-2147483648,89,166562,162187,-2147483648,2184000,3,2184000,166562,89,89,2184000,162187,166562,-2147483648,3,166562,162187,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469774044,false,true,-2147483648,89,136875,160312,-2147483648,2184000,3,2184000,136875,89,89,2184000,160312,136875,-2147483648,3,136875,160312,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469774593,false,true,-2147483648,89,297500,159687,-2147483648,2184000,3,2184000,297500,89,89,2184000,164062,297500,-2147483648,3,297500,164062,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469775133,false,true,-2147483648,89,715625,164375,-2147483648,2184000,3,2184000,715625,89,89,2184000,164375,715625,-2147483648,3,715625,164375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469775669,false,true,-2147483648,89,118437,179375,-2147483648,2184000,3,2184000,118437,89,89,2184000,179375,118437,-2147483648,3,118437,179375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469776209,false,true,-2147483648,89,230937,177187,-2147483648,2184000,3,2184000,230937,89,89,2184000,177187,230937,-2147483648,3,230937,177187,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,280,4160
