Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683468171242,false,true,-2147483648,92,686250,250312,-2147483648,2266000,3,2266000,686250,92,92,2266000,250312,686250,-2147483648,3,686250,250312,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468171776,false,true,-2147483648,92,625000,264062,-2147483648,2266000,3,2266000,625000,92,92,2266000,264062,625000,-2147483648,3,625000,264062,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468172308,false,true,-2147483648,92,426562,280000,-2147483648,2266000,3,2266000,426562,92,92,2266000,280000,426562,-2147483648,3,426562,280000,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468172843,false,true,-2147483648,92,523125,284687,-2147483648,2266000,3,2266000,523125,92,92,2266000,284687,523125,-2147483648,3,523125,284687,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468173365,false,true,-2147483648,92,495312,299687,-2147483648,2266000,3,2266000,495312,92,92,2266000,299687,495312,-2147483648,3,495312,299687,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468173898,false,true,-2147483648,92,514375,305937,-2147483648,2266000,3,2266000,514375,92,92,2266000,305937,514375,-2147483648,3,514375,305937,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468174431,false,true,-2147483648,92,483437,318437,-2147483648,2266000,3,2266000,483437,92,92,2266000,318437,483437,-2147483648,3,483437,318437,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468174964,false,true,-2147483648,92,536875,323750,-2147483648,2266000,3,2266000,536875,92,92,2266000,330312,536875,-2147483648,3,536875,330312,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468175498,false,true,-2147483648,92,417500,335312,-2147483648,2266000,3,2266000,417500,92,92,2266000,335312,417500,-2147483648,3,417500,335312,-2147483648,92,2266000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468176027,false,true,-2147483648,92,419062,340312,-2147483648,2265000,3,2265000,419062,92,92,2265000,340312,419062,-2147483648,3,419062,340312,-2147483648,92,2265000,2,17303567,92,0,100,3,Li-ion,278,4200
