Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683472526939,false,true,-2147483648,83,275625,197187,-2147483648,2044000,3,2044000,275625,83,83,2044000,199687,275625,-2147483648,3,275625,199687,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472527468,false,true,-2147483648,83,254687,202187,-2147483648,2044000,3,2044000,254687,83,83,2044000,202187,254687,-2147483648,3,254687,202187,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472528008,false,true,-2147483648,83,145625,201875,-2147483648,2044000,3,2044000,145625,83,83,2044000,201875,145625,-2147483648,3,145625,201875,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472528561,false,true,-2147483648,83,92187,216562,-2147483648,2044000,3,2044000,92187,83,83,2044000,216562,92187,-2147483648,3,92187,216562,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472529102,false,true,-2147483648,83,110937,209375,-2147483648,2044000,3,2044000,110937,83,83,2044000,209375,110937,-2147483648,3,110937,209375,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472529651,false,true,-2147483648,83,272812,213750,-2147483648,2044000,3,2044000,272812,83,83,2044000,213750,272812,-2147483648,3,272812,213750,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472530195,false,true,-2147483648,83,179687,212187,-2147483648,2044000,3,2044000,179687,83,83,2044000,212187,179687,-2147483648,3,179687,212187,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472530727,false,true,-2147483648,83,83750,211250,-2147483648,2044000,3,2044000,83750,83,83,2044000,211250,83750,-2147483648,3,83750,211250,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472531270,false,true,-2147483648,83,241875,208750,-2147483648,2044000,3,2044000,241875,83,83,2044000,208750,241875,-2147483648,3,241875,208750,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472531814,false,true,-2147483648,83,116562,210000,-2147483648,2044000,3,2044000,116562,83,83,2044000,210000,116562,-2147483648,3,116562,210000,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472532355,false,true,-2147483648,83,93125,204375,-2147483648,2044000,3,2044000,93125,83,83,2044000,204375,93125,-2147483648,3,93125,204375,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472532895,false,true,-2147483648,83,283437,200937,-2147483648,2044000,3,2044000,283437,83,83,2044000,203437,283437,-2147483648,3,283437,203437,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472533430,false,true,-2147483648,83,134687,200625,-2147483648,2044000,3,2044000,134687,83,83,2044000,200625,134687,-2147483648,3,134687,200625,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472533996,false,true,-2147483648,83,88437,195312,-2147483648,2044000,3,2044000,88437,83,83,2044000,195312,88437,-2147483648,3,88437,195312,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472534518,false,true,-2147483648,83,364375,192812,-2147483648,2044000,3,2044000,364375,83,83,2044000,192812,364375,-2147483648,3,364375,192812,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472535048,false,true,-2147483648,83,472812,206562,-2147483648,2044000,3,2044000,472812,83,83,2044000,206562,472812,-2147483648,3,472812,206562,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
1683472535583,false,true,-2147483648,83,171875,204375,-2147483648,2044000,3,2044000,171875,83,83,2044000,204375,171875,-2147483648,3,171875,204375,-2147483648,83,2044000,2,17303567,83,0,100,3,Li-ion,279,4089
