Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683473284675,false,true,-2147483648,81,351875,216562,-2147483648,2009000,3,2009000,351875,81,81,2009000,216562,351875,-2147483648,3,351875,216562,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473285201,false,true,-2147483648,81,159062,218750,-2147483648,2009000,3,2009000,159062,81,81,2009000,218750,159062,-2147483648,3,159062,218750,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473285750,false,true,-2147483648,81,125937,214062,-2147483648,2009000,3,2009000,125937,81,81,2009000,214062,125937,-2147483648,3,125937,214062,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473286300,false,true,-2147483648,81,81875,214062,-2147483648,2009000,3,2009000,81875,81,81,2009000,214062,81875,-2147483648,3,81875,214062,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473286836,false,true,-2147483648,81,122500,207187,-2147483648,2009000,3,2009000,122500,81,81,2009000,207187,122500,-2147483648,3,235625,207187,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473287387,false,true,-2147483648,81,176875,208125,-2147483648,2009000,3,2009000,176875,81,81,2009000,208125,176875,-2147483648,3,176875,208125,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473287928,false,true,-2147483648,81,97187,204375,-2147483648,2009000,3,2009000,97187,81,81,2009000,204375,97187,-2147483648,3,97187,204375,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473288450,false,true,-2147483648,81,176562,200937,-2147483648,2009000,3,2009000,176562,81,81,2009000,200937,176562,-2147483648,3,176562,200937,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473289000,false,true,-2147483648,81,141250,199687,-2147483648,2009000,3,2009000,141250,81,81,2009000,199687,141250,-2147483648,3,141250,199687,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
1683473289543,false,true,-2147483648,81,176875,198125,-2147483648,2009000,3,2009000,176875,81,81,2009000,198125,176875,-2147483648,3,176875,198125,-2147483648,81,2009000,2,17303567,81,0,100,3,Li-ion,276,4083
