Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683470887457,false,true,-2147483648,86,300312,190312,-2147483648,2127000,3,2127000,300312,86,86,2127000,193750,300312,-2147483648,3,300312,193750,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470887980,false,true,-2147483648,86,181250,195312,-2147483648,2127000,3,2127000,181250,86,86,2127000,195312,181250,-2147483648,3,181250,195312,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470888533,false,true,-2147483648,86,154375,193437,-2147483648,2127000,3,2127000,154375,86,86,2127000,193437,154375,-2147483648,3,154375,193437,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470889083,false,true,-2147483648,86,109375,190625,-2147483648,2127000,3,2127000,109375,86,86,2127000,190625,109375,-2147483648,3,109375,190625,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470889619,false,true,-2147483648,86,121250,185937,-2147483648,2127000,3,2127000,121250,86,86,2127000,185937,121250,-2147483648,3,121250,185937,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470890173,false,true,-2147483648,86,118437,186875,-2147483648,2127000,3,2127000,118437,86,86,2127000,186875,118437,-2147483648,3,118437,186875,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470890729,false,true,-2147483648,86,83437,182500,-2147483648,2127000,3,2127000,83437,86,86,2127000,182500,83437,-2147483648,3,83437,182500,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470891251,false,true,-2147483648,86,171250,179375,-2147483648,2127000,3,2127000,171250,86,86,2127000,179375,171250,-2147483648,3,171250,179375,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470891791,false,true,-2147483648,86,110625,180625,-2147483648,2127000,3,2127000,110625,86,86,2127000,180625,110625,-2147483648,3,110625,180625,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470892311,false,true,-2147483648,86,201562,178437,-2147483648,2127000,3,2127000,201562,86,86,2127000,178437,201562,-2147483648,3,201562,178437,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470892855,false,true,-2147483648,86,99062,177187,-2147483648,2127000,3,2127000,99062,86,86,2127000,177187,99062,-2147483648,3,99062,177187,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470893398,false,true,-2147483648,86,185625,174687,-2147483648,2127000,3,2127000,185625,86,86,2127000,174687,185625,-2147483648,3,185625,174687,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470893957,false,true,-2147483648,86,96250,172812,-2147483648,2127000,3,2127000,96250,86,86,2127000,172812,96250,-2147483648,3,96250,172812,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470894493,false,true,-2147483648,86,98125,168125,-2147483648,2127000,3,2127000,98125,86,86,2127000,168125,98125,-2147483648,3,98125,168125,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470895044,false,true,-2147483648,86,88437,165937,-2147483648,2127000,3,2127000,88437,86,86,2127000,165937,88437,-2147483648,3,88437,165937,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470895582,false,true,-2147483648,86,100625,161562,-2147483648,2127000,3,2127000,100625,86,86,2127000,161562,100625,-2147483648,3,100625,161562,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470896137,false,true,-2147483648,86,236875,161250,-2147483648,2127000,3,2127000,236875,86,86,2127000,161250,236875,-2147483648,3,236875,161250,-2147483648,86,2127000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470896674,false,true,-2147483648,86,179375,161875,-2147483648,2126000,3,2126000,179375,86,86,2126000,161875,179375,-2147483648,3,179375,161875,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470897225,false,true,-2147483648,86,179375,162500,-2147483648,2126000,3,2126000,179375,86,86,2126000,162500,179375,-2147483648,3,179375,162500,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470897761,false,true,-2147483648,86,173125,161250,-2147483648,2126000,3,2126000,173125,86,86,2126000,161250,173125,-2147483648,3,173125,161250,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470898299,false,true,-2147483648,86,110937,161562,-2147483648,2126000,3,2126000,110937,86,86,2126000,161562,110937,-2147483648,3,110937,161562,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470898838,false,true,-2147483648,86,186875,158750,-2147483648,2126000,3,2126000,186875,86,86,2126000,158750,186875,-2147483648,3,186875,158750,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4122
1683470899372,false,true,-2147483648,86,112187,159687,-2147483648,2126000,3,2126000,112187,86,86,2126000,158125,112187,-2147483648,3,112187,158125,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4122
