Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683467408289,false,true,-2147483648,94,371250,201250,-2147483648,2308000,3,2308000,371250,94,94,2308000,201250,371250,-2147483648,3,371250,201250,-2147483648,94,2308000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467408818,false,true,-2147483648,94,224375,207187,-2147483648,2308000,3,2308000,224375,94,94,2308000,207187,224375,-2147483648,3,224375,207187,-2147483648,94,2308000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467409370,false,true,-2147483648,94,122500,205312,-2147483648,2308000,3,2308000,122500,94,94,2308000,205312,122500,-2147483648,3,122500,205312,-2147483648,94,2308000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467409912,false,true,-2147483648,94,192812,202187,-2147483648,2307000,3,2307000,192812,94,94,2307000,202187,192812,-2147483648,3,192812,202187,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467410451,false,true,-2147483648,94,177187,200000,-2147483648,2307000,3,2307000,177187,94,94,2307000,200000,177187,-2147483648,3,177187,200000,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467410995,false,true,-2147483648,94,183125,198750,-2147483648,2307000,3,2307000,115625,94,94,2307000,198750,115625,-2147483648,3,115625,198750,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467411548,false,true,-2147483648,94,185937,195937,-2147483648,2307000,3,2307000,185937,94,94,2307000,195937,185937,-2147483648,3,185937,195937,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467412070,false,true,-2147483648,94,160312,193125,-2147483648,2307000,3,2307000,160312,94,94,2307000,193125,160312,-2147483648,3,160312,193125,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467412618,false,true,-2147483648,94,114062,191875,-2147483648,2307000,3,2307000,114062,94,94,2307000,191875,114062,-2147483648,3,114062,191875,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467413167,false,true,-2147483648,94,170625,188750,-2147483648,2307000,3,2307000,170625,94,94,2307000,188750,170625,-2147483648,3,170625,188750,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467413703,false,true,-2147483648,94,102812,188125,-2147483648,2307000,3,2307000,102812,94,94,2307000,185625,102812,-2147483648,3,102812,185625,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467414236,false,true,-2147483648,94,162812,182812,-2147483648,2307000,3,2307000,162812,94,94,2307000,182812,162812,-2147483648,3,162812,182812,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467414780,false,true,-2147483648,94,168437,181562,-2147483648,2307000,3,2307000,168437,94,94,2307000,181562,168437,-2147483648,3,168437,181562,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467415319,false,true,-2147483648,94,174687,179687,-2147483648,2307000,3,2307000,174687,94,94,2307000,179687,174687,-2147483648,3,174687,179687,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467415867,false,true,-2147483648,94,90000,176875,-2147483648,2307000,3,2307000,90000,94,94,2307000,176875,90000,-2147483648,3,90000,176875,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467416395,false,true,-2147483648,94,180937,175000,-2147483648,2307000,3,2307000,180937,94,94,2307000,175000,180937,-2147483648,3,180937,175000,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467416943,false,true,-2147483648,94,160625,175000,-2147483648,2307000,3,2307000,160625,94,94,2307000,175000,135000,-2147483648,3,135000,175000,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467417479,false,true,-2147483648,94,107187,173750,-2147483648,2307000,3,2307000,107187,94,94,2307000,173750,107187,-2147483648,3,107187,173750,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467418007,false,true,-2147483648,94,183437,169062,-2147483648,2307000,3,2307000,183437,94,94,2307000,169062,183437,-2147483648,3,183437,169062,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467418542,false,true,-2147483648,94,78125,169687,-2147483648,2307000,3,2307000,78125,94,94,2307000,169687,78125,-2147483648,3,78125,169687,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467419085,false,true,-2147483648,94,74687,166875,-2147483648,2307000,3,2307000,74687,94,94,2307000,166875,74687,-2147483648,3,74687,166875,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467419620,false,true,-2147483648,94,91875,164062,-2147483648,2307000,3,2307000,91875,94,94,2307000,164062,91875,-2147483648,3,91875,164062,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467420174,false,true,-2147483648,94,91875,161562,-2147483648,2307000,3,2307000,91875,94,94,2307000,161562,91875,-2147483648,3,91875,161562,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467420734,false,true,-2147483648,94,126562,158437,-2147483648,2307000,3,2307000,126562,94,94,2307000,158437,126562,-2147483648,3,126562,158437,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
1683467421278,false,true,-2147483648,94,117500,159375,-2147483648,2307000,3,2307000,117500,94,94,2307000,159375,117500,-2147483648,3,117500,159375,-2147483648,94,2307000,2,17303567,94,0,100,3,Li-ion,275,4216
