Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683478613138,false,true,-2147483648,86,495312,208750,-2147483648,2118000,3,2118000,495312,86,86,2118000,208750,495312,-2147483648,3,495312,208750,-2147483648,86,2118000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478613663,false,true,-2147483648,86,163125,217500,-2147483648,2118000,3,2118000,163125,86,86,2118000,217500,163125,-2147483648,3,163125,217500,-2147483648,86,2118000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478614214,false,true,-2147483648,86,124375,215937,-2147483648,2118000,3,2118000,124375,86,86,2118000,215937,124375,-2147483648,3,124375,215937,-2147483648,86,2118000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478614758,false,true,-2147483648,86,99375,209375,-2147483648,2118000,3,2118000,99375,86,86,2118000,209375,99375,-2147483648,3,99375,209375,-2147483648,86,2118000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478615279,false,true,-2147483648,86,103750,205937,-2147483648,2118000,3,2118000,103750,86,86,2118000,205937,103750,-2147483648,3,103750,205937,-2147483648,86,2118000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478615813,false,true,-2147483648,86,99375,199062,-2147483648,2118000,3,2118000,99375,86,86,2118000,199062,99375,-2147483648,3,99375,199062,-2147483648,86,2118000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478616357,false,true,-2147483648,86,107187,195937,-2147483648,2117000,3,2117000,107187,86,86,2117000,195937,107187,-2147483648,3,107187,195937,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478616895,false,true,-2147483648,86,242187,190000,-2147483648,2117000,3,2117000,242187,86,86,2117000,190000,242187,-2147483648,3,242187,190000,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478617445,false,true,-2147483648,86,206562,192187,-2147483648,2117000,3,2117000,206562,86,86,2117000,192187,206562,-2147483648,3,206562,192187,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478617982,false,true,-2147483648,86,179375,189687,-2147483648,2117000,3,2117000,179375,86,86,2117000,189687,179375,-2147483648,3,179375,189687,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478618514,false,true,-2147483648,86,106562,186562,-2147483648,2117000,3,2117000,106562,86,86,2117000,186562,106562,-2147483648,3,106562,186562,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478619052,false,true,-2147483648,86,181875,184375,-2147483648,2117000,3,2117000,181875,86,86,2117000,184375,181875,-2147483648,3,181875,184375,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478619596,false,true,-2147483648,86,107812,181875,-2147483648,2117000,3,2117000,107812,86,86,2117000,181875,107812,-2147483648,3,107812,181875,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478620131,false,true,-2147483648,86,103125,181250,-2147483648,2117000,3,2117000,103125,86,86,2117000,181250,103125,-2147483648,3,103125,181250,-2147483648,86,2117000,2,17303567,86,0,100,3,Li-ion,253,4127
