Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683481266028,false,true,-2147483648,81,417812,209062,-2147483648,1996000,3,1996000,417812,81,81,1996000,209062,417812,-2147483648,3,417812,209062,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481266551,false,true,-2147483648,81,242812,216562,-2147483648,1996000,3,1996000,242812,81,81,1996000,216562,242812,-2147483648,3,242812,216562,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481267082,false,true,-2147483648,81,155937,222187,-2147483648,1996000,3,1996000,155937,81,81,1996000,222187,155937,-2147483648,3,155937,222187,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481267623,false,true,-2147483648,81,198125,219375,-2147483648,1996000,3,1996000,198125,81,81,1996000,219375,150312,-2147483648,3,150312,219375,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481268150,false,true,-2147483648,81,117187,217187,-2147483648,1996000,3,1996000,117187,81,81,1996000,217187,117187,-2147483648,3,117187,217187,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481268688,false,true,-2147483648,81,192187,213437,-2147483648,1996000,3,1996000,131875,81,81,1996000,213437,131875,-2147483648,3,131875,213437,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481269223,false,true,-2147483648,81,113437,210625,-2147483648,1996000,3,1996000,113437,81,81,1996000,210625,113437,-2147483648,3,113437,210625,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481269757,false,true,-2147483648,81,156875,205312,-2147483648,1996000,3,1996000,156875,81,81,1996000,205312,156875,-2147483648,3,156875,205312,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481270296,false,true,-2147483648,81,201562,203750,-2147483648,1996000,3,1996000,201562,81,81,1996000,203750,201562,-2147483648,3,201562,203750,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481270830,false,true,-2147483648,81,125000,201875,-2147483648,1996000,3,1996000,125000,81,81,1996000,201875,125000,-2147483648,3,125000,201875,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481271369,false,true,-2147483648,81,139062,199687,-2147483648,1996000,3,1996000,139062,81,81,1996000,199687,139062,-2147483648,3,139062,199687,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481271905,false,true,-2147483648,81,185312,195000,-2147483648,1996000,3,1996000,185312,81,81,1996000,195000,185312,-2147483648,3,185312,195000,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481272443,false,true,-2147483648,81,139687,194687,-2147483648,1996000,3,1996000,139687,81,81,1996000,193125,139687,-2147483648,3,139687,193125,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481272977,false,true,-2147483648,81,202812,190625,-2147483648,1996000,3,1996000,202812,81,81,1996000,190625,202812,-2147483648,3,202812,190625,-2147483648,81,1996000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481273511,false,true,-2147483648,81,160937,190000,-2147483648,1995000,3,1995000,160937,81,81,1995000,190000,160937,-2147483648,3,160937,190000,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481274043,false,true,-2147483648,81,197187,188125,-2147483648,1995000,3,1995000,197187,81,81,1995000,188125,197187,-2147483648,3,197187,188125,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481274584,false,true,-2147483648,81,131875,186562,-2147483648,1995000,3,1995000,131875,81,81,1995000,186562,131875,-2147483648,3,131875,186562,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481275117,false,true,-2147483648,81,114062,184062,-2147483648,1995000,3,1995000,114062,81,81,1995000,184062,114062,-2147483648,3,114062,184062,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481275650,false,true,-2147483648,81,129062,180312,-2147483648,1995000,3,1995000,129062,81,81,1995000,180312,129062,-2147483648,3,129062,180312,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481276185,false,true,-2147483648,81,137500,178750,-2147483648,1995000,3,1995000,137500,81,81,1995000,178750,137500,-2147483648,3,137500,178750,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481276723,false,true,-2147483648,81,131250,175937,-2147483648,1995000,3,1995000,131250,81,81,1995000,175937,131250,-2147483648,3,131250,175937,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481277260,false,true,-2147483648,81,112187,175312,-2147483648,1995000,3,1995000,112187,81,81,1995000,175312,112187,-2147483648,3,112187,175312,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481277794,false,true,-2147483648,81,200000,174062,-2147483648,1995000,3,1995000,200000,81,81,1995000,174062,190000,-2147483648,3,190000,174062,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481278327,false,true,-2147483648,81,124375,174687,-2147483648,1995000,3,1995000,124375,81,81,1995000,174687,124375,-2147483648,3,124375,174687,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481278865,false,true,-2147483648,81,127187,174375,-2147483648,1995000,3,1995000,127187,81,81,1995000,174375,127187,-2147483648,3,127187,174375,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481279402,false,true,-2147483648,81,109062,172812,-2147483648,1995000,3,1995000,109062,81,81,1995000,172812,109062,-2147483648,3,109062,172812,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481279940,false,true,-2147483648,81,121562,176875,-2147483648,1995000,3,1995000,121562,81,81,1995000,176875,121562,-2147483648,3,121562,176875,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481280474,false,true,-2147483648,81,125000,175312,-2147483648,1995000,3,1995000,125000,81,81,1995000,175312,125000,-2147483648,3,125000,175312,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481281009,false,true,-2147483648,81,132187,171875,-2147483648,1995000,3,1995000,132187,81,81,1995000,171875,132187,-2147483648,3,132187,171875,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481281542,false,true,-2147483648,81,122187,170625,-2147483648,1995000,3,1995000,122187,81,81,1995000,170625,122187,-2147483648,3,122187,170625,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481282078,false,true,-2147483648,81,179375,167500,-2147483648,1995000,3,1995000,179375,81,81,1995000,167500,179375,-2147483648,3,179375,167500,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481282616,false,true,-2147483648,81,122500,166250,-2147483648,1995000,3,1995000,122500,81,81,1995000,166250,122500,-2147483648,3,122500,166250,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481283147,false,true,-2147483648,81,203750,164687,-2147483648,1995000,3,1995000,203750,81,81,1995000,164687,203750,-2147483648,3,203750,164687,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481283685,false,true,-2147483648,81,119687,164375,-2147483648,1995000,3,1995000,119687,81,81,1995000,164375,119687,-2147483648,3,119687,164375,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481284216,false,true,-2147483648,81,194062,164375,-2147483648,1995000,3,1995000,194062,81,81,1995000,164375,194062,-2147483648,3,194062,164375,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481284742,false,true,-2147483648,81,106875,163437,-2147483648,1995000,3,1995000,106875,81,81,1995000,163437,106875,-2147483648,3,106875,163437,-2147483648,81,1995000,2,17303567,81,0,100,3,Li-ion,267,4078
