Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683481392427,false,true,-2147483648,81,713750,205625,-2147483648,1990000,3,1990000,713750,81,81,1990000,205625,713750,-2147483648,3,713750,205625,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481392955,false,true,-2147483648,81,326875,221562,-2147483648,1990000,3,1990000,326875,81,81,1990000,225000,326875,-2147483648,3,326875,225000,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481393492,false,true,-2147483648,81,220625,229375,-2147483648,1990000,3,1990000,220625,81,81,1990000,229375,220625,-2147483648,3,220625,229375,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481394028,false,true,-2147483648,81,232187,229375,-2147483648,1990000,3,1990000,232187,81,81,1990000,229375,232187,-2147483648,3,232187,229375,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481394561,false,true,-2147483648,81,236250,227187,-2147483648,1990000,3,1990000,236250,81,81,1990000,227187,236250,-2147483648,3,236250,227187,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481395103,false,true,-2147483648,81,241250,227812,-2147483648,1990000,3,1990000,241250,81,81,1990000,227812,241250,-2147483648,3,241250,227812,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481395655,false,true,-2147483648,81,237812,226875,-2147483648,1990000,3,1990000,237812,81,81,1990000,226875,237812,-2147483648,3,237812,226875,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481396181,false,true,-2147483648,81,271875,228437,-2147483648,1990000,3,1990000,271875,81,81,1990000,228437,271875,-2147483648,3,271875,228437,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481396731,false,true,-2147483648,81,290625,230000,-2147483648,1990000,3,1990000,290625,81,81,1990000,230000,290625,-2147483648,3,290625,230000,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,267,4078
1683481397255,false,true,-2147483648,81,260000,229687,-2147483648,1990000,3,1990000,260000,81,81,1990000,229687,260000,-2147483648,3,260000,229687,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481397798,false,true,-2147483648,81,161250,230625,-2147483648,1990000,3,1990000,161250,81,81,1990000,230625,161250,-2147483648,3,161250,230625,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481398338,false,true,-2147483648,81,151875,227187,-2147483648,1990000,3,1990000,151875,81,81,1990000,227187,151875,-2147483648,3,151875,227187,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481398874,false,true,-2147483648,81,195000,225000,-2147483648,1990000,3,1990000,195000,81,81,1990000,225000,195000,-2147483648,3,195000,225000,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481399412,false,true,-2147483648,81,225000,221562,-2147483648,1990000,3,1990000,225000,81,81,1990000,221562,225000,-2147483648,3,225000,221562,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481399954,false,true,-2147483648,81,192187,221562,-2147483648,1990000,3,1990000,192187,81,81,1990000,221562,192187,-2147483648,3,192187,221562,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481400493,false,true,-2147483648,81,270625,218750,-2147483648,1990000,3,1990000,270625,81,81,1990000,218750,270625,-2147483648,3,270625,218750,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481401035,false,true,-2147483648,81,169062,218750,-2147483648,1990000,3,1990000,169062,81,81,1990000,218750,169062,-2147483648,3,169062,218750,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481401574,false,true,-2147483648,81,263125,217812,-2147483648,1989000,3,1989000,263125,81,81,1989000,217812,263125,-2147483648,3,263125,217812,-2147483648,81,1989000,2,17303567,81,0,100,3,Li-ion,265,4061
1683481402118,false,true,-2147483648,81,176562,218125,-2147483648,1989000,3,1989000,176562,81,81,1989000,218125,176562,-2147483648,3,176562,218125,-2147483648,81,1989000,2,17303567,81,0,100,3,Li-ion,265,4061
