Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683476590814,false,true,-2147483648,90,354375,205625,-2147483648,2209000,3,2209000,580312,90,90,2209000,205625,580312,-2147483648,3,580312,205625,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476591343,false,true,-2147483648,90,217500,217187,-2147483648,2209000,3,2209000,217500,90,90,2209000,217187,217500,-2147483648,3,217500,217187,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476591879,false,true,-2147483648,90,178750,215937,-2147483648,2209000,3,2209000,178750,90,90,2209000,215937,178750,-2147483648,3,178750,215937,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476592415,false,true,-2147483648,90,177187,215000,-2147483648,2209000,3,2209000,177187,90,90,2209000,215000,177187,-2147483648,3,177187,215000,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476592947,false,true,-2147483648,90,346250,211875,-2147483648,2209000,3,2209000,346250,90,90,2209000,211875,346250,-2147483648,3,346250,211875,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476593492,false,true,-2147483648,90,220625,216250,-2147483648,2209000,3,2209000,220625,90,90,2209000,216250,220625,-2147483648,3,220625,216250,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476594034,false,true,-2147483648,90,215625,214687,-2147483648,2209000,3,2209000,215625,90,90,2209000,214687,215625,-2147483648,3,215625,214687,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476594583,false,true,-2147483648,90,208750,214687,-2147483648,2209000,3,2209000,208750,90,90,2209000,214687,208750,-2147483648,3,208750,214687,-2147483648,90,2209000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476595137,false,true,-2147483648,90,201562,220312,-2147483648,2208000,3,2208000,201562,90,90,2208000,220312,201562,-2147483648,3,201562,220312,-2147483648,90,2208000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476595678,false,true,-2147483648,90,206875,219375,-2147483648,2208000,3,2208000,206875,90,90,2208000,219375,206875,-2147483648,3,206875,219375,-2147483648,90,2208000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476596223,false,true,-2147483648,90,158437,217500,-2147483648,2208000,3,2208000,158437,90,90,2208000,217500,158437,-2147483648,3,158437,217500,-2147483648,90,2208000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476596767,false,true,-2147483648,90,181250,214687,-2147483648,2208000,3,2208000,181250,90,90,2208000,214687,181250,-2147483648,3,169375,214687,-2147483648,90,2208000,2,17303567,90,0,100,3,Li-ion,274,4187
