Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683475832778,false,true,-2147483648,91,560625,212812,-2147483648,2243000,3,2243000,560625,91,91,2243000,212812,560625,-2147483648,3,560625,212812,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475833319,false,true,-2147483648,91,121250,216250,-2147483648,2243000,3,2243000,121250,91,91,2243000,216250,121250,-2147483648,3,121250,216250,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475833857,false,true,-2147483648,91,189687,212500,-2147483648,2243000,3,2243000,189687,91,91,2243000,212500,189687,-2147483648,3,189687,212500,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475834392,false,true,-2147483648,91,101250,210000,-2147483648,2243000,3,2243000,101250,91,91,2243000,210000,101250,-2147483648,3,101250,210000,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475834930,false,true,-2147483648,91,218750,206875,-2147483648,2243000,3,2243000,218750,91,91,2243000,206875,218750,-2147483648,3,218750,206875,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475835471,false,true,-2147483648,91,185625,204375,-2147483648,2243000,3,2243000,185625,91,91,2243000,204375,185625,-2147483648,3,185625,204375,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475836012,false,true,-2147483648,91,122187,201250,-2147483648,2243000,3,2243000,122187,91,91,2243000,201250,122187,-2147483648,3,122187,201250,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475836558,false,true,-2147483648,91,180937,198750,-2147483648,2243000,3,2243000,180937,91,91,2243000,198750,180937,-2147483648,3,180937,198750,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475837098,false,true,-2147483648,91,115312,196250,-2147483648,2243000,3,2243000,115312,91,91,2243000,196250,115312,-2147483648,3,115312,196250,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
1683475837638,false,true,-2147483648,91,196250,193437,-2147483648,2243000,3,2243000,196250,91,91,2243000,193437,196250,-2147483648,3,196250,193437,-2147483648,91,2243000,2,17303567,91,0,100,3,Li-ion,275,4216
