Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683480507971,false,true,-2147483648,82,575312,195312,-2147483648,2030000,3,2030000,575312,82,82,2030000,195312,575312,-2147483648,3,575312,195312,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480508496,false,true,-2147483648,82,376875,207187,-2147483648,2030000,3,2030000,376875,82,82,2030000,207187,376875,-2147483648,3,376875,207187,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480509046,false,true,-2147483648,82,106875,210000,-2147483648,2030000,3,2030000,106875,82,82,2030000,210000,106875,-2147483648,3,106875,210000,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480509596,false,true,-2147483648,82,198437,206875,-2147483648,2030000,3,2030000,198437,82,82,2030000,206875,198437,-2147483648,3,198437,206875,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480510121,false,true,-2147483648,82,240937,203125,-2147483648,2030000,3,2030000,240937,82,82,2030000,203125,240937,-2147483648,3,240937,203125,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480510673,false,true,-2147483648,82,267500,204375,-2147483648,2030000,3,2030000,267500,82,82,2030000,206250,267500,-2147483648,3,267500,206250,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480511212,false,true,-2147483648,82,168437,203125,-2147483648,2030000,3,2030000,168437,82,82,2030000,203125,168437,-2147483648,3,168437,203125,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480511733,false,true,-2147483648,82,166250,200937,-2147483648,2030000,3,2030000,166250,82,82,2030000,200937,166250,-2147483648,3,166250,200937,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480512297,false,true,-2147483648,82,142812,200937,-2147483648,2030000,3,2030000,142812,82,82,2030000,200937,142812,-2147483648,3,142812,200937,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480512839,false,true,-2147483648,82,102500,196250,-2147483648,2030000,3,2030000,102500,82,82,2030000,196250,102500,-2147483648,3,102500,196250,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480513392,false,true,-2147483648,82,151562,194062,-2147483648,2030000,3,2030000,151562,82,82,2030000,194062,151562,-2147483648,3,151562,194062,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480513946,false,true,-2147483648,82,154375,190000,-2147483648,2030000,3,2030000,154375,82,82,2030000,190000,154375,-2147483648,3,154375,190000,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480514511,false,true,-2147483648,82,83750,189062,-2147483648,2030000,3,2030000,83750,82,82,2030000,189062,83750,-2147483648,3,83750,189062,-2147483648,82,2030000,2,17303567,82,0,100,3,Li-ion,267,4094
