Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683480760686,false,true,-2147483648,82,345312,213750,-2147483648,2019000,3,2019000,345312,82,82,2019000,213750,345312,-2147483648,3,345312,213750,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480761213,false,true,-2147483648,82,282500,217812,-2147483648,2019000,3,2019000,282500,82,82,2019000,220000,282500,-2147483648,3,282500,220000,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480761740,false,true,-2147483648,82,159062,220625,-2147483648,2019000,3,2019000,159062,82,82,2019000,220625,159062,-2147483648,3,159062,220625,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480762277,false,true,-2147483648,82,231250,218750,-2147483648,2019000,3,2019000,231250,82,82,2019000,219062,231250,-2147483648,3,231250,219062,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480762796,false,true,-2147483648,82,239687,218437,-2147483648,2019000,3,2019000,239687,82,82,2019000,218437,239687,-2147483648,3,239687,218437,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480763341,false,true,-2147483648,82,322500,222187,-2147483648,2019000,3,2019000,322500,82,82,2019000,222187,322500,-2147483648,3,322500,222187,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480763883,false,true,-2147483648,82,238437,223750,-2147483648,2019000,3,2019000,238437,82,82,2019000,223750,238437,-2147483648,3,238437,223750,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480764422,false,true,-2147483648,82,254375,225000,-2147483648,2019000,3,2019000,254375,82,82,2019000,225000,254375,-2147483648,3,254375,225000,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480764975,false,true,-2147483648,82,299062,225312,-2147483648,2019000,3,2019000,299062,82,82,2019000,225312,299062,-2147483648,3,299062,225312,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480765521,false,true,-2147483648,82,377812,228125,-2147483648,2019000,3,2019000,377812,82,82,2019000,228125,377812,-2147483648,3,377812,228125,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480766062,false,true,-2147483648,82,156875,232812,-2147483648,2019000,3,2019000,156875,82,82,2019000,232812,156875,-2147483648,3,156875,232812,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480766604,false,true,-2147483648,82,178125,228750,-2147483648,2019000,3,2019000,178125,82,82,2019000,228750,178125,-2147483648,3,178125,228750,-2147483648,82,2019000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480767141,false,true,-2147483648,82,221562,227187,-2147483648,2018000,3,2018000,221562,82,82,2018000,227187,221562,-2147483648,3,221562,227187,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480767678,false,true,-2147483648,82,180937,225000,-2147483648,2018000,3,2018000,180937,82,82,2018000,225000,180937,-2147483648,3,180937,225000,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480768219,false,true,-2147483648,82,189687,223437,-2147483648,2018000,3,2018000,189687,82,82,2018000,223437,189687,-2147483648,3,189687,222500,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480768767,false,true,-2147483648,82,254062,220312,-2147483648,2018000,3,2018000,254062,82,82,2018000,220312,254062,-2147483648,3,254062,220312,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480769316,false,true,-2147483648,82,186250,220312,-2147483648,2018000,3,2018000,186250,82,82,2018000,220312,186250,-2147483648,3,186250,220312,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480769853,false,true,-2147483648,82,248125,218750,-2147483648,2018000,3,2018000,248125,82,82,2018000,218750,248125,-2147483648,3,248125,218750,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480770397,false,true,-2147483648,82,190312,218750,-2147483648,2018000,3,2018000,190312,82,82,2018000,218750,190312,-2147483648,3,190312,218750,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480770936,false,true,-2147483648,82,207187,218437,-2147483648,2018000,3,2018000,207187,82,82,2018000,218437,207187,-2147483648,3,207187,218437,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480771478,false,true,-2147483648,82,142812,216562,-2147483648,2018000,3,2018000,142812,82,82,2018000,216562,142812,-2147483648,3,142812,216562,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480772024,false,true,-2147483648,82,211562,214062,-2147483648,2018000,3,2018000,211562,82,82,2018000,214062,211562,-2147483648,3,211562,214062,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480772565,false,true,-2147483648,82,172812,213437,-2147483648,2018000,3,2018000,172812,82,82,2018000,213437,172812,-2147483648,3,172812,213437,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480773104,false,true,-2147483648,82,147812,212187,-2147483648,2018000,3,2018000,147812,82,82,2018000,212187,147812,-2147483648,3,147812,212187,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480773645,false,true,-2147483648,82,335937,209687,-2147483648,2018000,3,2018000,335937,82,82,2018000,209687,335937,-2147483648,3,335937,209687,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480774172,false,true,-2147483648,82,161875,213437,-2147483648,2018000,3,2018000,161875,82,82,2018000,213437,161875,-2147483648,3,161875,211875,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480774709,false,true,-2147483648,82,254062,215000,-2147483648,2018000,3,2018000,254062,82,82,2018000,215000,254062,-2147483648,3,254062,215000,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480775241,false,true,-2147483648,82,171250,214687,-2147483648,2018000,3,2018000,171250,82,82,2018000,214687,171250,-2147483648,3,171250,214687,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480775782,false,true,-2147483648,82,168437,214687,-2147483648,2018000,3,2018000,168437,82,82,2018000,214687,168437,-2147483648,3,168437,214687,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480776335,false,true,-2147483648,82,158437,211562,-2147483648,2018000,3,2018000,158437,82,82,2018000,211562,158437,-2147483648,3,158437,211562,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480776875,false,true,-2147483648,82,168437,214062,-2147483648,2018000,3,2018000,168437,82,82,2018000,214062,168437,-2147483648,3,168437,214062,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480777414,false,true,-2147483648,82,229375,213125,-2147483648,2018000,3,2018000,229375,82,82,2018000,213125,229375,-2147483648,3,229375,213125,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480777956,false,true,-2147483648,82,157500,211875,-2147483648,2018000,3,2018000,157500,82,82,2018000,211875,157500,-2147483648,3,157500,211875,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480778496,false,true,-2147483648,82,167187,210312,-2147483648,2018000,3,2018000,167187,82,82,2018000,210312,167187,-2147483648,3,167187,210312,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480779033,false,true,-2147483648,82,252500,208750,-2147483648,2018000,3,2018000,252500,82,82,2018000,208750,252500,-2147483648,3,252500,208750,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480779573,false,true,-2147483648,82,149375,209062,-2147483648,2018000,3,2018000,149375,82,82,2018000,209062,149375,-2147483648,3,149375,209062,-2147483648,82,2018000,2,17303567,82,0,100,3,Li-ion,267,4094
