Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683488588037,false,true,-2147483648,89,296875,203437,-2147483648,2178000,3,2178000,296875,89,89,2178000,203437,296875,-2147483648,3,296875,203437,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488588558,false,true,-2147483648,89,170312,214687,-2147483648,2178000,3,2178000,170312,89,89,2178000,214687,170312,-2147483648,3,170312,214687,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488589099,false,true,-2147483648,89,140000,210937,-2147483648,2178000,3,2178000,140000,89,89,2178000,210937,140000,-2147483648,3,140000,210937,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488589644,false,true,-2147483648,89,102500,208750,-2147483648,2178000,3,2178000,102500,89,89,2178000,208750,102500,-2147483648,3,102500,208750,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488590175,false,true,-2147483648,89,194062,202500,-2147483648,2178000,3,2178000,194062,89,89,2178000,202500,194062,-2147483648,3,194062,202500,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488590731,false,true,-2147483648,89,169375,202187,-2147483648,2178000,3,2178000,169375,89,89,2178000,202187,169375,-2147483648,3,169375,202187,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488591273,false,true,-2147483648,89,122187,197500,-2147483648,2178000,3,2178000,122187,89,89,2178000,197500,122187,-2147483648,3,122187,197500,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488591822,false,true,-2147483648,89,175937,195312,-2147483648,2178000,3,2178000,175937,89,89,2178000,195312,175937,-2147483648,3,175937,194687,-2147483648,89,2178000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488592374,false,true,-2147483648,89,254687,195000,-2147483648,2177000,3,2177000,254687,89,89,2177000,195000,254687,-2147483648,3,254687,195000,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488592912,false,true,-2147483648,89,173125,196250,-2147483648,2177000,3,2177000,173125,89,89,2177000,196250,173125,-2147483648,3,173125,196250,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488593455,false,true,-2147483648,89,119687,194062,-2147483648,2177000,3,2177000,119687,89,89,2177000,194062,119687,-2147483648,3,119687,194062,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488594005,false,true,-2147483648,89,98125,188750,-2147483648,2177000,3,2177000,98125,89,89,2177000,188750,98125,-2147483648,3,98125,188750,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488594559,false,true,-2147483648,89,115000,186875,-2147483648,2177000,3,2177000,115000,89,89,2177000,186875,115000,-2147483648,3,115000,186875,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488595118,false,true,-2147483648,89,111250,182812,-2147483648,2177000,3,2177000,111250,89,89,2177000,182812,111250,-2147483648,3,111250,182812,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488595683,false,true,-2147483648,89,136250,180625,-2147483648,2177000,3,2177000,136250,89,89,2177000,180625,136250,-2147483648,3,136250,179062,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488596219,false,true,-2147483648,89,195312,177500,-2147483648,2177000,3,2177000,195312,89,89,2177000,177500,195312,-2147483648,3,195312,177500,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488596770,false,true,-2147483648,89,115000,175937,-2147483648,2177000,3,2177000,115000,89,89,2177000,175937,115000,-2147483648,3,115000,175937,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488597315,false,true,-2147483648,89,183750,173750,-2147483648,2177000,3,2177000,183750,89,89,2177000,173750,183750,-2147483648,3,183750,173750,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488597876,false,true,-2147483648,89,108437,171875,-2147483648,2177000,3,2177000,130000,89,89,2177000,171875,130000,-2147483648,3,130000,171875,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488598411,false,true,-2147483648,89,195937,170625,-2147483648,2177000,3,2177000,195937,89,89,2177000,170625,195937,-2147483648,3,195937,170625,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488598949,false,true,-2147483648,89,170312,169375,-2147483648,2177000,3,2177000,170312,89,89,2177000,169375,170312,-2147483648,3,170312,169375,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488599490,false,true,-2147483648,89,99062,169687,-2147483648,2177000,3,2177000,99062,89,89,2177000,169687,99062,-2147483648,3,99062,169687,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488600037,false,true,-2147483648,89,88750,165625,-2147483648,2177000,3,2177000,88750,89,89,2177000,165625,88750,-2147483648,3,88750,165625,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488600578,false,true,-2147483648,89,193750,163125,-2147483648,2177000,3,2177000,193750,89,89,2177000,163125,193750,-2147483648,3,193750,163125,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488601120,false,true,-2147483648,89,115937,165000,-2147483648,2177000,3,2177000,115937,89,89,2177000,165000,115937,-2147483648,3,115937,165000,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488601659,false,true,-2147483648,89,108437,161875,-2147483648,2177000,3,2177000,108437,89,89,2177000,161875,108437,-2147483648,3,108437,161875,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488602214,false,true,-2147483648,89,104687,162187,-2147483648,2177000,3,2177000,104687,89,89,2177000,162187,104687,-2147483648,3,104687,162187,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488602756,false,true,-2147483648,89,90625,158125,-2147483648,2177000,3,2177000,90625,89,89,2177000,158125,90625,-2147483648,3,90625,158125,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488603305,false,true,-2147483648,89,92812,159375,-2147483648,2177000,3,2177000,92812,89,89,2177000,159375,92812,-2147483648,3,92812,159375,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488603843,false,true,-2147483648,89,132812,155625,-2147483648,2177000,3,2177000,132812,89,89,2177000,155625,132812,-2147483648,3,132812,155625,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488604392,false,true,-2147483648,89,100937,155000,-2147483648,2177000,3,2177000,100937,89,89,2177000,155000,100937,-2147483648,3,100937,155000,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488604942,false,true,-2147483648,89,121875,151875,-2147483648,2177000,3,2177000,121875,89,89,2177000,151875,121875,-2147483648,3,121875,151875,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488605486,false,true,-2147483648,89,69687,150937,-2147483648,2177000,3,2177000,69687,89,89,2177000,150937,69687,-2147483648,3,69687,150937,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488606035,false,true,-2147483648,89,98750,149375,-2147483648,2177000,3,2177000,98750,89,89,2177000,149375,98750,-2147483648,3,98750,149375,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488606584,false,true,-2147483648,89,176875,148750,-2147483648,2177000,3,2177000,176875,89,89,2177000,148750,176875,-2147483648,3,176875,148750,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488607107,false,true,-2147483648,89,169687,147187,-2147483648,2177000,3,2177000,169687,89,89,2177000,147187,169687,-2147483648,3,169687,147187,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488607639,false,true,-2147483648,89,213750,150000,-2147483648,2177000,3,2177000,213750,89,89,2177000,150000,213750,-2147483648,3,213750,150000,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488608200,false,true,-2147483648,89,116250,149375,-2147483648,2177000,3,2177000,116250,89,89,2177000,149375,116250,-2147483648,3,116250,149375,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488608758,false,true,-2147483648,89,131875,148750,-2147483648,2177000,3,2177000,131875,89,89,2177000,148750,131875,-2147483648,3,131875,148750,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488609307,false,true,-2147483648,89,92187,148125,-2147483648,2177000,3,2177000,92187,89,89,2177000,148125,92187,-2147483648,3,92187,148125,-2147483648,89,2177000,2,17303567,89,0,100,3,Li-ion,255,4162
