Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683491866075,false,true,-2147483648,82,403125,205000,-2147483648,2023000,3,2023000,403125,82,82,2023000,205000,403125,-2147483648,3,403125,205000,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491866598,false,true,-2147483648,82,238750,211875,-2147483648,2023000,3,2023000,238750,82,82,2023000,211875,238750,-2147483648,3,238750,211875,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491867129,false,true,-2147483648,82,379062,217812,-2147483648,2023000,3,2023000,379062,82,82,2023000,217812,379062,-2147483648,3,379062,217812,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491867662,false,true,-2147483648,82,203437,216250,-2147483648,2023000,3,2023000,203437,82,82,2023000,216250,203437,-2147483648,3,203437,216250,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491868185,false,true,-2147483648,82,173437,214687,-2147483648,2023000,3,2023000,173437,82,82,2023000,214687,173437,-2147483648,3,173437,214687,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491868726,false,true,-2147483648,82,289062,215625,-2147483648,2023000,3,2023000,289062,82,82,2023000,215625,289062,-2147483648,3,289062,215625,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491869258,false,true,-2147483648,82,177187,216562,-2147483648,2023000,3,2023000,177187,82,82,2023000,216562,177187,-2147483648,3,177187,216562,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491869794,false,true,-2147483648,82,309062,217187,-2147483648,2023000,3,2023000,309062,82,82,2023000,217187,309062,-2147483648,3,309062,217187,-2147483648,82,2023000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491870330,false,true,-2147483648,82,251250,220937,-2147483648,2022000,3,2022000,251250,82,82,2022000,220937,251250,-2147483648,3,251250,220937,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491870864,false,true,-2147483648,82,268750,220937,-2147483648,2022000,3,2022000,268750,82,82,2022000,220937,268750,-2147483648,3,268750,220937,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491871400,false,true,-2147483648,82,228437,220312,-2147483648,2022000,3,2022000,228437,82,82,2022000,220312,228437,-2147483648,3,228437,220312,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491871938,false,true,-2147483648,82,213750,220625,-2147483648,2022000,3,2022000,213750,82,82,2022000,220625,213750,-2147483648,3,213750,220625,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491872475,false,true,-2147483648,82,206875,218750,-2147483648,2022000,3,2022000,206875,82,82,2022000,218750,206875,-2147483648,3,206875,218750,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491873006,false,true,-2147483648,82,191875,218437,-2147483648,2022000,3,2022000,191875,82,82,2022000,218437,191875,-2147483648,3,191875,218437,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491873533,false,true,-2147483648,82,295312,216875,-2147483648,2022000,3,2022000,295312,82,82,2022000,216875,295312,-2147483648,3,295312,216875,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491874063,false,true,-2147483648,82,216562,219375,-2147483648,2022000,3,2022000,216562,82,82,2022000,219375,216562,-2147483648,3,216562,219375,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491874586,false,true,-2147483648,82,219687,219062,-2147483648,2022000,3,2022000,219687,82,82,2022000,219062,219687,-2147483648,3,219687,219062,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491875111,false,true,-2147483648,82,164062,219062,-2147483648,2022000,3,2022000,164062,82,82,2022000,219062,164062,-2147483648,3,164062,219062,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491875636,false,true,-2147483648,82,165000,219062,-2147483648,2022000,3,2022000,165000,82,82,2022000,219062,165000,-2147483648,3,165000,219062,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491876167,false,true,-2147483648,82,186562,217500,-2147483648,2022000,3,2022000,186562,82,82,2022000,217500,186562,-2147483648,3,186562,217500,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491876695,false,true,-2147483648,82,213125,216562,-2147483648,2022000,3,2022000,213125,82,82,2022000,216562,213125,-2147483648,3,213125,216562,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491877226,false,true,-2147483648,82,183437,216250,-2147483648,2022000,3,2022000,183437,82,82,2022000,216250,183437,-2147483648,3,183437,216250,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491877757,false,true,-2147483648,82,185312,214062,-2147483648,2022000,3,2022000,185312,82,82,2022000,214062,185312,-2147483648,3,185312,214062,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491878286,false,true,-2147483648,82,215312,213125,-2147483648,2022000,3,2022000,215312,82,82,2022000,213125,215312,-2147483648,3,215312,213125,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491878822,false,true,-2147483648,82,207500,210937,-2147483648,2022000,3,2022000,207500,82,82,2022000,210937,207500,-2147483648,3,207500,210937,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491879355,false,true,-2147483648,82,140625,210937,-2147483648,2022000,3,2022000,140625,82,82,2022000,208750,140625,-2147483648,3,140625,208750,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491879889,false,true,-2147483648,82,280312,209062,-2147483648,2022000,3,2022000,280312,82,82,2022000,209062,280312,-2147483648,3,280312,209062,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491880421,false,true,-2147483648,82,183437,210625,-2147483648,2022000,3,2022000,183437,82,82,2022000,210625,183437,-2147483648,3,183437,210625,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491880957,false,true,-2147483648,82,247812,209062,-2147483648,2022000,3,2022000,247812,82,82,2022000,209062,247812,-2147483648,3,247812,209062,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491881491,false,true,-2147483648,82,239062,210937,-2147483648,2022000,3,2022000,239062,82,82,2022000,210937,239062,-2147483648,3,239062,210937,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
1683491882022,false,true,-2147483648,82,277812,213750,-2147483648,2022000,3,2022000,277812,82,82,2022000,213750,277812,-2147483648,3,277812,213750,-2147483648,82,2022000,2,17303567,82,0,100,3,Li-ion,263,4088
