Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683489470680,false,true,-2147483648,87,390937,196250,-2147483648,2139000,3,2139000,390937,87,87,2139000,196250,390937,-2147483648,3,390937,196250,-2147483648,87,2139000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489471205,false,true,-2147483648,87,167187,204375,-2147483648,2139000,3,2139000,167187,87,87,2139000,204375,167187,-2147483648,3,167187,204375,-2147483648,87,2139000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489471729,false,true,-2147483648,87,174062,203437,-2147483648,2139000,3,2139000,174062,87,87,2139000,203437,174062,-2147483648,3,174062,203437,-2147483648,87,2139000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489472273,false,true,-2147483648,87,138437,203125,-2147483648,2139000,3,2139000,138437,87,87,2139000,203125,138437,-2147483648,3,138437,203125,-2147483648,87,2139000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489472800,false,true,-2147483648,87,104687,201250,-2147483648,2139000,3,2139000,104687,87,87,2139000,201250,104687,-2147483648,3,104687,201250,-2147483648,87,2139000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489473345,false,true,-2147483648,87,93125,196562,-2147483648,2138000,3,2138000,93125,87,87,2138000,196562,93125,-2147483648,3,93125,196562,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489473876,false,true,-2147483648,87,106562,193437,-2147483648,2138000,3,2138000,106562,87,87,2138000,193437,106562,-2147483648,3,106562,193437,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489474414,false,true,-2147483648,87,96875,189062,-2147483648,2138000,3,2138000,96875,87,87,2138000,189062,96875,-2147483648,3,96875,189062,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489474955,false,true,-2147483648,87,226250,186250,-2147483648,2138000,3,2138000,226250,87,87,2138000,186250,226250,-2147483648,3,226250,186250,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489475490,false,true,-2147483648,87,182500,185000,-2147483648,2138000,3,2138000,182500,87,87,2138000,185000,182500,-2147483648,3,182500,185000,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489476043,false,true,-2147483648,87,85625,181875,-2147483648,2138000,3,2138000,85625,87,87,2138000,181875,85625,-2147483648,3,85625,181875,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489476588,false,true,-2147483648,87,183750,179375,-2147483648,2138000,3,2138000,183750,87,87,2138000,179375,183750,-2147483648,3,183750,179375,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489477124,false,true,-2147483648,87,98125,176875,-2147483648,2138000,3,2138000,98125,87,87,2138000,176875,98125,-2147483648,3,98125,176875,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489477669,false,true,-2147483648,87,164062,178437,-2147483648,2138000,3,2138000,164062,87,87,2138000,178437,164062,-2147483648,3,164062,178437,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489478217,false,true,-2147483648,87,128437,175937,-2147483648,2138000,3,2138000,128437,87,87,2138000,175937,128437,-2147483648,3,128437,175937,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489478758,false,true,-2147483648,87,136250,174375,-2147483648,2138000,3,2138000,136250,87,87,2138000,174375,136250,-2147483648,3,136250,174375,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
1683489479291,false,true,-2147483648,87,232812,171562,-2147483648,2138000,3,2138000,232812,87,87,2138000,171562,232812,-2147483648,3,232812,171562,-2147483648,87,2138000,2,17303567,87,0,100,3,Li-ion,259,4121
