Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683491361567,false,true,-2147483648,83,382500,216875,-2147483648,2048000,3,2048000,382500,83,83,2048000,216875,382500,-2147483648,3,382500,216875,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491362089,false,true,-2147483648,83,228750,221875,-2147483648,2048000,3,2048000,228750,83,83,2048000,221875,228750,-2147483648,3,228750,221875,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491362621,false,true,-2147483648,83,222812,222187,-2147483648,2048000,3,2048000,222812,83,83,2048000,222187,222812,-2147483648,3,222812,222187,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491363153,false,true,-2147483648,83,243750,222187,-2147483648,2048000,3,2048000,243750,83,83,2048000,222187,243750,-2147483648,3,243750,222187,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491363675,false,true,-2147483648,83,179375,223437,-2147483648,2048000,3,2048000,179375,83,83,2048000,223437,179375,-2147483648,3,179375,223437,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491364213,false,true,-2147483648,83,265625,221875,-2147483648,2048000,3,2048000,265625,83,83,2048000,221875,265625,-2147483648,3,265625,221875,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491364750,false,true,-2147483648,83,184687,220937,-2147483648,2048000,3,2048000,184687,83,83,2048000,220937,184687,-2147483648,3,184687,220937,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491365286,false,true,-2147483648,83,303750,219687,-2147483648,2048000,3,2048000,303750,83,83,2048000,222500,303750,-2147483648,3,303750,222500,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491365819,false,true,-2147483648,83,292187,227187,-2147483648,2048000,3,2048000,292187,83,83,2048000,227187,292187,-2147483648,3,292187,227187,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491366353,false,true,-2147483648,83,175937,227812,-2147483648,2048000,3,2048000,175937,83,83,2048000,227812,175937,-2147483648,3,175937,227812,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
1683491366892,false,true,-2147483648,83,231250,229062,-2147483648,2048000,3,2048000,231250,83,83,2048000,229062,231250,-2147483648,3,231250,229062,-2147483648,83,2048000,2,17303567,83,0,100,3,Li-ion,263,4099
