Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683492622794,false,true,-2147483648,81,432812,214375,-2147483648,1986000,3,1986000,432812,81,81,1986000,214375,432812,-2147483648,3,432812,214375,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492623321,false,true,-2147483648,81,160312,221250,-2147483648,1986000,3,1986000,160312,81,81,1986000,221250,160312,-2147483648,3,160312,221250,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492623863,false,true,-2147483648,81,133125,220312,-2147483648,1986000,3,1986000,133125,81,81,1986000,220312,133125,-2147483648,3,133125,220312,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492624407,false,true,-2147483648,81,115312,217500,-2147483648,1986000,3,1986000,115312,81,81,1986000,217500,115312,-2147483648,3,115312,217500,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492624948,false,true,-2147483648,81,235312,211250,-2147483648,1986000,3,1986000,235312,81,81,1986000,211250,235312,-2147483648,3,235312,211250,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492625490,false,true,-2147483648,81,170312,210937,-2147483648,1986000,3,1986000,170312,81,81,1986000,210937,170312,-2147483648,3,170312,210937,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492626041,false,true,-2147483648,81,177500,208125,-2147483648,1986000,3,1986000,177500,81,81,1986000,208125,177500,-2147483648,3,177500,208125,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492626604,false,true,-2147483648,81,190000,206562,-2147483648,1986000,3,1986000,190000,81,81,1986000,206562,190000,-2147483648,3,190000,206562,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492627144,false,true,-2147483648,81,140625,206875,-2147483648,1986000,3,1986000,140625,81,81,1986000,206875,140625,-2147483648,3,140625,206875,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492627683,false,true,-2147483648,81,116250,205000,-2147483648,1986000,3,1986000,116250,81,81,1986000,205000,116250,-2147483648,3,116250,205000,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492628228,false,true,-2147483648,81,162500,202187,-2147483648,1986000,3,1986000,162500,81,81,1986000,202187,162500,-2147483648,3,162500,202187,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492628772,false,true,-2147483648,81,173437,198437,-2147483648,1986000,3,1986000,173437,81,81,1986000,198437,173437,-2147483648,3,173437,198437,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492629311,false,true,-2147483648,81,146875,197812,-2147483648,1986000,3,1986000,146875,81,81,1986000,197812,146875,-2147483648,3,146875,197812,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492629852,false,true,-2147483648,81,203437,193750,-2147483648,1986000,3,1986000,203437,81,81,1986000,193750,203437,-2147483648,3,203437,193750,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492630393,false,true,-2147483648,81,127812,192187,-2147483648,1986000,3,1986000,127812,81,81,1986000,192187,127812,-2147483648,3,127812,192187,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492630928,false,true,-2147483648,81,131250,189375,-2147483648,1986000,3,1986000,131250,81,81,1986000,189375,131250,-2147483648,3,131250,189375,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492631466,false,true,-2147483648,81,111875,185312,-2147483648,1986000,3,1986000,111875,81,81,1986000,185312,111875,-2147483648,3,111875,185312,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492631987,false,true,-2147483648,81,207812,182812,-2147483648,1986000,3,1986000,207812,81,81,1986000,182812,207812,-2147483648,3,207812,182812,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492632531,false,true,-2147483648,81,155312,182812,-2147483648,1986000,3,1986000,155312,81,81,1986000,182812,155312,-2147483648,3,155312,182812,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492633072,false,true,-2147483648,81,155625,181250,-2147483648,1986000,3,1986000,155625,81,81,1986000,181250,155625,-2147483648,3,155625,181250,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492633610,false,true,-2147483648,81,205000,181250,-2147483648,1986000,3,1986000,205000,81,81,1986000,181250,205000,-2147483648,3,205000,181250,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492634149,false,true,-2147483648,81,115937,180000,-2147483648,1986000,3,1986000,115937,81,81,1986000,180000,115937,-2147483648,3,115937,180000,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492634692,false,true,-2147483648,81,117500,180000,-2147483648,1986000,3,1986000,117500,81,81,1986000,180000,117500,-2147483648,3,117500,180000,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492635234,false,true,-2147483648,81,445312,178125,-2147483648,1986000,3,1986000,445312,81,81,1986000,178125,445312,-2147483648,3,445312,178125,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492635779,false,true,-2147483648,81,120000,186562,-2147483648,1986000,3,1986000,120000,81,81,1986000,186562,120000,-2147483648,3,120000,186562,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492636319,false,true,-2147483648,81,108750,184375,-2147483648,1986000,3,1986000,108750,81,81,1986000,184375,108750,-2147483648,3,108750,184375,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492636869,false,true,-2147483648,81,123750,180000,-2147483648,1986000,3,1986000,123750,81,81,1986000,180000,123750,-2147483648,3,123750,180000,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492637405,false,true,-2147483648,81,155312,177500,-2147483648,1986000,3,1986000,155312,81,81,1986000,177500,155312,-2147483648,3,155312,177500,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492637943,false,true,-2147483648,81,190312,175937,-2147483648,1986000,3,1986000,190312,81,81,1986000,175937,190312,-2147483648,3,190312,175937,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492638490,false,true,-2147483648,81,117187,174687,-2147483648,1986000,3,1986000,117187,81,81,1986000,174687,117187,-2147483648,3,117187,174687,-2147483648,81,1986000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492639031,false,true,-2147483648,81,210000,174062,-2147483648,1985000,3,1985000,210000,81,81,1985000,174062,210000,-2147483648,3,210000,174062,-2147483648,81,1985000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492639566,false,true,-2147483648,81,187500,175625,-2147483648,1985000,3,1985000,187500,81,81,1985000,175625,187500,-2147483648,3,187500,175625,-2147483648,81,1985000,2,17303567,81,0,100,3,Li-ion,262,4011
