Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683487705454,false,true,-2147483648,90,233437,211875,-2147483648,2216000,3,2216000,233437,90,90,2216000,211875,233437,-2147483648,3,233437,211875,-2147483648,90,2216000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487705986,false,true,-2147483648,90,504062,210937,-2147483648,2216000,3,2216000,504062,90,90,2216000,210937,504062,-2147483648,3,504062,210937,-2147483648,90,2216000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487706546,false,true,-2147483648,90,75000,220000,-2147483648,2216000,3,2216000,75000,90,90,2216000,220000,75000,-2147483648,3,75000,220000,-2147483648,90,2216000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487707084,false,true,-2147483648,90,161875,211875,-2147483648,2216000,3,2216000,161875,90,90,2216000,211875,161875,-2147483648,3,161875,211875,-2147483648,90,2216000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487707611,false,true,-2147483648,90,165937,210312,-2147483648,2216000,3,2216000,165937,90,90,2216000,210312,165937,-2147483648,3,165937,210312,-2147483648,90,2216000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487708152,false,true,-2147483648,90,170625,205625,-2147483648,2216000,3,2216000,170625,90,90,2216000,205625,170625,-2147483648,3,170625,205625,-2147483648,90,2216000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487708722,false,true,-2147483648,90,172500,203437,-2147483648,2215000,3,2215000,172500,90,90,2215000,203437,172500,-2147483648,3,172500,203437,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487709268,false,true,-2147483648,90,103437,204062,-2147483648,2215000,3,2215000,103437,90,90,2215000,204062,103437,-2147483648,3,103437,204062,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487709806,false,true,-2147483648,90,182187,200312,-2147483648,2215000,3,2215000,182187,90,90,2215000,200312,182187,-2147483648,3,130937,200312,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487710363,false,true,-2147483648,90,110937,198125,-2147483648,2215000,3,2215000,110937,90,90,2215000,198125,110937,-2147483648,3,110937,198125,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487710903,false,true,-2147483648,90,120625,195937,-2147483648,2215000,3,2215000,120625,90,90,2215000,195937,120625,-2147483648,3,120625,195937,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487711453,false,true,-2147483648,90,95000,193750,-2147483648,2215000,3,2215000,95000,90,90,2215000,193750,95000,-2147483648,3,95000,193750,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487712000,false,true,-2147483648,90,210000,190312,-2147483648,2215000,3,2215000,210000,90,90,2215000,190312,210000,-2147483648,3,210000,190312,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487712555,false,true,-2147483648,90,165000,190000,-2147483648,2215000,3,2215000,165000,90,90,2215000,190000,165000,-2147483648,3,165000,190000,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487713115,false,true,-2147483648,90,76562,189687,-2147483648,2215000,3,2215000,76562,90,90,2215000,189687,76562,-2147483648,3,76562,189687,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487713678,false,true,-2147483648,90,92812,183437,-2147483648,2215000,3,2215000,113750,90,90,2215000,183437,113750,-2147483648,3,113750,183437,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487714243,false,true,-2147483648,90,92187,181250,-2147483648,2215000,3,2215000,92187,90,90,2215000,181250,92187,-2147483648,3,92187,181250,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487714783,false,true,-2147483648,90,113125,177187,-2147483648,2215000,3,2215000,113125,90,90,2215000,177187,113125,-2147483648,3,113125,177187,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487715343,false,true,-2147483648,90,245312,175312,-2147483648,2215000,3,2215000,245312,90,90,2215000,177500,245312,-2147483648,3,245312,177500,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487715895,false,true,-2147483648,90,101562,174375,-2147483648,2215000,3,2215000,101562,90,90,2215000,174375,101562,-2147483648,3,101562,174375,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487716435,false,true,-2147483648,90,178125,172500,-2147483648,2215000,3,2215000,178125,90,90,2215000,172500,178125,-2147483648,3,178125,172500,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487716976,false,true,-2147483648,90,143125,170312,-2147483648,2215000,3,2215000,143125,90,90,2215000,170312,143125,-2147483648,3,143125,170312,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487717516,false,true,-2147483648,90,176562,169687,-2147483648,2215000,3,2215000,176562,90,90,2215000,169687,176562,-2147483648,3,193125,169687,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487718056,false,true,-2147483648,90,128437,170312,-2147483648,2215000,3,2215000,128437,90,90,2215000,170312,128437,-2147483648,3,128437,170312,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487718596,false,true,-2147483648,90,106875,166875,-2147483648,2215000,3,2215000,106875,90,90,2215000,166875,106875,-2147483648,3,106875,166875,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487719136,false,true,-2147483648,90,73437,165000,-2147483648,2215000,3,2215000,73437,90,90,2215000,165000,73437,-2147483648,3,73437,165000,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487719675,false,true,-2147483648,90,111250,161250,-2147483648,2215000,3,2215000,111250,90,90,2215000,161250,111250,-2147483648,3,111250,161250,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487720221,false,true,-2147483648,90,142812,159687,-2147483648,2215000,3,2215000,142812,90,90,2215000,159687,142812,-2147483648,3,142812,159687,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487720777,false,true,-2147483648,90,170625,157812,-2147483648,2215000,3,2215000,170625,90,90,2215000,157812,170625,-2147483648,3,170625,157812,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487721319,false,true,-2147483648,90,120625,156875,-2147483648,2215000,3,2215000,120625,90,90,2215000,156875,120625,-2147483648,3,120625,156875,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487721857,false,true,-2147483648,90,164062,155000,-2147483648,2215000,3,2215000,164062,90,90,2215000,155000,164062,-2147483648,3,164062,155000,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487722408,false,true,-2147483648,90,116250,154062,-2147483648,2215000,3,2215000,116250,90,90,2215000,154062,116250,-2147483648,3,116250,154062,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487722950,false,true,-2147483648,90,164375,153437,-2147483648,2215000,3,2215000,164375,90,90,2215000,153437,164375,-2147483648,3,164375,153437,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487723502,false,true,-2147483648,90,150312,151875,-2147483648,2215000,3,2215000,150312,90,90,2215000,151875,150312,-2147483648,3,150312,151875,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487724035,false,true,-2147483648,90,103125,151875,-2147483648,2215000,3,2215000,103125,90,90,2215000,151875,103125,-2147483648,3,103125,151875,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487724569,false,true,-2147483648,90,135312,150000,-2147483648,2215000,3,2215000,135312,90,90,2215000,150000,135312,-2147483648,3,135312,150000,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487725103,false,true,-2147483648,90,107500,149375,-2147483648,2215000,3,2215000,107500,90,90,2215000,149375,107500,-2147483648,3,107500,149375,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487725640,false,true,-2147483648,90,119375,147812,-2147483648,2215000,3,2215000,119375,90,90,2215000,147812,119375,-2147483648,3,119375,147812,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487726201,false,true,-2147483648,90,144062,146875,-2147483648,2215000,3,2215000,144062,90,90,2215000,146875,144062,-2147483648,3,144062,146875,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487726740,false,true,-2147483648,90,157500,147500,-2147483648,2215000,3,2215000,157500,90,90,2215000,147500,157500,-2147483648,3,157500,147500,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487727282,false,true,-2147483648,90,92187,145937,-2147483648,2215000,3,2215000,92187,90,90,2215000,145937,92187,-2147483648,3,92187,145937,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487727830,false,true,-2147483648,90,73437,144062,-2147483648,2215000,3,2215000,73437,90,90,2215000,144062,73437,-2147483648,3,73437,144062,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487728390,false,true,-2147483648,90,104375,140937,-2147483648,2215000,3,2215000,104375,90,90,2215000,140937,115625,-2147483648,3,115625,140937,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487728938,false,true,-2147483648,90,69375,140000,-2147483648,2215000,3,2215000,69375,90,90,2215000,140000,69375,-2147483648,3,69375,140000,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487729507,false,true,-2147483648,90,112812,139375,-2147483648,2215000,3,2215000,112812,90,90,2215000,139375,112812,-2147483648,3,112812,139375,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487730051,false,true,-2147483648,90,203750,138437,-2147483648,2215000,3,2215000,203750,90,90,2215000,138437,203750,-2147483648,3,203750,140312,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487730600,false,true,-2147483648,90,198437,139375,-2147483648,2215000,3,2215000,198437,90,90,2215000,139375,198437,-2147483648,3,198437,139375,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487731151,false,true,-2147483648,90,183750,142500,-2147483648,2215000,3,2215000,183750,90,90,2215000,142500,183750,-2147483648,3,183750,142500,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487731701,false,true,-2147483648,90,151875,141562,-2147483648,2215000,3,2215000,151875,90,90,2215000,141562,151875,-2147483648,3,151875,141562,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487732258,false,true,-2147483648,90,119062,142187,-2147483648,2215000,3,2215000,119062,90,90,2215000,142187,119062,-2147483648,3,119062,142187,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487732800,false,true,-2147483648,90,131875,141562,-2147483648,2215000,3,2215000,131875,90,90,2215000,141562,131875,-2147483648,3,131875,141562,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487733363,false,true,-2147483648,90,124687,140000,-2147483648,2215000,3,2215000,124687,90,90,2215000,140000,124687,-2147483648,3,124687,140000,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487733905,false,true,-2147483648,90,105312,139375,-2147483648,2215000,3,2215000,105312,90,90,2215000,139375,105312,-2147483648,3,105312,138437,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487734442,false,true,-2147483648,90,173125,137812,-2147483648,2215000,3,2215000,173125,90,90,2215000,137812,173125,-2147483648,3,173125,137812,-2147483648,90,2215000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487734999,false,true,-2147483648,90,110625,137812,-2147483648,2214000,3,2214000,110625,90,90,2214000,137812,110625,-2147483648,3,110625,137812,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487735541,false,true,-2147483648,90,174687,137187,-2147483648,2214000,3,2214000,174687,90,90,2214000,137187,174687,-2147483648,3,174687,137187,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487736078,false,true,-2147483648,90,130937,138125,-2147483648,2214000,3,2214000,130937,90,90,2214000,138125,130937,-2147483648,3,130937,138125,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487736622,false,true,-2147483648,90,166875,137812,-2147483648,2214000,3,2214000,166875,90,90,2214000,137812,166875,-2147483648,3,166875,137812,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487737186,false,true,-2147483648,90,105625,136875,-2147483648,2214000,3,2214000,105625,90,90,2214000,136875,105625,-2147483648,3,105625,136875,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487737724,false,true,-2147483648,90,192812,135937,-2147483648,2214000,3,2214000,192812,90,90,2214000,135937,192812,-2147483648,3,192812,135937,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
1683487738268,false,true,-2147483648,90,281875,136875,-2147483648,2214000,3,2214000,281875,90,90,2214000,136875,281875,-2147483648,3,281875,136875,-2147483648,90,2214000,2,17303567,90,0,100,3,Li-ion,255,4161
