Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683488461869,false,true,-2147483648,89,292812,200937,-2147483648,2183000,3,2183000,292812,89,89,2183000,200937,292812,-2147483648,3,292812,200937,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488462394,false,true,-2147483648,89,142500,205312,-2147483648,2183000,3,2183000,142500,89,89,2183000,205312,142500,-2147483648,3,142500,205312,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488462938,false,true,-2147483648,89,186250,202812,-2147483648,2183000,3,2183000,186250,89,89,2183000,202812,186250,-2147483648,3,186250,202812,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488463494,false,true,-2147483648,89,105625,200000,-2147483648,2183000,3,2183000,105625,89,89,2183000,200000,105625,-2147483648,3,105625,200000,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488464035,false,true,-2147483648,89,171250,195000,-2147483648,2183000,3,2183000,171250,89,89,2183000,195000,171250,-2147483648,3,171250,195000,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488464575,false,true,-2147483648,89,179062,194375,-2147483648,2183000,3,2183000,179062,89,89,2183000,194375,179062,-2147483648,3,179062,194375,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488465122,false,true,-2147483648,89,108750,191250,-2147483648,2183000,3,2183000,108750,89,89,2183000,191250,108750,-2147483648,3,108750,191250,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488465646,false,true,-2147483648,89,171250,188750,-2147483648,2183000,3,2183000,171250,89,89,2183000,188750,171250,-2147483648,3,171250,188750,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488466187,false,true,-2147483648,89,162500,189375,-2147483648,2183000,3,2183000,162500,89,89,2183000,189375,162500,-2147483648,3,162500,189375,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488466727,false,true,-2147483648,89,169375,188437,-2147483648,2183000,3,2183000,169375,89,89,2183000,187812,169375,-2147483648,3,169375,187812,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488467266,false,true,-2147483648,89,114062,185312,-2147483648,2183000,3,2183000,114062,89,89,2183000,185312,114062,-2147483648,3,114062,185312,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488467809,false,true,-2147483648,89,114375,180937,-2147483648,2183000,3,2183000,114375,89,89,2183000,180937,114375,-2147483648,3,114375,180937,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488468349,false,true,-2147483648,89,132812,178750,-2147483648,2183000,3,2183000,132812,89,89,2183000,178750,132812,-2147483648,3,132812,178750,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488468886,false,true,-2147483648,89,133437,175937,-2147483648,2183000,3,2183000,133437,89,89,2183000,175937,133437,-2147483648,3,133437,175937,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488469432,false,true,-2147483648,89,112812,174375,-2147483648,2183000,3,2183000,112812,89,89,2183000,174375,112812,-2147483648,3,112812,174375,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488469972,false,true,-2147483648,89,120625,170937,-2147483648,2183000,3,2183000,203750,89,89,2183000,170937,203750,-2147483648,3,203750,170937,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488470509,false,true,-2147483648,89,163437,171875,-2147483648,2183000,3,2183000,163437,89,89,2183000,171875,163437,-2147483648,3,163437,171875,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488471045,false,true,-2147483648,89,183750,170625,-2147483648,2183000,3,2183000,183750,89,89,2183000,170625,183750,-2147483648,3,183750,170625,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488471587,false,true,-2147483648,89,103437,170937,-2147483648,2183000,3,2183000,103437,89,89,2183000,170937,103437,-2147483648,3,103437,170937,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488472125,false,true,-2147483648,89,183750,169687,-2147483648,2183000,3,2183000,183750,89,89,2183000,169687,183750,-2147483648,3,183750,169687,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
1683488472666,false,true,-2147483648,89,105000,170000,-2147483648,2183000,3,2183000,105000,89,89,2183000,170000,105000,-2147483648,3,105000,170000,-2147483648,89,2183000,2,17303567,89,0,100,3,Li-ion,255,4162
