Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683488083849,false,true,-2147483648,90,569375,203125,-2147483648,2200000,3,2200000,569375,90,90,2200000,203125,569375,-2147483648,3,569375,203125,-2147483648,90,2200000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488084375,false,true,-2147483648,90,183125,214687,-2147483648,2199000,3,2199000,183125,90,90,2199000,213750,183125,-2147483648,3,183125,213750,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488084910,false,true,-2147483648,90,173437,211875,-2147483648,2199000,3,2199000,173437,90,90,2199000,211875,173437,-2147483648,3,173437,211875,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488085457,false,true,-2147483648,90,102500,207187,-2147483648,2199000,3,2199000,102500,90,90,2199000,207187,102500,-2147483648,3,102500,207187,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488085990,false,true,-2147483648,90,104687,204687,-2147483648,2199000,3,2199000,104687,90,90,2199000,204687,104687,-2147483648,3,104687,204687,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488086540,false,true,-2147483648,90,184687,201250,-2147483648,2199000,3,2199000,184687,90,90,2199000,201250,184687,-2147483648,3,184687,201250,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488087078,false,true,-2147483648,90,105625,199375,-2147483648,2199000,3,2199000,105625,90,90,2199000,199375,105625,-2147483648,3,105625,199375,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488087625,false,true,-2147483648,90,115000,195312,-2147483648,2199000,3,2199000,115000,90,90,2199000,195312,115000,-2147483648,3,115000,195312,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488088180,false,true,-2147483648,90,154687,192812,-2147483648,2199000,3,2199000,154687,90,90,2199000,192812,154687,-2147483648,3,154687,192812,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488088726,false,true,-2147483648,90,82812,191562,-2147483648,2199000,3,2199000,82812,90,90,2199000,191562,82812,-2147483648,3,82812,191562,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488089288,false,true,-2147483648,90,116250,188125,-2147483648,2199000,3,2199000,116250,90,90,2199000,185937,116250,-2147483648,3,116250,185937,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488089826,false,true,-2147483648,90,163437,183437,-2147483648,2199000,3,2199000,163437,90,90,2199000,183437,163437,-2147483648,3,163437,183437,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488090385,false,true,-2147483648,90,98750,180312,-2147483648,2199000,3,2199000,98750,90,90,2199000,180312,98750,-2147483648,3,98750,180312,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488090948,false,true,-2147483648,90,139687,178125,-2147483648,2199000,3,2199000,139687,90,90,2199000,178125,139687,-2147483648,3,139687,178125,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488091491,false,true,-2147483648,90,121875,176875,-2147483648,2199000,3,2199000,121875,90,90,2199000,176875,121875,-2147483648,3,121875,176875,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488092037,false,true,-2147483648,90,175937,175312,-2147483648,2199000,3,2199000,175937,90,90,2199000,175312,175937,-2147483648,3,175937,175312,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488092580,false,true,-2147483648,90,87812,174062,-2147483648,2199000,3,2199000,87812,90,90,2199000,174062,87812,-2147483648,3,87812,174062,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488093136,false,true,-2147483648,90,241250,171562,-2147483648,2199000,3,2199000,241250,90,90,2199000,171562,241250,-2147483648,3,241250,173750,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488093695,false,true,-2147483648,90,140000,171875,-2147483648,2199000,3,2199000,140000,90,90,2199000,171875,140000,-2147483648,3,140000,171875,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488094229,false,true,-2147483648,90,195000,171562,-2147483648,2199000,3,2199000,195000,90,90,2199000,171562,195000,-2147483648,3,195000,171562,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488094778,false,true,-2147483648,90,87187,170000,-2147483648,2199000,3,2199000,87187,90,90,2199000,170000,87187,-2147483648,3,87187,170000,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488095325,false,true,-2147483648,90,100312,165312,-2147483648,2199000,3,2199000,100312,90,90,2199000,165312,151250,-2147483648,3,151250,165312,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488095878,false,true,-2147483648,90,90937,164687,-2147483648,2199000,3,2199000,90937,90,90,2199000,164687,90937,-2147483648,3,90937,164687,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
1683488096425,false,true,-2147483648,90,156875,160937,-2147483648,2199000,3,2199000,156875,90,90,2199000,160937,156875,-2147483648,3,156875,160937,-2147483648,90,2199000,2,17303567,90,0,100,3,Li-ion,255,4161
