Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683494803063,false,true,-2147483648,88,282500,197500,-2147483648,2174000,3,2174000,282500,88,88,2174000,197500,282500,-2147483648,3,282500,197500,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494803590,false,true,-2147483648,88,153125,208125,-2147483648,2174000,3,2174000,153125,88,88,2174000,208125,153125,-2147483648,3,153125,208125,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494804128,false,true,-2147483648,88,275000,208437,-2147483648,2174000,3,2174000,275000,88,88,2174000,208437,275000,-2147483648,3,275000,208437,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494804674,false,true,-2147483648,88,129687,205937,-2147483648,2174000,3,2174000,129687,88,88,2174000,205937,129687,-2147483648,3,129687,205937,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494805208,false,true,-2147483648,88,222187,201562,-2147483648,2174000,3,2174000,222187,88,88,2174000,201562,222187,-2147483648,3,222187,201562,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494805750,false,true,-2147483648,88,202500,202187,-2147483648,2174000,3,2174000,202500,88,88,2174000,202187,202500,-2147483648,3,202500,202187,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494806291,false,true,-2147483648,88,122500,199687,-2147483648,2174000,3,2174000,122500,88,88,2174000,199687,122500,-2147483648,3,122500,199687,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494806831,false,true,-2147483648,88,207187,197187,-2147483648,2174000,3,2174000,207187,88,88,2174000,197187,207187,-2147483648,3,207187,197187,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494807368,false,true,-2147483648,88,139375,197187,-2147483648,2174000,3,2174000,139375,88,88,2174000,197187,139375,-2147483648,3,139375,197187,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494807906,false,true,-2147483648,88,185625,195312,-2147483648,2174000,3,2174000,185625,88,88,2174000,195312,185625,-2147483648,3,185625,195000,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494808450,false,true,-2147483648,88,119687,194687,-2147483648,2174000,3,2174000,119687,88,88,2174000,194687,119687,-2147483648,3,119687,194687,-2147483648,88,2174000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494808991,false,true,-2147483648,88,130000,190312,-2147483648,2173000,3,2173000,130000,88,88,2173000,190312,130000,-2147483648,3,130000,190312,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494809531,false,true,-2147483648,88,130937,187812,-2147483648,2173000,3,2173000,130937,88,88,2173000,187812,130937,-2147483648,3,130937,187812,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494810059,false,true,-2147483648,88,120000,184062,-2147483648,2173000,3,2173000,120000,88,88,2173000,184062,120000,-2147483648,3,120000,184062,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494810602,false,true,-2147483648,88,237812,183437,-2147483648,2173000,3,2173000,237812,88,88,2173000,183437,237812,-2147483648,3,237812,183437,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494811128,false,true,-2147483648,88,136562,183750,-2147483648,2173000,3,2173000,136562,88,88,2173000,183750,136562,-2147483648,3,136562,183750,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494811669,false,true,-2147483648,88,113750,185937,-2147483648,2173000,3,2173000,113750,88,88,2173000,185937,113750,-2147483648,3,113750,185937,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494812205,false,true,-2147483648,88,220312,181875,-2147483648,2173000,3,2173000,220312,88,88,2173000,181875,220312,-2147483648,3,220312,181875,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494812745,false,true,-2147483648,88,137812,183125,-2147483648,2173000,3,2173000,137812,88,88,2173000,183125,137812,-2147483648,3,137812,183125,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494813282,false,true,-2147483648,88,187500,182187,-2147483648,2173000,3,2173000,187500,88,88,2173000,182187,187500,-2147483648,3,187500,182187,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494813824,false,true,-2147483648,88,136562,182187,-2147483648,2173000,3,2173000,136562,88,88,2173000,182187,136562,-2147483648,3,136562,182187,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494814363,false,true,-2147483648,88,105000,178437,-2147483648,2173000,3,2173000,105000,88,88,2173000,178437,105000,-2147483648,3,105000,178437,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494814916,false,true,-2147483648,88,150000,175937,-2147483648,2173000,3,2173000,150000,88,88,2173000,175312,150000,-2147483648,3,150000,175312,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494815455,false,true,-2147483648,88,247812,173437,-2147483648,2173000,3,2173000,247812,88,88,2173000,173437,247812,-2147483648,3,247812,173437,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494815995,false,true,-2147483648,88,149687,175000,-2147483648,2173000,3,2173000,149687,88,88,2173000,175000,149687,-2147483648,3,149687,175000,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494816534,false,true,-2147483648,88,123750,173125,-2147483648,2173000,3,2173000,123750,88,88,2173000,173125,123750,-2147483648,3,123750,173125,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494817067,false,true,-2147483648,88,285937,175000,-2147483648,2173000,3,2173000,285937,88,88,2173000,175000,285937,-2147483648,3,285937,175000,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494817612,false,true,-2147483648,88,129687,176250,-2147483648,2173000,3,2173000,129687,88,88,2173000,176250,129687,-2147483648,3,129687,176250,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494818155,false,true,-2147483648,88,181250,175000,-2147483648,2173000,3,2173000,181250,88,88,2173000,175000,181250,-2147483648,3,181250,175000,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494818696,false,true,-2147483648,88,141250,173750,-2147483648,2173000,3,2173000,141250,88,88,2173000,173750,141250,-2147483648,3,141250,173750,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494819245,false,true,-2147483648,88,118125,174687,-2147483648,2173000,3,2173000,118125,88,88,2173000,174687,118125,-2147483648,3,118125,174687,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4159
1683494819780,false,true,-2147483648,88,187812,172812,-2147483648,2173000,3,2173000,187812,88,88,2173000,172812,187812,-2147483648,3,187812,172812,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494820316,false,true,-2147483648,88,110937,171562,-2147483648,2173000,3,2173000,110937,88,88,2173000,171562,110937,-2147483648,3,110937,171562,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494820857,false,true,-2147483648,88,145625,169687,-2147483648,2173000,3,2173000,145625,88,88,2173000,169687,145625,-2147483648,3,145625,169687,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494821398,false,true,-2147483648,88,234375,168125,-2147483648,2173000,3,2173000,234375,88,88,2173000,168125,234375,-2147483648,3,234375,168125,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494821938,false,true,-2147483648,88,112812,168437,-2147483648,2173000,3,2173000,112812,88,88,2173000,168437,112812,-2147483648,3,112812,168437,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494822488,false,true,-2147483648,88,198750,167187,-2147483648,2173000,3,2173000,198750,88,88,2173000,167187,198750,-2147483648,3,198750,167187,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494823026,false,true,-2147483648,88,128125,166875,-2147483648,2173000,3,2173000,128125,88,88,2173000,166875,128125,-2147483648,3,128125,166875,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494823560,false,true,-2147483648,88,185937,165937,-2147483648,2173000,3,2173000,185937,88,88,2173000,165937,185937,-2147483648,3,185937,165937,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494824098,false,true,-2147483648,88,160312,166250,-2147483648,2173000,3,2173000,160312,88,88,2173000,166250,160312,-2147483648,3,160312,166250,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494824634,false,true,-2147483648,88,172500,165312,-2147483648,2173000,3,2173000,172500,88,88,2173000,165312,172500,-2147483648,3,172500,165312,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494825169,false,true,-2147483648,88,130937,164375,-2147483648,2173000,3,2173000,130937,88,88,2173000,164375,135000,-2147483648,3,135000,164375,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494825699,false,true,-2147483648,88,134687,163437,-2147483648,2173000,3,2173000,134687,88,88,2173000,163437,134687,-2147483648,3,134687,163437,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494826235,false,true,-2147483648,88,149062,160937,-2147483648,2173000,3,2173000,149062,88,88,2173000,160937,149062,-2147483648,3,149062,160937,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494826768,false,true,-2147483648,88,117812,160625,-2147483648,2173000,3,2173000,117812,88,88,2173000,160625,117812,-2147483648,3,117812,160625,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494827305,false,true,-2147483648,88,186875,160312,-2147483648,2173000,3,2173000,186875,88,88,2173000,160312,186875,-2147483648,3,186875,160312,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494827840,false,true,-2147483648,88,130312,161250,-2147483648,2173000,3,2173000,130312,88,88,2173000,161250,130312,-2147483648,3,130312,161250,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494828372,false,true,-2147483648,88,133437,160625,-2147483648,2173000,3,2173000,133437,88,88,2173000,160625,133437,-2147483648,3,133437,160625,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494828918,false,true,-2147483648,88,171875,160000,-2147483648,2173000,3,2173000,171875,88,88,2173000,160000,171875,-2147483648,3,171875,160000,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494829454,false,true,-2147483648,88,222500,161875,-2147483648,2173000,3,2173000,222500,88,88,2173000,161875,222500,-2147483648,3,222500,161875,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494829988,false,true,-2147483648,88,175625,163750,-2147483648,2173000,3,2173000,175625,88,88,2173000,164062,175625,-2147483648,3,175625,164062,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494830521,false,true,-2147483648,88,142500,163125,-2147483648,2173000,3,2173000,142500,88,88,2173000,163125,142500,-2147483648,3,142500,163125,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494831059,false,true,-2147483648,88,121250,161250,-2147483648,2173000,3,2173000,121250,88,88,2173000,161250,121250,-2147483648,3,121250,161250,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494831598,false,true,-2147483648,88,117187,161562,-2147483648,2173000,3,2173000,117187,88,88,2173000,161562,117187,-2147483648,3,117187,161562,-2147483648,88,2173000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494832134,false,true,-2147483648,88,140000,159375,-2147483648,2172000,3,2172000,140000,88,88,2172000,159375,140000,-2147483648,3,140000,159375,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494832674,false,true,-2147483648,88,169375,158750,-2147483648,2172000,3,2172000,169375,88,88,2172000,158750,169375,-2147483648,3,169375,158750,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494833211,false,true,-2147483648,88,143750,158437,-2147483648,2172000,3,2172000,143750,88,88,2172000,158437,143750,-2147483648,3,143750,158437,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494833749,false,true,-2147483648,88,190937,157812,-2147483648,2172000,3,2172000,190937,88,88,2172000,157812,190937,-2147483648,3,190937,157812,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494834280,false,true,-2147483648,88,97187,156875,-2147483648,2172000,3,2172000,97187,88,88,2172000,156875,183750,-2147483648,3,183750,156875,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494834815,false,true,-2147483648,88,193125,157812,-2147483648,2172000,3,2172000,193125,88,88,2172000,157812,193125,-2147483648,3,193125,157812,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494835354,false,true,-2147483648,88,115937,157187,-2147483648,2172000,3,2172000,115937,88,88,2172000,157187,115937,-2147483648,3,115937,157187,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494835887,false,true,-2147483648,88,128437,155937,-2147483648,2172000,3,2172000,128437,88,88,2172000,155937,128437,-2147483648,3,128437,155937,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494836428,false,true,-2147483648,88,97812,153437,-2147483648,2172000,3,2172000,97812,88,88,2172000,153437,97812,-2147483648,3,97812,153437,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494836960,false,true,-2147483648,88,121250,151875,-2147483648,2172000,3,2172000,121250,88,88,2172000,151875,121250,-2147483648,3,121250,151875,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494837497,false,true,-2147483648,88,110000,153437,-2147483648,2172000,3,2172000,110000,88,88,2172000,153437,110000,-2147483648,3,110000,153437,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494838037,false,true,-2147483648,88,106250,151875,-2147483648,2172000,3,2172000,106250,88,88,2172000,151875,106250,-2147483648,3,106250,151875,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494838577,false,true,-2147483648,88,169687,151875,-2147483648,2172000,3,2172000,169687,88,88,2172000,151875,169687,-2147483648,3,169687,151875,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494839110,false,true,-2147483648,88,116562,151562,-2147483648,2172000,3,2172000,116562,88,88,2172000,151562,116562,-2147483648,3,116562,151562,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494839656,false,true,-2147483648,88,128750,153437,-2147483648,2172000,3,2172000,128750,88,88,2172000,153437,128750,-2147483648,3,128750,153437,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494840198,false,true,-2147483648,88,118125,151562,-2147483648,2172000,3,2172000,118125,88,88,2172000,151562,118125,-2147483648,3,118125,151562,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494840736,false,true,-2147483648,88,128437,153437,-2147483648,2172000,3,2172000,128437,88,88,2172000,153437,128437,-2147483648,3,128437,153437,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494841269,false,true,-2147483648,88,137500,152187,-2147483648,2172000,3,2172000,137500,88,88,2172000,152187,137500,-2147483648,3,137500,152187,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494841805,false,true,-2147483648,88,135000,152187,-2147483648,2172000,3,2172000,135000,88,88,2172000,152187,135000,-2147483648,3,135000,152187,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494842343,false,true,-2147483648,88,119062,150625,-2147483648,2172000,3,2172000,127812,88,88,2172000,150625,127812,-2147483648,3,127812,150625,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494842881,false,true,-2147483648,88,178125,150000,-2147483648,2172000,3,2172000,178125,88,88,2172000,150000,178125,-2147483648,3,178125,150000,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494843409,false,true,-2147483648,88,208750,150000,-2147483648,2172000,3,2172000,208750,88,88,2172000,150000,208750,-2147483648,3,208750,150000,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494843950,false,true,-2147483648,88,205937,151875,-2147483648,2172000,3,2172000,205937,88,88,2172000,151875,205937,-2147483648,3,205937,151875,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494844496,false,true,-2147483648,88,113125,151562,-2147483648,2172000,3,2172000,113125,88,88,2172000,151562,113125,-2147483648,3,113125,151562,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494845033,false,true,-2147483648,88,181250,150312,-2147483648,2172000,3,2172000,181250,88,88,2172000,150312,181250,-2147483648,3,181250,150312,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494845569,false,true,-2147483648,88,101250,150625,-2147483648,2172000,3,2172000,101250,88,88,2172000,150625,101250,-2147483648,3,101250,150625,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494846102,false,true,-2147483648,88,130312,149062,-2147483648,2172000,3,2172000,130312,88,88,2172000,149062,130312,-2147483648,3,130312,148750,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494846640,false,true,-2147483648,88,155625,147500,-2147483648,2172000,3,2172000,155625,88,88,2172000,147500,155625,-2147483648,3,155625,147500,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494847173,false,true,-2147483648,88,115000,146562,-2147483648,2172000,3,2172000,115000,88,88,2172000,146562,115000,-2147483648,3,115000,146562,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494847712,false,true,-2147483648,88,155312,146250,-2147483648,2172000,3,2172000,155312,88,88,2172000,146250,155312,-2147483648,3,155312,146250,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494848231,false,true,-2147483648,88,133437,145937,-2147483648,2172000,3,2172000,133437,88,88,2172000,145937,133437,-2147483648,3,133437,145937,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494848768,false,true,-2147483648,88,118437,148125,-2147483648,2172000,3,2172000,118437,88,88,2172000,148125,118437,-2147483648,3,118437,148125,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494849306,false,true,-2147483648,88,119687,146250,-2147483648,2172000,3,2172000,119687,88,88,2172000,146250,119687,-2147483648,3,119687,146250,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494849850,false,true,-2147483648,88,121875,149062,-2147483648,2172000,3,2172000,121875,88,88,2172000,149062,121875,-2147483648,3,121875,149062,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494850382,false,true,-2147483648,88,146875,148125,-2147483648,2172000,3,2172000,146875,88,88,2172000,148125,146875,-2147483648,3,146875,148125,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494850926,false,true,-2147483648,88,112187,150312,-2147483648,2172000,3,2172000,112187,88,88,2172000,150312,112187,-2147483648,3,112187,150312,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494851466,false,true,-2147483648,88,133125,148437,-2147483648,2172000,3,2172000,133125,88,88,2172000,148437,133125,-2147483648,3,133125,148437,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494851996,false,true,-2147483648,88,130625,147812,-2147483648,2172000,3,2172000,130625,88,88,2172000,147812,130625,-2147483648,3,130625,147812,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494852543,false,true,-2147483648,88,122812,145937,-2147483648,2172000,3,2172000,122812,88,88,2172000,145937,122812,-2147483648,3,122812,145937,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494853081,false,true,-2147483648,88,156250,145000,-2147483648,2172000,3,2172000,156250,88,88,2172000,145000,156250,-2147483648,3,156250,145000,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494853618,false,true,-2147483648,88,110937,144687,-2147483648,2172000,3,2172000,110937,88,88,2172000,144687,110937,-2147483648,3,110937,144687,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494854156,false,true,-2147483648,88,197500,143437,-2147483648,2172000,3,2172000,197500,88,88,2172000,143437,197500,-2147483648,3,197500,145312,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494854697,false,true,-2147483648,88,129062,144375,-2147483648,2172000,3,2172000,129062,88,88,2172000,144375,129062,-2147483648,3,129062,144375,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494855232,false,true,-2147483648,88,190625,145312,-2147483648,2172000,3,2172000,190625,88,88,2172000,145312,190625,-2147483648,3,190625,145312,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494855770,false,true,-2147483648,88,116562,144062,-2147483648,2172000,3,2172000,116562,88,88,2172000,144062,116562,-2147483648,3,116562,144062,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494856306,false,true,-2147483648,88,213437,145312,-2147483648,2172000,3,2172000,213437,88,88,2172000,145312,213437,-2147483648,3,213437,145312,-2147483648,88,2172000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494856843,false,true,-2147483648,88,210312,144687,-2147483648,2171000,3,2171000,210312,88,88,2171000,144687,210312,-2147483648,3,210312,144687,-2147483648,88,2171000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494857390,false,true,-2147483648,88,136250,146250,-2147483648,2171000,3,2171000,136250,88,88,2171000,146250,136250,-2147483648,3,136250,146250,-2147483648,88,2171000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494857925,false,true,-2147483648,88,116562,145937,-2147483648,2171000,3,2171000,116562,88,88,2171000,145937,116562,-2147483648,3,116562,145937,-2147483648,88,2171000,2,17303567,88,0,100,3,Li-ion,263,4151
1683494858454,false,true,-2147483648,88,131875,144687,-2147483648,2171000,3,2171000,224687,88,88,2171000,144687,224687,-2147483648,3,224687,144687,-2147483648,88,2171000,2,17303567,88,0,100,3,Li-ion,263,4151
