Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683495433625,false,true,-2147483648,87,345312,198125,-2147483648,2147000,3,2147000,345312,87,87,2147000,198125,345312,-2147483648,3,345312,198125,-2147483648,87,2147000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495434149,false,true,-2147483648,87,153125,203437,-2147483648,2147000,3,2147000,153125,87,87,2147000,203437,153125,-2147483648,3,153125,203437,-2147483648,87,2147000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495434685,false,true,-2147483648,87,109687,201875,-2147483648,2147000,3,2147000,109687,87,87,2147000,201875,109687,-2147483648,3,109687,201875,-2147483648,87,2147000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495435228,false,true,-2147483648,87,121875,198437,-2147483648,2147000,3,2147000,121875,87,87,2147000,198437,121875,-2147483648,3,121875,198437,-2147483648,87,2147000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495435767,false,true,-2147483648,87,198750,196250,-2147483648,2147000,3,2147000,198750,87,87,2147000,196250,198750,-2147483648,3,198750,196250,-2147483648,87,2147000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495436315,false,true,-2147483648,87,161875,194062,-2147483648,2146000,3,2146000,161875,87,87,2146000,194062,161875,-2147483648,3,161875,194062,-2147483648,87,2146000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495436859,false,true,-2147483648,87,123437,192812,-2147483648,2146000,3,2146000,123437,87,87,2146000,190937,123437,-2147483648,3,123437,190937,-2147483648,87,2146000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495437381,false,true,-2147483648,87,216562,190000,-2147483648,2146000,3,2146000,216562,87,87,2146000,190000,216562,-2147483648,3,216562,190000,-2147483648,87,2146000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495437921,false,true,-2147483648,87,132812,189062,-2147483648,2146000,3,2146000,132812,87,87,2146000,189062,132812,-2147483648,3,132812,189062,-2147483648,87,2146000,2,17303567,87,0,100,3,Li-ion,261,4134
1683495438460,false,true,-2147483648,87,205625,187187,-2147483648,2146000,3,2146000,205625,87,87,2146000,187187,205625,-2147483648,3,205625,187187,-2147483648,87,2146000,2,17303567,87,0,100,3,Li-ion,261,4134
