Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683494550791,false,true,-2147483648,89,344375,210625,-2147483648,2185000,3,2185000,344375,89,89,2185000,210625,676250,-2147483648,3,676250,210625,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494551315,false,true,-2147483648,89,208750,225000,-2147483648,2185000,3,2185000,208750,89,89,2185000,225000,208750,-2147483648,3,208750,225000,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494551859,false,true,-2147483648,89,101562,224375,-2147483648,2185000,3,2185000,101562,89,89,2185000,224375,101562,-2147483648,3,101562,224375,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494552390,false,true,-2147483648,89,135312,220625,-2147483648,2185000,3,2185000,135312,89,89,2185000,220625,135312,-2147483648,3,135312,220625,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494552915,false,true,-2147483648,89,382500,215000,-2147483648,2185000,3,2185000,382500,89,89,2185000,215000,382500,-2147483648,3,382500,215000,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494553478,false,true,-2147483648,89,187812,220000,-2147483648,2185000,3,2185000,187812,89,89,2185000,220000,187812,-2147483648,3,187812,220000,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494554026,false,true,-2147483648,89,71250,216875,-2147483648,2185000,3,2185000,71250,89,89,2185000,216875,71250,-2147483648,3,71250,216875,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494554577,false,true,-2147483648,89,249375,213437,-2147483648,2185000,3,2185000,249375,89,89,2185000,213437,249375,-2147483648,3,249375,213437,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494555129,false,true,-2147483648,89,165000,213437,-2147483648,2185000,3,2185000,165000,89,89,2185000,213437,165000,-2147483648,3,165000,213437,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494555671,false,true,-2147483648,89,201562,211562,-2147483648,2185000,3,2185000,201562,89,89,2185000,211562,201562,-2147483648,3,201562,211562,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494556223,false,true,-2147483648,89,196875,208750,-2147483648,2185000,3,2185000,196875,89,89,2185000,208750,196875,-2147483648,3,196875,208750,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494556760,false,true,-2147483648,89,140000,205000,-2147483648,2185000,3,2185000,140000,89,89,2185000,205000,140000,-2147483648,3,140000,205000,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494557308,false,true,-2147483648,89,94375,203125,-2147483648,2185000,3,2185000,94375,89,89,2185000,203125,94375,-2147483648,3,94375,203125,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494557850,false,true,-2147483648,89,195937,196562,-2147483648,2185000,3,2185000,195937,89,89,2185000,196562,195937,-2147483648,3,195937,196562,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494558394,false,true,-2147483648,89,77500,196562,-2147483648,2185000,3,2185000,77500,89,89,2185000,196562,77500,-2147483648,3,77500,196562,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494558927,false,true,-2147483648,89,194687,190000,-2147483648,2185000,3,2185000,194687,89,89,2185000,190000,194687,-2147483648,3,194687,190000,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494559483,false,true,-2147483648,89,116562,187812,-2147483648,2185000,3,2185000,116562,89,89,2185000,187812,116562,-2147483648,3,116562,187812,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494560005,false,true,-2147483648,89,178750,185937,-2147483648,2185000,3,2185000,178750,89,89,2185000,185937,178750,-2147483648,3,178750,185937,-2147483648,89,2185000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494560557,false,true,-2147483648,89,119687,183750,-2147483648,2184000,3,2184000,119687,89,89,2184000,183750,119687,-2147483648,3,119687,183750,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494561086,false,true,-2147483648,89,165937,181250,-2147483648,2184000,3,2184000,165937,89,89,2184000,181250,165937,-2147483648,3,165937,181250,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494561643,false,true,-2147483648,89,112187,178750,-2147483648,2184000,3,2184000,112187,89,89,2184000,178750,112187,-2147483648,3,112187,178750,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494562185,false,true,-2147483648,89,126250,177187,-2147483648,2184000,3,2184000,126250,89,89,2184000,177187,126250,-2147483648,3,126250,177187,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494562736,false,true,-2147483648,89,66875,175312,-2147483648,2184000,3,2184000,66875,89,89,2184000,175312,66875,-2147483648,3,66875,175312,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494563277,false,true,-2147483648,89,107500,171875,-2147483648,2184000,3,2184000,107500,89,89,2184000,171875,107500,-2147483648,3,107500,171875,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494563823,false,true,-2147483648,89,92187,169375,-2147483648,2184000,3,2184000,92187,89,89,2184000,169375,92187,-2147483648,3,92187,169375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494564365,false,true,-2147483648,89,104687,166875,-2147483648,2184000,3,2184000,104687,89,89,2184000,166875,104687,-2147483648,3,104687,165000,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494564911,false,true,-2147483648,89,125000,165312,-2147483648,2184000,3,2184000,125000,89,89,2184000,165312,125000,-2147483648,3,125000,165312,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494565441,false,true,-2147483648,89,104375,162187,-2147483648,2184000,3,2184000,104375,89,89,2184000,162187,104375,-2147483648,3,104375,162187,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494565986,false,true,-2147483648,89,101250,164375,-2147483648,2184000,3,2184000,101250,89,89,2184000,164375,101250,-2147483648,3,101250,164375,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494566521,false,true,-2147483648,89,107812,160625,-2147483648,2184000,3,2184000,107812,89,89,2184000,160625,107812,-2147483648,3,107812,160625,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494567071,false,true,-2147483648,89,75937,161250,-2147483648,2184000,3,2184000,75937,89,89,2184000,161250,75937,-2147483648,3,75937,161250,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494567609,false,true,-2147483648,89,94062,156562,-2147483648,2184000,3,2184000,185937,89,89,2184000,156562,185937,-2147483648,3,185937,156562,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494568143,false,true,-2147483648,89,95937,157500,-2147483648,2184000,3,2184000,95937,89,89,2184000,157500,95937,-2147483648,3,95937,157500,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494568688,false,true,-2147483648,89,84062,153750,-2147483648,2184000,3,2184000,84062,89,89,2184000,153750,84062,-2147483648,3,84062,153750,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494569236,false,true,-2147483648,89,97187,151562,-2147483648,2184000,3,2184000,97187,89,89,2184000,151562,97187,-2147483648,3,97187,151562,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494569775,false,true,-2147483648,89,113750,149062,-2147483648,2184000,3,2184000,113750,89,89,2184000,149062,113750,-2147483648,3,113750,149062,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494570337,false,true,-2147483648,89,185937,148125,-2147483648,2184000,3,2184000,185937,89,89,2184000,149062,185937,-2147483648,3,185937,149062,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494570872,false,true,-2147483648,89,91875,148125,-2147483648,2184000,3,2184000,91875,89,89,2184000,148125,91875,-2147483648,3,91875,148125,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494571412,false,true,-2147483648,89,196250,147812,-2147483648,2184000,3,2184000,196250,89,89,2184000,147812,196250,-2147483648,3,196250,147812,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494571959,false,true,-2147483648,89,102500,146875,-2147483648,2184000,3,2184000,102500,89,89,2184000,146875,102500,-2147483648,3,102500,146875,-2147483648,89,2184000,2,17303567,89,0,100,3,Li-ion,264,4178
