Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683496064389,false,true,-2147483648,86,291875,193125,-2147483648,2119000,3,2119000,291875,86,86,2119000,196250,291875,-2147483648,3,291875,196250,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496064909,false,true,-2147483648,86,160000,197187,-2147483648,2119000,3,2119000,160000,86,86,2119000,197187,160000,-2147483648,3,160000,197187,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496065453,false,true,-2147483648,86,215000,196562,-2147483648,2119000,3,2119000,215000,86,86,2119000,196562,215000,-2147483648,3,215000,196562,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496066003,false,true,-2147483648,86,167500,193437,-2147483648,2119000,3,2119000,167500,86,86,2119000,193437,167500,-2147483648,3,167500,193437,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496066545,false,true,-2147483648,86,89375,189375,-2147483648,2119000,3,2119000,89375,86,86,2119000,189375,89375,-2147483648,3,89375,189375,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496067095,false,true,-2147483648,86,167187,186875,-2147483648,2119000,3,2119000,167187,86,86,2119000,186875,167187,-2147483648,3,167187,186875,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496067655,false,true,-2147483648,86,174062,183750,-2147483648,2119000,3,2119000,174062,86,86,2119000,183750,174062,-2147483648,3,174062,183750,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496068197,false,true,-2147483648,86,167187,183437,-2147483648,2119000,3,2119000,167187,86,86,2119000,183437,167187,-2147483648,3,167187,183437,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496068744,false,true,-2147483648,86,192812,183750,-2147483648,2119000,3,2119000,192812,86,86,2119000,183750,192812,-2147483648,3,192812,183750,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496069281,false,true,-2147483648,86,86562,184062,-2147483648,2119000,3,2119000,86562,86,86,2119000,184062,86562,-2147483648,3,86562,184062,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
1683496069829,false,true,-2147483648,86,171562,179687,-2147483648,2119000,3,2119000,171562,86,86,2119000,179687,171562,-2147483648,3,171562,179687,-2147483648,86,2119000,2,17303567,86,0,100,3,Li-ion,262,4129
