Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683480634324,false,true,-2147483648,82,261250,195000,-2147483648,2024000,3,2024000,261250,82,82,2024000,195000,261250,-2147483648,3,261250,195000,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480634853,false,true,-2147483648,82,266562,199062,-2147483648,2024000,3,2024000,266562,82,82,2024000,199062,266562,-2147483648,3,266562,199062,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480635391,false,true,-2147483648,82,165312,201250,-2147483648,2024000,3,2024000,165312,82,82,2024000,201250,165312,-2147483648,3,165312,201250,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480635947,false,true,-2147483648,82,134687,201875,-2147483648,2024000,3,2024000,134687,82,82,2024000,201875,134687,-2147483648,3,134687,201875,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480636484,false,true,-2147483648,82,115000,196875,-2147483648,2024000,3,2024000,115000,82,82,2024000,196875,115000,-2147483648,3,115000,196875,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480637051,false,true,-2147483648,82,70937,194375,-2147483648,2024000,3,2024000,70937,82,82,2024000,194375,70937,-2147483648,3,70937,194375,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480637598,false,true,-2147483648,82,92812,187500,-2147483648,2024000,3,2024000,92812,82,82,2024000,187500,92812,-2147483648,3,136562,187500,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480638128,false,true,-2147483648,82,102500,185937,-2147483648,2024000,3,2024000,102500,82,82,2024000,185937,102500,-2147483648,3,102500,185937,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480638669,false,true,-2147483648,82,230000,184687,-2147483648,2024000,3,2024000,108437,82,82,2024000,184687,108437,-2147483648,3,108437,184687,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
1683480639206,false,true,-2147483648,82,177500,182187,-2147483648,2024000,3,2024000,177500,82,82,2024000,182187,177500,-2147483648,3,177500,182187,-2147483648,82,2024000,2,17303567,82,0,100,3,Li-ion,267,4094
