Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683478486871,false,true,-2147483648,86,376875,223125,-2147483648,2123000,3,2123000,376875,86,86,2123000,223125,376875,-2147483648,3,376875,223125,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478487396,false,true,-2147483648,86,249062,227812,-2147483648,2123000,3,2123000,249062,86,86,2123000,228437,249062,-2147483648,3,249062,228437,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478487964,false,true,-2147483648,86,105625,226250,-2147483648,2123000,3,2123000,105625,86,86,2123000,226250,105625,-2147483648,3,105625,226250,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478488508,false,true,-2147483648,86,170312,220937,-2147483648,2123000,3,2123000,170312,86,86,2123000,220937,170312,-2147483648,3,170312,220937,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478489059,false,true,-2147483648,86,115312,217187,-2147483648,2123000,3,2123000,115312,86,86,2123000,217187,115312,-2147483648,3,115312,217187,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478489623,false,true,-2147483648,86,94375,212812,-2147483648,2123000,3,2123000,94375,86,86,2123000,212812,94375,-2147483648,3,94375,212812,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478490171,false,true,-2147483648,86,91875,209062,-2147483648,2123000,3,2123000,91875,86,86,2123000,209062,91875,-2147483648,3,91875,209062,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478490728,false,true,-2147483648,86,278437,201875,-2147483648,2123000,3,2123000,278437,86,86,2123000,201875,278437,-2147483648,3,278437,201875,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478491283,false,true,-2147483648,86,222187,205000,-2147483648,2123000,3,2123000,222187,86,86,2123000,205000,222187,-2147483648,3,222187,205000,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478491831,false,true,-2147483648,86,165937,201875,-2147483648,2123000,3,2123000,165937,86,86,2123000,201875,165937,-2147483648,3,165937,201875,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478492381,false,true,-2147483648,86,100312,197812,-2147483648,2123000,3,2123000,100312,86,86,2123000,197812,100312,-2147483648,3,203437,197812,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478492922,false,true,-2147483648,86,162812,197812,-2147483648,2123000,3,2123000,162812,86,86,2123000,197812,162812,-2147483648,3,162812,197812,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478493482,false,true,-2147483648,86,138437,194687,-2147483648,2123000,3,2123000,138437,86,86,2123000,194687,138437,-2147483648,3,138437,194687,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478494024,false,true,-2147483648,86,203437,193125,-2147483648,2123000,3,2123000,203437,86,86,2123000,193125,203437,-2147483648,3,203437,193125,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478494566,false,true,-2147483648,86,121875,190312,-2147483648,2123000,3,2123000,121875,86,86,2123000,190312,121875,-2147483648,3,121875,190312,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478495098,false,true,-2147483648,86,190937,188125,-2147483648,2123000,3,2123000,190937,86,86,2123000,188125,190937,-2147483648,3,190937,188125,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478495651,false,true,-2147483648,86,96562,187500,-2147483648,2123000,3,2123000,96562,86,86,2123000,187500,96562,-2147483648,3,96562,187500,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478496189,false,true,-2147483648,86,119687,182500,-2147483648,2123000,3,2123000,119687,86,86,2123000,182500,119687,-2147483648,3,119687,182500,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478496748,false,true,-2147483648,86,142812,180625,-2147483648,2123000,3,2123000,142812,86,86,2123000,180625,142812,-2147483648,3,142812,180625,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478497288,false,true,-2147483648,86,100625,176875,-2147483648,2123000,3,2123000,100625,86,86,2123000,176875,220937,-2147483648,3,220937,176875,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478497825,false,true,-2147483648,86,96250,178437,-2147483648,2123000,3,2123000,96250,86,86,2123000,178437,96250,-2147483648,3,96250,178437,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478498370,false,true,-2147483648,86,185937,173750,-2147483648,2123000,3,2123000,185937,86,86,2123000,173750,185937,-2147483648,3,185937,173750,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478498925,false,true,-2147483648,86,108750,174062,-2147483648,2123000,3,2123000,108750,86,86,2123000,174062,108750,-2147483648,3,108750,174062,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478499465,false,true,-2147483648,86,183125,175000,-2147483648,2123000,3,2123000,183125,86,86,2123000,175000,183125,-2147483648,3,183125,175000,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478500020,false,true,-2147483648,86,107187,175000,-2147483648,2123000,3,2123000,107187,86,86,2123000,173125,107187,-2147483648,3,107187,173125,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478500558,false,true,-2147483648,86,115937,171250,-2147483648,2123000,3,2123000,115937,86,86,2123000,171250,115937,-2147483648,3,115937,171250,-2147483648,86,2123000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478501102,false,true,-2147483648,86,103437,167500,-2147483648,2122000,3,2122000,103437,86,86,2122000,167500,103437,-2147483648,3,103437,167500,-2147483648,86,2122000,2,17303567,86,0,100,3,Li-ion,253,4127
1683478501640,false,true,-2147483648,86,124062,165937,-2147483648,2122000,3,2122000,124062,86,86,2122000,165937,124062,-2147483648,3,124062,165937,-2147483648,86,2122000,2,17303567,86,0,100,3,Li-ion,253,4127
