Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683452901185,false,true,-2147483648,96,625312,234687,-2147483648,2348000,3,2348000,625312,96,96,2348000,234687,625312,-2147483648,3,625312,234687,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452901708,false,true,-2147483648,96,502187,252187,-2147483648,2348000,3,2348000,502187,96,96,2348000,252187,502187,-2147483648,3,502187,252187,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452902240,false,true,-2147483648,96,679687,273125,-2147483648,2348000,3,2348000,679687,96,96,2348000,273125,679687,-2147483648,3,679687,273125,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452902770,false,true,-2147483648,96,432500,277812,-2147483648,2348000,3,2348000,432500,96,96,2348000,277812,432500,-2147483648,3,432500,277812,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452903290,false,true,-2147483648,96,464687,288125,-2147483648,2348000,3,2348000,464687,96,96,2348000,288125,464687,-2147483648,3,464687,288125,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452903824,false,true,-2147483648,96,530625,297187,-2147483648,2348000,3,2348000,530625,96,96,2348000,297187,530625,-2147483648,3,530625,297187,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452904352,false,true,-2147483648,96,424062,308125,-2147483648,2348000,3,2348000,424062,96,96,2348000,308125,424062,-2147483648,3,424062,308125,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452904876,false,true,-2147483648,96,530625,312500,-2147483648,2348000,3,2348000,530625,96,96,2348000,312500,530625,-2147483648,3,530625,312500,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452905402,false,true,-2147483648,96,588437,327500,-2147483648,2348000,3,2348000,588437,96,96,2348000,327500,588437,-2147483648,3,588437,327500,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452905936,false,true,-2147483648,96,548437,333125,-2147483648,2348000,3,2348000,548437,96,96,2348000,333125,548437,-2147483648,3,548437,333125,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452906467,false,true,-2147483648,96,476250,344062,-2147483648,2348000,3,2348000,476250,96,96,2348000,344062,476250,-2147483648,3,476250,344062,-2147483648,96,2348000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452907001,false,true,-2147483648,96,546562,347812,-2147483648,2347000,3,2347000,546562,96,96,2347000,347812,546562,-2147483648,3,546562,347812,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452907530,false,true,-2147483648,96,435937,356562,-2147483648,2347000,3,2347000,435937,96,96,2347000,356562,435937,-2147483648,3,435937,356562,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452908063,false,true,-2147483648,96,445937,365625,-2147483648,2347000,3,2347000,445937,96,96,2347000,365625,445937,-2147483648,3,445937,365625,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452908595,false,true,-2147483648,96,495312,372187,-2147483648,2347000,3,2347000,495312,96,96,2347000,372187,495312,-2147483648,3,495312,372187,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452909128,false,true,-2147483648,96,431875,375312,-2147483648,2347000,3,2347000,431875,96,96,2347000,375312,431875,-2147483648,3,431875,375312,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452909660,false,true,-2147483648,96,628437,385000,-2147483648,2347000,3,2347000,429062,96,96,2347000,385000,429062,-2147483648,3,429062,385000,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452910194,false,true,-2147483648,96,490000,386250,-2147483648,2347000,3,2347000,490000,96,96,2347000,386250,490000,-2147483648,3,490000,386250,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452910728,false,true,-2147483648,96,509375,396875,-2147483648,2347000,3,2347000,509375,96,96,2347000,396875,509375,-2147483648,3,509375,396875,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452911261,false,true,-2147483648,96,435625,400312,-2147483648,2347000,3,2347000,435625,96,96,2347000,400312,435625,-2147483648,3,435625,400312,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452911789,false,true,-2147483648,96,512187,405312,-2147483648,2347000,3,2347000,512187,96,96,2347000,405312,512187,-2147483648,3,512187,405312,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452912323,false,true,-2147483648,96,450000,408750,-2147483648,2347000,3,2347000,450000,96,96,2347000,408750,450000,-2147483648,3,450000,408750,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452912855,false,true,-2147483648,96,455937,418125,-2147483648,2347000,3,2347000,455937,96,96,2347000,418125,455937,-2147483648,3,455937,418125,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452913386,false,true,-2147483648,96,439062,419375,-2147483648,2347000,3,2347000,439062,96,96,2347000,419375,439062,-2147483648,3,439062,419375,-2147483648,96,2347000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452913918,false,true,-2147483648,96,440937,420937,-2147483648,2346000,3,2346000,440937,96,96,2346000,420937,440937,-2147483648,3,440937,420937,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452914448,false,true,-2147483648,96,453750,421562,-2147483648,2346000,3,2346000,453750,96,96,2346000,421562,453750,-2147483648,3,453750,421562,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452914983,false,true,-2147483648,96,529687,423125,-2147483648,2346000,3,2346000,529687,96,96,2346000,423125,529687,-2147483648,3,529687,423125,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452915514,false,true,-2147483648,96,709375,426250,-2147483648,2346000,3,2346000,709375,96,96,2346000,426250,709375,-2147483648,3,709375,426250,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452916044,false,true,-2147483648,96,527187,436875,-2147483648,2346000,3,2346000,527187,96,96,2346000,436875,527187,-2147483648,3,527187,436875,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452916574,false,true,-2147483648,96,415937,439687,-2147483648,2346000,3,2346000,415937,96,96,2346000,439687,415937,-2147483648,3,415937,439062,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452917104,false,true,-2147483648,96,536875,438750,-2147483648,2346000,3,2346000,536875,96,96,2346000,438750,536875,-2147483648,3,536875,438750,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452917635,false,true,-2147483648,96,489375,441875,-2147483648,2346000,3,2346000,489375,96,96,2346000,443437,489375,-2147483648,3,489375,443437,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452918167,false,true,-2147483648,96,449375,442500,-2147483648,2346000,3,2346000,449375,96,96,2346000,442500,449375,-2147483648,3,449375,442500,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452918698,false,true,-2147483648,96,460937,443437,-2147483648,2346000,3,2346000,460937,96,96,2346000,443437,460937,-2147483648,3,460937,443437,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452919228,false,true,-2147483648,96,475937,445625,-2147483648,2346000,3,2346000,475937,96,96,2346000,445625,475937,-2147483648,3,475937,445625,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452919757,false,true,-2147483648,96,448125,446562,-2147483648,2346000,3,2346000,448125,96,96,2346000,446562,448125,-2147483648,3,448125,446562,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
1683452920286,false,true,-2147483648,96,449687,450000,-2147483648,2346000,3,2346000,449687,96,96,2346000,450000,449687,-2147483648,3,449687,450000,-2147483648,96,2346000,2,17303567,96,0,100,3,Li-ion,283,4239
