Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683454675543,false,true,-2147483648,92,3437,104687,-2147483648,2262000,3,2262000,3437,92,92,2262000,104687,3437,-2147483648,3,484375,104687,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454677610,false,true,-2147483648,92,8437,110000,-2147483648,2262000,3,2262000,8437,92,92,2262000,110000,8437,-2147483648,3,8437,110000,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454679747,false,true,-2147483648,92,7812,106250,-2147483648,2262000,3,2262000,7812,92,92,2262000,106250,7812,-2147483648,3,7812,106250,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454681899,false,true,-2147483648,92,284062,102500,-2147483648,2262000,3,2262000,284062,92,92,2262000,102500,284062,-2147483648,3,284062,102500,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454683718,false,true,-2147483648,92,95000,99375,-2147483648,2262000,3,2262000,95000,92,92,2262000,99375,95000,-2147483648,3,95000,99375,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454684262,false,true,-2147483648,92,201562,102500,-2147483648,2262000,3,2262000,201562,92,92,2262000,102500,201562,-2147483648,3,201562,102500,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454686308,false,true,-2147483648,92,10937,101875,-2147483648,2262000,3,2262000,10937,92,92,2262000,101875,10937,-2147483648,3,10937,101875,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454688444,false,true,-2147483648,92,-31562,97812,-2147483648,2262000,3,2262000,-31562,92,92,2262000,97812,-31562,-2147483648,3,-31562,93750,-2147483648,92,2262000,2,17303567,92,0,100,3,Li-ion,287,4209
1683454689903,false,true,-2147483648,92,75000,88437,-2147483648,2261000,3,2261000,75000,92,92,2261000,88437,75000,-2147483648,3,75000,88437,-2147483648,92,2261000,2,17303567,92,0,100,3,Li-ion,285,4207
1683454690439,false,true,-2147483648,92,302500,105937,-2147483648,2261000,3,2261000,302500,92,92,2261000,105937,302500,-2147483648,3,302500,105937,-2147483648,92,2261000,2,17303567,92,0,100,3,Li-ion,285,4207
