Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683471770384,false,true,-2147483648,84,315625,207187,-2147483648,2079000,3,2079000,315625,84,84,2079000,207187,315625,-2147483648,3,315625,207187,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471770910,false,true,-2147483648,84,195000,230625,-2147483648,2079000,3,2079000,195000,84,84,2079000,230625,195000,-2147483648,3,195000,230625,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471771448,false,true,-2147483648,84,134687,226562,-2147483648,2079000,3,2079000,134687,84,84,2079000,226562,466875,-2147483648,3,466875,226562,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471772009,false,true,-2147483648,84,105312,234062,-2147483648,2079000,3,2079000,105312,84,84,2079000,234062,105312,-2147483648,3,105312,234062,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471772548,false,true,-2147483648,84,251562,226250,-2147483648,2079000,3,2079000,251562,84,84,2079000,226250,251562,-2147483648,3,251562,226250,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471773089,false,true,-2147483648,84,95625,226875,-2147483648,2079000,3,2079000,95625,84,84,2079000,226875,95625,-2147483648,3,95625,226875,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471773630,false,true,-2147483648,84,171562,219375,-2147483648,2079000,3,2079000,171562,84,84,2079000,219375,171562,-2147483648,3,171562,219375,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471774153,false,true,-2147483648,84,142500,217812,-2147483648,2079000,3,2079000,142500,84,84,2079000,217812,142500,-2147483648,3,142500,217812,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471774684,false,true,-2147483648,84,160937,216250,-2147483648,2079000,3,2079000,160937,84,84,2079000,216250,160937,-2147483648,3,160937,216250,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471775235,false,true,-2147483648,84,160312,214687,-2147483648,2079000,3,2079000,160312,84,84,2079000,212812,160312,-2147483648,3,160312,212812,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471775782,false,true,-2147483648,84,121875,209375,-2147483648,2079000,3,2079000,121875,84,84,2079000,209375,121875,-2147483648,3,121875,209375,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471776334,false,true,-2147483648,84,222812,207187,-2147483648,2079000,3,2079000,222812,84,84,2079000,207187,222812,-2147483648,3,222812,207187,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471776875,false,true,-2147483648,84,105625,205000,-2147483648,2079000,3,2079000,105625,84,84,2079000,205000,105625,-2147483648,3,105625,205000,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471777420,false,true,-2147483648,84,718437,218125,-2147483648,2079000,3,2079000,718437,84,84,2079000,218125,134375,-2147483648,3,134375,218125,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471777975,false,true,-2147483648,84,106875,215312,-2147483648,2079000,3,2079000,106875,84,84,2079000,215312,106875,-2147483648,3,106875,215312,-2147483648,84,2079000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471778527,false,true,-2147483648,84,76562,214687,-2147483648,2078000,3,2078000,76562,84,84,2078000,214687,76562,-2147483648,3,76562,214687,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471779072,false,true,-2147483648,84,117500,210312,-2147483648,2078000,3,2078000,117500,84,84,2078000,210312,117500,-2147483648,3,117500,207500,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471779614,false,true,-2147483648,84,207500,203750,-2147483648,2078000,3,2078000,207500,84,84,2078000,203750,207500,-2147483648,3,207500,203750,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471780152,false,true,-2147483648,84,95625,200625,-2147483648,2078000,3,2078000,95625,84,84,2078000,200625,95625,-2147483648,3,95625,200625,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471780688,false,true,-2147483648,84,200312,197812,-2147483648,2078000,3,2078000,200312,84,84,2078000,197812,200312,-2147483648,3,200312,197812,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471781231,false,true,-2147483648,84,109687,195312,-2147483648,2078000,3,2078000,109687,84,84,2078000,195312,109687,-2147483648,3,109687,195312,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471781769,false,true,-2147483648,84,171250,192187,-2147483648,2078000,3,2078000,171250,84,84,2078000,192187,171250,-2147483648,3,171250,192187,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471782318,false,true,-2147483648,84,121562,189375,-2147483648,2078000,3,2078000,121562,84,84,2078000,189375,126875,-2147483648,3,126875,189375,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471782865,false,true,-2147483648,84,67187,187500,-2147483648,2078000,3,2078000,67187,84,84,2078000,187500,67187,-2147483648,3,67187,187500,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471783410,false,true,-2147483648,84,99062,180937,-2147483648,2078000,3,2078000,99062,84,84,2078000,180937,99062,-2147483648,3,99062,180937,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471783944,false,true,-2147483648,84,458750,178437,-2147483648,2078000,3,2078000,458750,84,84,2078000,178437,458750,-2147483648,3,458750,178437,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471784500,false,true,-2147483648,84,95000,186250,-2147483648,2078000,3,2078000,95000,84,84,2078000,186250,95000,-2147483648,3,95000,186250,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471785034,false,true,-2147483648,84,142812,183125,-2147483648,2078000,3,2078000,142812,84,84,2078000,183125,142812,-2147483648,3,142812,181875,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471785575,false,true,-2147483648,84,155312,181875,-2147483648,2078000,3,2078000,155312,84,84,2078000,181875,155312,-2147483648,3,155312,181875,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471786112,false,true,-2147483648,84,109375,178750,-2147483648,2078000,3,2078000,109375,84,84,2078000,178750,109375,-2147483648,3,109375,178750,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
1683471786655,false,true,-2147483648,84,110625,179062,-2147483648,2078000,3,2078000,110625,84,84,2078000,179062,110625,-2147483648,3,110625,179062,-2147483648,84,2078000,2,17303567,84,0,100,3,Li-ion,286,4084
