Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683486693397,false,true,-2147483648,92,552812,228750,-2147483648,2260000,3,2260000,552812,92,92,2260000,228750,552812,-2147483648,3,552812,228750,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486693923,false,true,-2147483648,92,213437,243125,-2147483648,2260000,3,2260000,213437,92,92,2260000,243125,213437,-2147483648,3,213437,243125,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486694458,false,true,-2147483648,92,365625,242187,-2147483648,2260000,3,2260000,365625,92,92,2260000,242187,365625,-2147483648,3,365625,242187,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486694994,false,true,-2147483648,92,153125,245000,-2147483648,2260000,3,2260000,153125,92,92,2260000,245000,153125,-2147483648,3,153125,245000,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486695518,false,true,-2147483648,92,418437,242187,-2147483648,2260000,3,2260000,418437,92,92,2260000,242187,418437,-2147483648,3,418437,242187,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486696053,false,true,-2147483648,92,249375,247500,-2147483648,2260000,3,2260000,249375,92,92,2260000,247500,249375,-2147483648,3,249375,247500,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486696586,false,true,-2147483648,92,379687,247500,-2147483648,2260000,3,2260000,379687,92,92,2260000,247500,379687,-2147483648,3,379687,247500,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486697116,false,true,-2147483648,92,331562,249062,-2147483648,2260000,3,2260000,331562,92,92,2260000,249062,331562,-2147483648,3,331562,249062,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486697647,false,true,-2147483648,92,184062,251875,-2147483648,2260000,3,2260000,184062,92,92,2260000,251875,184062,-2147483648,3,184062,251875,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486698183,false,true,-2147483648,92,256250,247500,-2147483648,2260000,3,2260000,256250,92,92,2260000,247500,256250,-2147483648,3,256250,247500,-2147483648,92,2260000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486698714,false,true,-2147483648,92,255000,247812,-2147483648,2260000,3,2260000,255000,92,92,2259000,247812,255000,-2147483648,3,255000,247812,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486699238,false,true,-2147483648,92,271562,245312,-2147483648,2259000,3,2259000,271562,92,92,2259000,245312,271562,-2147483648,3,271562,245312,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486699764,false,true,-2147483648,92,226875,246250,-2147483648,2259000,3,2259000,226875,92,92,2259000,246250,226875,-2147483648,3,226875,245625,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486700290,false,true,-2147483648,92,263437,244062,-2147483648,2259000,3,2259000,263437,92,92,2259000,244062,263437,-2147483648,3,263437,244062,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486700818,false,true,-2147483648,92,287812,244687,-2147483648,2259000,3,2259000,287812,92,92,2259000,245937,287812,-2147483648,3,287812,245937,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486701339,false,true,-2147483648,92,216562,243125,-2147483648,2259000,3,2259000,216562,92,92,2259000,243125,216562,-2147483648,3,216562,243125,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486701871,false,true,-2147483648,92,181875,242500,-2147483648,2259000,3,2259000,181875,92,92,2259000,240625,181875,-2147483648,3,181875,240625,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486702398,false,true,-2147483648,92,155312,240937,-2147483648,2259000,3,2259000,155312,92,92,2259000,240937,155312,-2147483648,3,155312,240937,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486702929,false,true,-2147483648,92,329062,238125,-2147483648,2259000,3,2259000,329062,92,92,2259000,241250,329062,-2147483648,3,329062,241250,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486703458,false,true,-2147483648,92,164687,239687,-2147483648,2259000,3,2259000,164687,92,92,2259000,239687,164687,-2147483648,3,164687,239687,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486703994,false,true,-2147483648,92,265000,238125,-2147483648,2259000,3,2259000,265000,92,92,2259000,238125,265000,-2147483648,3,265000,238125,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486704525,false,true,-2147483648,92,204375,235312,-2147483648,2259000,3,2259000,204375,92,92,2259000,235312,204375,-2147483648,3,204375,235312,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486705053,false,true,-2147483648,92,265312,235312,-2147483648,2259000,3,2259000,265312,92,92,2259000,235312,265312,-2147483648,3,265312,235312,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486705579,false,true,-2147483648,92,306875,234375,-2147483648,2259000,3,2259000,306875,92,92,2259000,234375,306875,-2147483648,3,306875,234375,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486706104,false,true,-2147483648,92,235625,236562,-2147483648,2259000,3,2259000,235625,92,92,2259000,236562,235625,-2147483648,3,235625,236562,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
1683486706632,false,true,-2147483648,92,174687,236250,-2147483648,2259000,3,2259000,174687,92,92,2259000,236250,174687,-2147483648,3,174687,236250,-2147483648,92,2259000,2,17303567,92,0,100,3,Li-ion,259,4235
