Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683464191564,false,true,-2147483648,84,311562,190937,-2147483648,2072000,3,2072000,311562,84,84,2072000,190937,311562,-2147483648,3,311562,190937,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464192088,false,true,-2147483648,84,243750,194687,-2147483648,2072000,3,2072000,243750,84,84,2072000,196250,243750,-2147483648,3,243750,196250,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464192640,false,true,-2147483648,84,97812,199375,-2147483648,2072000,3,2072000,97812,84,84,2072000,199375,97812,-2147483648,3,97812,199375,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464193181,false,true,-2147483648,84,202187,196250,-2147483648,2072000,3,2072000,202187,84,84,2072000,196250,202187,-2147483648,3,202187,196250,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464193710,false,true,-2147483648,84,144062,194375,-2147483648,2072000,3,2072000,144062,84,84,2072000,194375,144062,-2147483648,3,144062,194375,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464194254,false,true,-2147483648,84,184687,192500,-2147483648,2072000,3,2072000,184687,84,84,2072000,192500,184687,-2147483648,3,184687,192500,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464194798,false,true,-2147483648,84,164375,190625,-2147483648,2072000,3,2072000,164375,84,84,2072000,190625,164375,-2147483648,3,164375,190625,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464195368,false,true,-2147483648,84,200312,186562,-2147483648,2072000,3,2072000,200312,84,84,2072000,186562,200312,-2147483648,3,200312,186562,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464195913,false,true,-2147483648,84,72812,186875,-2147483648,2072000,3,2072000,72812,84,84,2072000,186875,72812,-2147483648,3,72812,186875,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464196478,false,true,-2147483648,84,140000,182187,-2147483648,2072000,3,2072000,140000,84,84,2072000,182187,140000,-2147483648,3,140000,182187,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464197037,false,true,-2147483648,84,138437,179687,-2147483648,2072000,3,2072000,138437,84,84,2072000,179687,138437,-2147483648,3,138437,179687,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464197575,false,true,-2147483648,84,193750,177187,-2147483648,2072000,3,2072000,193750,84,84,2072000,177187,193750,-2147483648,3,193750,177187,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464198124,false,true,-2147483648,84,118125,175937,-2147483648,2072000,3,2072000,118125,84,84,2072000,175937,185937,-2147483648,3,185937,175937,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464198674,false,true,-2147483648,84,173750,176250,-2147483648,2072000,3,2072000,173750,84,84,2072000,176250,173750,-2147483648,3,173750,176250,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464199222,false,true,-2147483648,84,134375,173750,-2147483648,2072000,3,2072000,134375,84,84,2072000,173750,134375,-2147483648,3,134375,173750,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464199781,false,true,-2147483648,84,177187,172500,-2147483648,2072000,3,2072000,177187,84,84,2072000,172500,177187,-2147483648,3,177187,172500,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464200326,false,true,-2147483648,84,85625,171250,-2147483648,2072000,3,2072000,85625,84,84,2072000,171250,85625,-2147483648,3,85625,171250,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464200866,false,true,-2147483648,84,100312,166250,-2147483648,2072000,3,2072000,100312,84,84,2072000,166250,100312,-2147483648,3,100312,166250,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464201421,false,true,-2147483648,84,94375,164375,-2147483648,2072000,3,2072000,94375,84,84,2072000,164375,94375,-2147483648,3,94375,164375,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464201957,false,true,-2147483648,84,100937,160312,-2147483648,2072000,3,2072000,100937,84,84,2072000,160312,100937,-2147483648,3,100937,160312,-2147483648,84,2072000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464202508,false,true,-2147483648,84,109375,160000,-2147483648,2071000,3,2071000,109375,84,84,2071000,160000,109375,-2147483648,3,109375,160000,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464203045,false,true,-2147483648,84,96250,156562,-2147483648,2071000,3,2071000,332187,84,84,2071000,156562,332187,-2147483648,3,332187,156562,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464203576,false,true,-2147483648,84,104687,161875,-2147483648,2071000,3,2071000,104687,84,84,2071000,161875,104687,-2147483648,3,104687,161875,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464204118,false,true,-2147483648,84,207187,158125,-2147483648,2071000,3,2071000,207187,84,84,2071000,158125,207187,-2147483648,3,207187,158125,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464204664,false,true,-2147483648,84,106250,159687,-2147483648,2071000,3,2071000,106250,84,84,2071000,159687,106250,-2147483648,3,106250,159687,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464205200,false,true,-2147483648,84,224375,156250,-2147483648,2071000,3,2071000,224375,84,84,2071000,156250,224375,-2147483648,3,224375,156250,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464205750,false,true,-2147483648,84,93750,158437,-2147483648,2071000,3,2071000,93750,84,84,2071000,158437,93750,-2147483648,3,93750,156562,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464206284,false,true,-2147483648,84,73750,155000,-2147483648,2071000,3,2071000,73750,84,84,2071000,155000,73750,-2147483648,3,73750,155000,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464206828,false,true,-2147483648,84,114062,151250,-2147483648,2071000,3,2071000,114062,84,84,2071000,151250,114062,-2147483648,3,114062,151250,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
1683464207373,false,true,-2147483648,84,128750,149687,-2147483648,2071000,3,2071000,128750,84,84,2071000,149687,128750,-2147483648,3,128750,149687,-2147483648,84,2071000,2,17303567,84,0,100,3,Li-ion,288,4111
