Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683457327860,false,true,-2147483648,86,478750,221250,-2147483648,2126000,3,2126000,478750,86,86,2126000,221250,478750,-2147483648,3,478750,221250,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457328388,false,true,-2147483648,86,136250,229062,-2147483648,2126000,3,2126000,136250,86,86,2126000,229062,136250,-2147483648,3,136250,229062,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457328933,false,true,-2147483648,86,128125,226250,-2147483648,2126000,3,2126000,128125,86,86,2126000,226250,128125,-2147483648,3,128125,226250,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457329472,false,true,-2147483648,86,102812,222187,-2147483648,2126000,3,2126000,102812,86,86,2126000,222187,102812,-2147483648,3,102812,222187,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457330005,false,true,-2147483648,86,198750,218437,-2147483648,2126000,3,2126000,198750,86,86,2126000,218437,198750,-2147483648,3,198750,218437,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457330560,false,true,-2147483648,86,104687,216562,-2147483648,2126000,3,2126000,104687,86,86,2126000,216562,104687,-2147483648,3,104687,216562,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457331110,false,true,-2147483648,86,305937,215937,-2147483648,2126000,3,2126000,305937,86,86,2126000,215937,305937,-2147483648,3,305937,215937,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457331631,false,true,-2147483648,86,121250,212187,-2147483648,2126000,3,2126000,121250,86,86,2126000,212187,121250,-2147483648,3,121250,212187,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457332183,false,true,-2147483648,86,120625,206562,-2147483648,2126000,3,2126000,120625,86,86,2126000,206562,120625,-2147483648,3,120625,206562,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457332730,false,true,-2147483648,86,135000,204062,-2147483648,2126000,3,2126000,135000,86,86,2126000,204062,135000,-2147483648,3,135000,204062,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457333279,false,true,-2147483648,86,85000,198750,-2147483648,2126000,3,2126000,85000,86,86,2126000,198750,85000,-2147483648,3,85000,198750,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457333822,false,true,-2147483648,86,177812,195312,-2147483648,2126000,3,2126000,177812,86,86,2126000,195312,177812,-2147483648,3,177812,195312,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457334385,false,true,-2147483648,86,89687,192187,-2147483648,2126000,3,2126000,89687,86,86,2126000,192187,89687,-2147483648,3,89687,192187,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457334928,false,true,-2147483648,86,169375,189062,-2147483648,2126000,3,2126000,169375,86,86,2126000,188437,169375,-2147483648,3,169375,188437,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457335479,false,true,-2147483648,86,104687,186562,-2147483648,2126000,3,2126000,104687,86,86,2126000,186562,104687,-2147483648,3,104687,186562,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457336023,false,true,-2147483648,86,205000,184687,-2147483648,2126000,3,2126000,205000,86,86,2126000,184687,205000,-2147483648,3,205000,184687,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457336573,false,true,-2147483648,86,169062,182187,-2147483648,2126000,3,2126000,169062,86,86,2126000,182187,169062,-2147483648,3,169062,182187,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457337117,false,true,-2147483648,86,105625,179375,-2147483648,2126000,3,2126000,123750,86,86,2126000,179375,123750,-2147483648,3,123750,179375,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457337661,false,true,-2147483648,86,141562,177812,-2147483648,2126000,3,2126000,141562,86,86,2126000,177812,141562,-2147483648,3,141562,177812,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457338199,false,true,-2147483648,86,184687,174687,-2147483648,2126000,3,2126000,184687,86,86,2126000,174687,184687,-2147483648,3,184687,174687,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457338762,false,true,-2147483648,86,105625,175000,-2147483648,2126000,3,2126000,105625,86,86,2126000,175000,105625,-2147483648,3,105625,175000,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457339300,false,true,-2147483648,86,163437,170625,-2147483648,2126000,3,2126000,163437,86,86,2126000,170625,163437,-2147483648,3,163437,170625,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
1683457339862,false,true,-2147483648,86,133125,169062,-2147483648,2126000,3,2126000,133125,86,86,2126000,169062,133125,-2147483648,3,133125,169062,-2147483648,86,2126000,2,17303567,86,0,100,3,Li-ion,283,4132
