Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683469497806,false,true,-2147483648,89,484687,202500,-2147483648,2196000,3,2196000,484687,89,89,2196000,202500,484687,-2147483648,3,484687,202500,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469498332,false,true,-2147483648,89,231250,211250,-2147483648,2196000,3,2196000,231250,89,89,2196000,211250,231250,-2147483648,3,231250,211250,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469498872,false,true,-2147483648,89,157500,211562,-2147483648,2196000,3,2196000,157500,89,89,2196000,211562,157500,-2147483648,3,157500,211562,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469499408,false,true,-2147483648,89,179687,209687,-2147483648,2196000,3,2196000,179687,89,89,2196000,208750,179687,-2147483648,3,179687,208750,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469499934,false,true,-2147483648,89,123437,207187,-2147483648,2195000,3,2195000,123437,89,89,2195000,207187,123437,-2147483648,3,123437,207187,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469500491,false,true,-2147483648,89,183125,203750,-2147483648,2195000,3,2195000,183125,89,89,2195000,203750,183125,-2147483648,3,183125,203750,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469501034,false,true,-2147483648,89,153750,200937,-2147483648,2195000,3,2195000,153750,89,89,2195000,200937,153750,-2147483648,3,153750,200937,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469501563,false,true,-2147483648,89,171562,198437,-2147483648,2195000,3,2195000,171562,89,89,2195000,198437,171562,-2147483648,3,171562,198437,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469502107,false,true,-2147483648,89,216562,198437,-2147483648,2195000,3,2195000,216562,89,89,2195000,198437,216562,-2147483648,3,216562,198437,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469502650,false,true,-2147483648,89,113125,196250,-2147483648,2195000,3,2195000,147187,89,89,2195000,196250,147187,-2147483648,3,147187,196250,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469503196,false,true,-2147483648,89,89375,195000,-2147483648,2195000,3,2195000,89375,89,89,2195000,195000,89375,-2147483648,3,89375,195000,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469503740,false,true,-2147483648,89,103125,188750,-2147483648,2195000,3,2195000,103125,89,89,2195000,188750,103125,-2147483648,3,103125,188750,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469504294,false,true,-2147483648,89,148125,186250,-2147483648,2195000,3,2195000,148125,89,89,2195000,186250,148125,-2147483648,3,148125,186250,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469504859,false,true,-2147483648,89,166250,182500,-2147483648,2195000,3,2195000,166250,89,89,2195000,182500,166250,-2147483648,3,166250,182500,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469505410,false,true,-2147483648,89,109062,179687,-2147483648,2195000,3,2195000,109062,89,89,2195000,179687,109062,-2147483648,3,109062,179687,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469505953,false,true,-2147483648,89,166250,177187,-2147483648,2195000,3,2195000,166250,89,89,2195000,177187,166250,-2147483648,3,166250,177187,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469506501,false,true,-2147483648,89,94062,174375,-2147483648,2195000,3,2195000,164062,89,89,2195000,174375,164062,-2147483648,3,164062,174375,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469507036,false,true,-2147483648,89,185312,174062,-2147483648,2195000,3,2195000,185312,89,89,2195000,174062,185312,-2147483648,3,185312,174062,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469507579,false,true,-2147483648,89,111250,171875,-2147483648,2195000,3,2195000,111250,89,89,2195000,171875,111250,-2147483648,3,111250,171875,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
1683469508118,false,true,-2147483648,89,102500,170000,-2147483648,2195000,3,2195000,102500,89,89,2195000,170000,102500,-2147483648,3,102500,170000,-2147483648,89,2195000,2,17303567,89,0,100,3,Li-ion,280,4160
