Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683494297941,false,true,-2147483648,89,364375,200937,-2147483648,2196000,3,2196000,364375,89,89,2196000,200937,364375,-2147483648,3,364375,200937,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494298465,false,true,-2147483648,89,242187,207187,-2147483648,2196000,3,2196000,242187,89,89,2196000,207187,242187,-2147483648,3,242187,207187,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494299007,false,true,-2147483648,89,124062,205937,-2147483648,2196000,3,2196000,124062,89,89,2196000,205937,124062,-2147483648,3,124062,205937,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494299543,false,true,-2147483648,89,185312,202812,-2147483648,2196000,3,2196000,185312,89,89,2196000,202812,185312,-2147483648,3,185312,202812,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494300074,false,true,-2147483648,89,130312,200625,-2147483648,2196000,3,2196000,130312,89,89,2196000,200625,130312,-2147483648,3,130312,200625,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494300620,false,true,-2147483648,89,109375,198750,-2147483648,2196000,3,2196000,109375,89,89,2196000,198750,109375,-2147483648,3,109375,198750,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494301160,false,true,-2147483648,89,176875,195937,-2147483648,2196000,3,2196000,176875,89,89,2196000,195937,176875,-2147483648,3,176875,195937,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494301697,false,true,-2147483648,89,161250,192500,-2147483648,2196000,3,2196000,161250,89,89,2196000,192500,161250,-2147483648,3,161250,192500,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494302238,false,true,-2147483648,89,122500,191562,-2147483648,2196000,3,2196000,122500,89,89,2196000,191562,122500,-2147483648,3,122500,191562,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
1683494302785,false,true,-2147483648,89,137187,188125,-2147483648,2196000,3,2196000,137187,89,89,2196000,188125,137187,-2147483648,3,137187,188125,-2147483648,89,2196000,2,17303567,89,0,100,3,Li-ion,264,4178
