Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683492496590,false,true,-2147483648,81,281562,195000,-2147483648,1992000,3,1992000,629375,81,81,1992000,195000,629375,-2147483648,3,629375,195000,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492497117,false,true,-2147483648,81,196875,208437,-2147483648,1992000,3,1992000,196875,81,81,1992000,208437,196875,-2147483648,3,196875,208437,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492497660,false,true,-2147483648,81,158437,207812,-2147483648,1992000,3,1992000,158437,81,81,1992000,207812,158437,-2147483648,3,158437,207812,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492498203,false,true,-2147483648,81,135312,206250,-2147483648,1992000,3,1992000,135312,81,81,1992000,206250,135312,-2147483648,3,135312,206250,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492498742,false,true,-2147483648,81,411562,201875,-2147483648,1992000,3,1992000,411562,81,81,1992000,201875,411562,-2147483648,3,411562,201875,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492499284,false,true,-2147483648,81,211562,208437,-2147483648,1992000,3,1992000,211562,81,81,1992000,208437,211562,-2147483648,3,211562,208437,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492499823,false,true,-2147483648,81,183125,205000,-2147483648,1992000,3,1992000,183125,81,81,1992000,205000,183125,-2147483648,3,183125,205000,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492500349,false,true,-2147483648,81,171250,204375,-2147483648,1992000,3,1992000,171250,81,81,1992000,203437,171250,-2147483648,3,171250,203437,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492500890,false,true,-2147483648,81,228750,204375,-2147483648,1992000,3,1992000,228750,81,81,1992000,204375,228750,-2147483648,3,228750,204375,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492501430,false,true,-2147483648,81,210312,205312,-2147483648,1992000,3,1992000,210312,81,81,1992000,205312,210312,-2147483648,3,210312,205312,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492501972,false,true,-2147483648,81,113750,202187,-2147483648,1992000,3,1992000,113750,81,81,1992000,202187,113750,-2147483648,3,113750,202187,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492502512,false,true,-2147483648,81,114375,196875,-2147483648,1992000,3,1992000,114375,81,81,1992000,196875,114375,-2147483648,3,114375,196875,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492503054,false,true,-2147483648,81,156562,194687,-2147483648,1992000,3,1992000,156562,81,81,1992000,194687,156562,-2147483648,3,156562,194687,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492503593,false,true,-2147483648,81,171875,192812,-2147483648,1992000,3,1992000,171875,81,81,1992000,192812,171875,-2147483648,3,223437,192812,-2147483648,81,1992000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492504133,false,true,-2147483648,81,115625,193750,-2147483648,1991000,3,1991000,115625,81,81,1991000,193750,115625,-2147483648,3,115625,193750,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492504656,false,true,-2147483648,81,228125,190000,-2147483648,1991000,3,1991000,228125,81,81,1991000,190000,228125,-2147483648,3,228125,190000,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492505199,false,true,-2147483648,81,145000,190937,-2147483648,1991000,3,1991000,145000,81,81,1991000,190937,145000,-2147483648,3,145000,190937,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492505732,false,true,-2147483648,81,181250,188125,-2147483648,1991000,3,1991000,181250,81,81,1991000,188125,181250,-2147483648,3,181250,188125,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492506274,false,true,-2147483648,81,110000,187812,-2147483648,1991000,3,1991000,110000,81,81,1991000,187812,110000,-2147483648,3,110000,187812,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492506821,false,true,-2147483648,81,134062,183437,-2147483648,1991000,3,1991000,134062,81,81,1991000,183437,134062,-2147483648,3,134062,183437,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492507365,false,true,-2147483648,81,139375,181875,-2147483648,1991000,3,1991000,139375,81,81,1991000,180625,139375,-2147483648,3,139375,180625,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492507906,false,true,-2147483648,81,77500,180000,-2147483648,1991000,3,1991000,77500,81,81,1991000,180000,77500,-2147483648,3,77500,180000,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492508452,false,true,-2147483648,81,245625,178750,-2147483648,1991000,3,1991000,245625,81,81,1991000,178750,245625,-2147483648,3,245625,178750,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492508988,false,true,-2147483648,81,101562,176562,-2147483648,1991000,3,1991000,101562,81,81,1991000,176562,101562,-2147483648,3,101562,176562,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492509538,false,true,-2147483648,81,188750,174687,-2147483648,1991000,3,1991000,188750,81,81,1991000,174687,188750,-2147483648,3,188750,174687,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492510078,false,true,-2147483648,81,116250,172812,-2147483648,1991000,3,1991000,116250,81,81,1991000,172812,116250,-2147483648,3,116250,172812,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492510614,false,true,-2147483648,81,177500,171250,-2147483648,1991000,3,1991000,145312,81,81,1991000,171250,145312,-2147483648,3,145312,171250,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492511152,false,true,-2147483648,81,85625,170625,-2147483648,1991000,3,1991000,85625,81,81,1991000,170625,85625,-2147483648,3,85625,170625,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492511692,false,true,-2147483648,81,134062,166562,-2147483648,1991000,3,1991000,134062,81,81,1991000,166562,134062,-2147483648,3,134062,166562,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492512232,false,true,-2147483648,81,117812,165312,-2147483648,1991000,3,1991000,117812,81,81,1991000,165312,117812,-2147483648,3,117812,165312,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492512774,false,true,-2147483648,81,134062,164062,-2147483648,1991000,3,1991000,134062,81,81,1991000,164062,134062,-2147483648,3,134062,164062,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492513316,false,true,-2147483648,81,117187,163125,-2147483648,1991000,3,1991000,117187,81,81,1991000,163125,117187,-2147483648,3,117187,161875,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492513855,false,true,-2147483648,81,210937,160000,-2147483648,1991000,3,1991000,210937,81,81,1991000,160000,210937,-2147483648,3,210937,160000,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492514392,false,true,-2147483648,81,133125,160937,-2147483648,1991000,3,1991000,133125,81,81,1991000,160937,133125,-2147483648,3,133125,160937,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492514926,false,true,-2147483648,81,168750,159062,-2147483648,1991000,3,1991000,168750,81,81,1991000,159062,168750,-2147483648,3,168750,159062,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492515469,false,true,-2147483648,81,110937,157812,-2147483648,1991000,3,1991000,110937,81,81,1991000,157812,110937,-2147483648,3,110937,157812,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492516004,false,true,-2147483648,81,196250,156250,-2147483648,1991000,3,1991000,196250,81,81,1991000,156250,196250,-2147483648,3,196250,156250,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492516544,false,true,-2147483648,81,117500,156250,-2147483648,1991000,3,1991000,117500,81,81,1991000,156250,117500,-2147483648,3,117500,156250,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492517080,false,true,-2147483648,81,83437,154687,-2147483648,1991000,3,1991000,83437,81,81,1991000,154687,83437,-2147483648,3,83437,154687,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492517620,false,true,-2147483648,81,121562,152812,-2147483648,1991000,3,1991000,121562,81,81,1991000,152812,121562,-2147483648,3,121562,152812,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492518153,false,true,-2147483648,81,117500,151875,-2147483648,1991000,3,1991000,117500,81,81,1991000,151875,117500,-2147483648,3,117500,151875,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492518689,false,true,-2147483648,81,110937,150312,-2147483648,1991000,3,1991000,110937,81,81,1991000,150312,110937,-2147483648,3,110937,150312,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492519221,false,true,-2147483648,81,182500,149062,-2147483648,1991000,3,1991000,182500,81,81,1991000,149062,182500,-2147483648,3,182500,149062,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492519754,false,true,-2147483648,81,125937,151250,-2147483648,1991000,3,1991000,125937,81,81,1991000,151250,125937,-2147483648,3,125937,151250,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492520294,false,true,-2147483648,81,111875,150312,-2147483648,1991000,3,1991000,111875,81,81,1991000,150312,111875,-2147483648,3,111875,150312,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492520832,false,true,-2147483648,81,115000,149687,-2147483648,1991000,3,1991000,115000,81,81,1991000,149687,115000,-2147483648,3,115000,149687,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492521371,false,true,-2147483648,81,128437,148750,-2147483648,1991000,3,1991000,128437,81,81,1991000,148750,128437,-2147483648,3,128437,148750,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492521909,false,true,-2147483648,81,144687,149687,-2147483648,1991000,3,1991000,144687,81,81,1991000,149687,144687,-2147483648,3,144687,149687,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492522447,false,true,-2147483648,81,113437,148437,-2147483648,1991000,3,1991000,113437,81,81,1991000,148437,113437,-2147483648,3,113437,148437,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492522986,false,true,-2147483648,81,112187,147812,-2147483648,1991000,3,1991000,112187,81,81,1991000,147812,112187,-2147483648,3,112187,147812,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492523525,false,true,-2147483648,81,134062,146250,-2147483648,1991000,3,1991000,134062,81,81,1991000,146250,134062,-2147483648,3,134062,146250,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492524063,false,true,-2147483648,81,208750,145000,-2147483648,1991000,3,1991000,208750,81,81,1991000,145000,208750,-2147483648,3,208750,145000,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492524602,false,true,-2147483648,81,109375,145937,-2147483648,1991000,3,1991000,109375,81,81,1991000,145937,109375,-2147483648,3,109375,145937,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492525138,false,true,-2147483648,81,195312,146250,-2147483648,1991000,3,1991000,195312,81,81,1991000,146250,195312,-2147483648,3,195312,146250,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492525678,false,true,-2147483648,81,142500,147187,-2147483648,1991000,3,1991000,142500,81,81,1991000,147187,142500,-2147483648,3,142500,147187,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492526211,false,true,-2147483648,81,215000,146875,-2147483648,1991000,3,1991000,215000,81,81,1991000,146875,215000,-2147483648,3,215000,146875,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492526753,false,true,-2147483648,81,115937,148125,-2147483648,1991000,3,1991000,115937,81,81,1991000,148125,115937,-2147483648,3,115937,148125,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492527290,false,true,-2147483648,81,116250,147187,-2147483648,1991000,3,1991000,116250,81,81,1991000,147187,116250,-2147483648,3,116250,147187,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492527830,false,true,-2147483648,81,117812,145312,-2147483648,1991000,3,1991000,117812,81,81,1991000,145312,117812,-2147483648,3,117812,145312,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492528368,false,true,-2147483648,81,106875,144687,-2147483648,1991000,3,1991000,106875,81,81,1991000,144687,106875,-2147483648,3,106875,144687,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492528897,false,true,-2147483648,81,127187,144687,-2147483648,1991000,3,1991000,127187,81,81,1991000,144687,127187,-2147483648,3,127187,144687,-2147483648,81,1991000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492529431,false,true,-2147483648,81,128125,144375,-2147483648,1991000,3,1991000,128125,81,81,1991000,144375,128125,-2147483648,3,128125,143750,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492529970,false,true,-2147483648,81,115312,143125,-2147483648,1990000,3,1990000,115312,81,81,1990000,143125,115312,-2147483648,3,115312,143125,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492530508,false,true,-2147483648,81,118437,141562,-2147483648,1990000,3,1990000,118437,81,81,1990000,141562,118437,-2147483648,3,118437,141562,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492531055,false,true,-2147483648,81,84062,141562,-2147483648,1990000,3,1990000,84062,81,81,1990000,141562,84062,-2147483648,3,84062,141562,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492531600,false,true,-2147483648,81,123750,139062,-2147483648,1990000,3,1990000,123750,81,81,1990000,139062,123750,-2147483648,3,123750,139062,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492532146,false,true,-2147483648,81,195312,139062,-2147483648,1990000,3,1990000,195312,81,81,1990000,139062,195312,-2147483648,3,195312,139062,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492532688,false,true,-2147483648,81,120625,140312,-2147483648,1990000,3,1990000,120625,81,81,1990000,140312,120625,-2147483648,3,120625,140312,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492533227,false,true,-2147483648,81,199375,139687,-2147483648,1990000,3,1990000,199375,81,81,1990000,139687,199375,-2147483648,3,199375,139687,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492533762,false,true,-2147483648,81,139687,141250,-2147483648,1990000,3,1990000,139687,81,81,1990000,141250,139687,-2147483648,3,139687,141250,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492534298,false,true,-2147483648,81,117812,141250,-2147483648,1990000,3,1990000,117812,81,81,1990000,141250,117812,-2147483648,3,117812,141250,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
1683492534833,false,true,-2147483648,81,105000,139687,-2147483648,1990000,3,1990000,105000,81,81,1990000,139687,105000,-2147483648,3,105000,139687,-2147483648,81,1990000,2,17303567,81,0,100,3,Li-ion,262,4011
