Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683467660627,false,true,-2147483648,93,331562,196250,-2147483648,2293000,3,2293000,331562,93,93,2293000,196250,331562,-2147483648,3,331562,196250,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467661153,false,true,-2147483648,93,233437,200625,-2147483648,2293000,3,2293000,233437,93,93,2293000,200625,233437,-2147483648,3,233437,200625,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467661698,false,true,-2147483648,93,155937,199687,-2147483648,2293000,3,2293000,155937,93,93,2293000,199687,155937,-2147483648,3,155937,199687,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467662240,false,true,-2147483648,93,169375,198437,-2147483648,2293000,3,2293000,169375,93,93,2293000,198437,169375,-2147483648,3,169375,198437,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467662773,false,true,-2147483648,93,213125,194687,-2147483648,2293000,3,2293000,213125,93,93,2293000,194687,213125,-2147483648,3,213125,194687,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467663318,false,true,-2147483648,93,171562,194375,-2147483648,2293000,3,2293000,171562,93,93,2293000,194375,171562,-2147483648,3,171562,194375,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467663868,false,true,-2147483648,93,79687,193125,-2147483648,2293000,3,2293000,79687,93,93,2293000,193125,79687,-2147483648,3,79687,193125,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467664439,false,true,-2147483648,93,168125,189062,-2147483648,2293000,3,2293000,168125,93,93,2293000,189062,168125,-2147483648,3,168125,189062,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467664987,false,true,-2147483648,93,119375,192500,-2147483648,2293000,3,2293000,119375,93,93,2293000,192500,119375,-2147483648,3,119375,192500,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467665530,false,true,-2147483648,93,125937,187500,-2147483648,2293000,3,2293000,125937,93,93,2293000,187500,125937,-2147483648,3,125937,187500,-2147483648,93,2293000,2,17303567,93,0,100,3,Li-ion,271,4159
