Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683479371118,false,true,-2147483648,84,399062,209062,-2147483648,2083000,3,2083000,399062,84,84,2083000,209062,399062,-2147483648,3,399062,215000,-2147483648,84,2083000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479371642,false,true,-2147483648,84,422187,216875,-2147483648,2083000,3,2083000,422187,84,84,2083000,216875,422187,-2147483648,3,422187,216875,-2147483648,84,2083000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479372183,false,true,-2147483648,84,184062,223437,-2147483648,2082000,3,2082000,184062,84,84,2082000,222187,184062,-2147483648,3,184062,222187,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479372723,false,true,-2147483648,84,122812,219062,-2147483648,2082000,3,2082000,122812,84,84,2082000,219062,122812,-2147483648,3,122812,219062,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479373243,false,true,-2147483648,84,152500,214062,-2147483648,2082000,3,2082000,152500,84,84,2082000,214062,152500,-2147483648,3,152500,214062,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479373782,false,true,-2147483648,84,208125,220625,-2147483648,2082000,3,2082000,208125,84,84,2082000,220625,208125,-2147483648,3,208125,220625,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479374321,false,true,-2147483648,84,106562,216875,-2147483648,2082000,3,2082000,106562,84,84,2082000,216875,106562,-2147483648,3,106562,216875,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479374858,false,true,-2147483648,84,183750,213437,-2147483648,2082000,3,2082000,183750,84,84,2082000,213437,183750,-2147483648,3,183750,213437,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479375396,false,true,-2147483648,84,247187,213750,-2147483648,2082000,3,2082000,247187,84,84,2082000,213750,247187,-2147483648,3,247187,213750,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479375932,false,true,-2147483648,84,310937,211562,-2147483648,2082000,3,2082000,310937,84,84,2082000,211562,310937,-2147483648,3,310937,211562,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479376471,false,true,-2147483648,84,115000,211562,-2147483648,2082000,3,2082000,115000,84,84,2082000,211562,141562,-2147483648,3,141562,211562,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479377007,false,true,-2147483648,84,115625,209375,-2147483648,2082000,3,2082000,115625,84,84,2082000,209375,115625,-2147483648,3,115625,209375,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479377542,false,true,-2147483648,84,111875,204062,-2147483648,2082000,3,2082000,111875,84,84,2082000,204062,111875,-2147483648,3,111875,204062,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479378078,false,true,-2147483648,84,107187,201250,-2147483648,2082000,3,2082000,107187,84,84,2082000,201250,107187,-2147483648,3,107187,201250,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479378615,false,true,-2147483648,84,117812,196562,-2147483648,2082000,3,2082000,117812,84,84,2082000,196562,117812,-2147483648,3,117812,196562,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479379145,false,true,-2147483648,84,131875,194062,-2147483648,2082000,3,2082000,131875,84,84,2082000,194062,131875,-2147483648,3,131875,194062,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479379678,false,true,-2147483648,84,213437,192812,-2147483648,2082000,3,2082000,213437,84,84,2082000,192812,213437,-2147483648,3,213437,192812,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479380212,false,true,-2147483648,84,106875,193437,-2147483648,2082000,3,2082000,106875,84,84,2082000,193437,106875,-2147483648,3,106875,193437,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479380751,false,true,-2147483648,84,112812,192500,-2147483648,2082000,3,2082000,112812,84,84,2082000,192500,112812,-2147483648,3,112812,192500,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479381285,false,true,-2147483648,84,117187,190000,-2147483648,2082000,3,2082000,117187,84,84,2082000,190000,117187,-2147483648,3,117187,190000,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479381821,false,true,-2147483648,84,115625,188437,-2147483648,2082000,3,2082000,115625,84,84,2082000,188437,115625,-2147483648,3,115625,188437,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479382360,false,true,-2147483648,84,134062,184375,-2147483648,2082000,3,2082000,134062,84,84,2082000,184375,134062,-2147483648,3,134062,184375,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479382896,false,true,-2147483648,84,132187,182500,-2147483648,2082000,3,2082000,132187,84,84,2082000,182500,132187,-2147483648,3,132187,182500,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479383432,false,true,-2147483648,84,123750,179062,-2147483648,2082000,3,2082000,123750,84,84,2082000,179062,123750,-2147483648,3,123750,179062,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479383969,false,true,-2147483648,84,201562,176875,-2147483648,2082000,3,2082000,201562,84,84,2082000,176875,201562,-2147483648,3,201562,176875,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479384507,false,true,-2147483648,84,126562,176250,-2147483648,2082000,3,2082000,126562,84,84,2082000,176250,126562,-2147483648,3,126562,176250,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479385049,false,true,-2147483648,84,182500,175000,-2147483648,2082000,3,2082000,182500,84,84,2082000,175000,182500,-2147483648,3,182500,175000,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479385588,false,true,-2147483648,84,138750,174062,-2147483648,2082000,3,2082000,133437,84,84,2082000,174062,133437,-2147483648,3,133437,174062,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479386126,false,true,-2147483648,84,192187,172812,-2147483648,2082000,3,2082000,192187,84,84,2082000,172812,192187,-2147483648,3,192187,172812,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479386663,false,true,-2147483648,84,111875,172500,-2147483648,2082000,3,2082000,111875,84,84,2082000,172500,111875,-2147483648,3,111875,172500,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479387193,false,true,-2147483648,84,180937,170625,-2147483648,2082000,3,2082000,180937,84,84,2082000,170625,180937,-2147483648,3,180937,170625,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479387725,false,true,-2147483648,84,109062,169375,-2147483648,2082000,3,2082000,109062,84,84,2082000,169375,109062,-2147483648,3,109062,169375,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479388260,false,true,-2147483648,84,125937,167500,-2147483648,2082000,3,2082000,125937,84,84,2082000,167500,125937,-2147483648,3,125937,167500,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479388793,false,true,-2147483648,84,105312,165625,-2147483648,2082000,3,2082000,105312,84,84,2082000,165625,105312,-2147483648,3,105312,165625,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479389323,false,true,-2147483648,84,110625,163750,-2147483648,2082000,3,2082000,110625,84,84,2082000,163750,110625,-2147483648,3,110625,163750,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
1683479389864,false,true,-2147483648,84,130312,163437,-2147483648,2082000,3,2082000,130312,84,84,2082000,163437,130312,-2147483648,3,130312,163437,-2147483648,84,2082000,2,17303567,84,0,100,3,Li-ion,264,4111
