Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683467787453,false,true,-2147483648,93,540312,201875,-2147483648,2288000,3,2288000,540312,93,93,2288000,201875,540312,-2147483648,3,540312,201875,-2147483648,93,2288000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467787976,false,true,-2147483648,93,192500,211875,-2147483648,2287000,3,2287000,192500,93,93,2287000,211875,192500,-2147483648,3,192500,211875,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467788527,false,true,-2147483648,93,163437,209687,-2147483648,2287000,3,2287000,163437,93,93,2287000,209687,163437,-2147483648,3,163437,209687,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467789080,false,true,-2147483648,93,137187,206875,-2147483648,2287000,3,2287000,137187,93,93,2287000,206875,137187,-2147483648,3,137187,206875,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467789608,false,true,-2147483648,93,296250,201875,-2147483648,2287000,3,2287000,296250,93,93,2287000,201875,296250,-2147483648,3,296250,201875,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467790160,false,true,-2147483648,93,163125,205000,-2147483648,2287000,3,2287000,163125,93,93,2287000,205000,163125,-2147483648,3,163125,205000,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467790698,false,true,-2147483648,93,114375,200625,-2147483648,2287000,3,2287000,114375,93,93,2287000,200625,114375,-2147483648,3,114375,200625,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467791244,false,true,-2147483648,93,276875,198125,-2147483648,2287000,3,2287000,276875,93,93,2287000,198125,276875,-2147483648,3,276875,198125,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467791783,false,true,-2147483648,93,140625,197500,-2147483648,2287000,3,2287000,140625,93,93,2287000,197500,140625,-2147483648,3,140625,197500,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
1683467792328,false,true,-2147483648,93,163125,194687,-2147483648,2287000,3,2287000,163125,93,93,2287000,194687,163125,-2147483648,3,163125,194687,-2147483648,93,2287000,2,17303567,93,0,100,3,Li-ion,271,4159
