Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683468298568,false,true,-2147483648,92,279062,194375,-2147483648,2257000,3,2257000,279062,92,92,2257000,194375,279062,-2147483648,3,279062,194375,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468299108,false,true,-2147483648,92,139062,197187,-2147483648,2257000,3,2257000,139062,92,92,2257000,197187,139062,-2147483648,3,139062,197187,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468299651,false,true,-2147483648,92,158750,195312,-2147483648,2257000,3,2257000,158750,92,92,2257000,195312,158750,-2147483648,3,158750,195312,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468300194,false,true,-2147483648,92,127187,191562,-2147483648,2257000,3,2257000,127187,92,92,2257000,191562,127187,-2147483648,3,127187,191562,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468300733,false,true,-2147483648,92,117500,189687,-2147483648,2257000,3,2257000,117500,92,92,2257000,189687,117500,-2147483648,3,117500,187500,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468301274,false,true,-2147483648,92,169375,188437,-2147483648,2257000,3,2257000,169375,92,92,2257000,188437,169375,-2147483648,3,169375,188437,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468301814,false,true,-2147483648,92,171875,187187,-2147483648,2257000,3,2257000,171875,92,92,2257000,187187,171875,-2147483648,3,171875,187187,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468302383,false,true,-2147483648,92,203750,187812,-2147483648,2257000,3,2257000,203750,92,92,2257000,187812,203750,-2147483648,3,203750,187812,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468302931,false,true,-2147483648,92,118125,185937,-2147483648,2257000,3,2257000,118125,92,92,2257000,185937,118125,-2147483648,3,118125,185937,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468303466,false,true,-2147483648,92,97187,183750,-2147483648,2257000,3,2257000,97187,92,92,2257000,183750,97187,-2147483648,3,97187,183750,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468304011,false,true,-2147483648,92,129687,179062,-2147483648,2257000,3,2257000,129687,92,92,2257000,179062,129687,-2147483648,3,129687,179062,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468304560,false,true,-2147483648,92,103750,177500,-2147483648,2257000,3,2257000,103750,92,92,2257000,177500,103750,-2147483648,3,103750,177500,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
1683468305101,false,true,-2147483648,92,209375,175312,-2147483648,2257000,3,2257000,209375,92,92,2257000,175312,209375,-2147483648,3,209375,175312,-2147483648,92,2257000,2,17303567,92,0,100,3,Li-ion,278,4200
