Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683495938374,false,true,-2147483648,86,455937,204375,-2147483648,2124000,3,2124000,455937,86,86,2124000,204375,455937,-2147483648,3,455937,204375,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495938901,false,true,-2147483648,86,236875,212187,-2147483648,2124000,3,2124000,236875,86,86,2124000,212187,236875,-2147483648,3,236875,212187,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495939458,false,true,-2147483648,86,93125,211562,-2147483648,2124000,3,2124000,93125,86,86,2124000,211562,93125,-2147483648,3,93125,211562,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495940022,false,true,-2147483648,86,126562,205312,-2147483648,2124000,3,2124000,126562,86,86,2124000,205312,126562,-2147483648,3,126562,205312,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495940561,false,true,-2147483648,86,203750,202500,-2147483648,2124000,3,2124000,203750,86,86,2124000,202500,203750,-2147483648,3,203750,202500,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495941110,false,true,-2147483648,86,213750,202812,-2147483648,2124000,3,2124000,213750,86,86,2124000,202812,213750,-2147483648,3,213750,202812,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495941669,false,true,-2147483648,86,186250,201250,-2147483648,2124000,3,2124000,186250,86,86,2124000,201250,186250,-2147483648,3,186250,201250,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495942236,false,true,-2147483648,86,190000,200312,-2147483648,2124000,3,2124000,217500,86,86,2124000,200312,217500,-2147483648,3,217500,200312,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495942767,false,true,-2147483648,86,214375,200937,-2147483648,2124000,3,2124000,214375,86,86,2124000,200937,214375,-2147483648,3,214375,200937,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
1683495943308,false,true,-2147483648,86,98437,200000,-2147483648,2124000,3,2124000,98437,86,86,2124000,200000,98437,-2147483648,3,98437,200000,-2147483648,86,2124000,2,17303567,86,0,100,3,Li-ion,262,4138
