Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683487072550,false,true,-2147483648,91,235312,199687,-2147483648,2242000,3,2242000,235312,91,91,2242000,199687,235312,-2147483648,3,235312,199687,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487073076,false,true,-2147483648,91,171875,201875,-2147483648,2242000,3,2242000,171875,91,91,2242000,201875,171875,-2147483648,3,171875,201875,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487073616,false,true,-2147483648,91,114375,200937,-2147483648,2242000,3,2242000,114375,91,91,2242000,200937,114375,-2147483648,3,114375,200937,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487074154,false,true,-2147483648,91,96875,197500,-2147483648,2242000,3,2242000,96875,91,91,2242000,197500,96875,-2147483648,3,96875,197500,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487074677,false,true,-2147483648,91,256875,194375,-2147483648,2242000,3,2242000,256875,91,91,2242000,194375,256875,-2147483648,3,256875,194375,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487075218,false,true,-2147483648,91,100937,197812,-2147483648,2242000,3,2242000,100937,91,91,2242000,197812,100937,-2147483648,3,100937,197812,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487075772,false,true,-2147483648,91,118125,195000,-2147483648,2242000,3,2242000,118125,91,91,2242000,195000,118125,-2147483648,3,118125,192500,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487076337,false,true,-2147483648,91,215625,189687,-2147483648,2242000,3,2242000,215625,91,91,2242000,189687,215625,-2147483648,3,215625,189687,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487076886,false,true,-2147483648,91,102812,187812,-2147483648,2242000,3,2242000,102812,91,91,2242000,187812,102812,-2147483648,3,102812,187812,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
1683487077447,false,true,-2147483648,91,136562,185625,-2147483648,2242000,3,2242000,136562,91,91,2242000,185625,136562,-2147483648,3,136562,185625,-2147483648,91,2242000,2,17303567,91,0,100,3,Li-ion,257,4202
