Timestamp,ACTION_CHARGING,ACTION_DISCHARGING,BATTERY_HEALTH_COLD,BATTERY_HEALTH_DEAD,BATTERY_HEALTH_GOOD,BATTERY_HEALTH_OVERHEAT,BATTERY_HEALTH_OVER_VOLTAGE,BATTERY_HEALTH_UNKNOWN,BATTERY_HEALTH_UNSPECIFIED_FAILURE,BATTERY_PLUGGED_AC,BATTERY_PLUGGED_USB,BATTERY_PLUGGED_WIRELESS,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CURRENT_NOW,BATTERY_PROPERTY_ENERGY_COUNTER,BATTERY_PROPERTY_STATUS,BATTERY_STATUS_CHARGING,BATTERY_STATUS_DISCHARGING,BATTERY_STATUS_FULL,BATTERY_STATUS_NOT_CHARGING,BATTERY_STATUS_UNKNOWN,EXTRA_HEALTH,EXTRA_ICON_SMALL,EXTRA_LEVEL,EXTRA_PLUGGED,EXTRA_SCALE,EXTRA_STATUS,EXTRA_TECHNOLOGY,EXTRA_TEMPERATURE,EXTRA_VOLTAGE
1683476211850,false,true,-2147483648,90,526250,204062,-2147483648,2227000,3,2227000,526250,90,90,2227000,204062,526250,-2147483648,3,526250,204062,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476212377,false,true,-2147483648,90,405937,216875,-2147483648,2227000,3,2227000,405937,90,90,2227000,216875,405937,-2147483648,3,405937,216875,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476212914,false,true,-2147483648,90,163437,222812,-2147483648,2227000,3,2227000,163437,90,90,2227000,222812,163437,-2147483648,3,163437,222812,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476213448,false,true,-2147483648,90,159062,220937,-2147483648,2227000,3,2227000,159062,90,90,2227000,220937,159062,-2147483648,3,159062,220937,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476213972,false,true,-2147483648,90,166875,219062,-2147483648,2227000,3,2227000,166875,90,90,2227000,219062,166875,-2147483648,3,166875,219062,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476214522,false,true,-2147483648,90,233437,215000,-2147483648,2227000,3,2227000,233437,90,90,2227000,215000,233437,-2147483648,3,233437,215000,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476215064,false,true,-2147483648,90,166562,214062,-2147483648,2227000,3,2227000,166562,90,90,2227000,214062,166562,-2147483648,3,166562,214062,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476215600,false,true,-2147483648,90,299375,211875,-2147483648,2227000,3,2227000,299375,90,90,2227000,211875,299375,-2147483648,3,299375,211875,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476216148,false,true,-2147483648,90,254375,215937,-2147483648,2227000,3,2227000,254375,90,90,2227000,215937,254375,-2147483648,3,254375,215937,-2147483648,90,2227000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476216694,false,true,-2147483648,90,216562,215625,-2147483648,2226000,3,2226000,216562,90,90,2226000,215625,216562,-2147483648,3,216562,215625,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476217238,false,true,-2147483648,90,182500,213125,-2147483648,2226000,3,2226000,182500,90,90,2226000,213125,182500,-2147483648,3,182500,213125,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476217776,false,true,-2147483648,90,226875,212187,-2147483648,2226000,3,2226000,226875,90,90,2226000,212187,226875,-2147483648,3,226875,212187,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476218321,false,true,-2147483648,90,198750,212187,-2147483648,2226000,3,2226000,198750,90,90,2226000,212187,198750,-2147483648,3,198750,212187,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476218856,false,true,-2147483648,90,164375,211875,-2147483648,2226000,3,2226000,164375,90,90,2226000,211875,164375,-2147483648,3,164375,211875,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476219401,false,true,-2147483648,90,194062,208750,-2147483648,2226000,3,2226000,194062,90,90,2226000,208750,194062,-2147483648,3,194062,208750,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476219947,false,true,-2147483648,90,194375,208437,-2147483648,2226000,3,2226000,194375,90,90,2226000,207812,194375,-2147483648,3,194375,207812,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476220485,false,true,-2147483648,90,259687,207812,-2147483648,2226000,3,2226000,259687,90,90,2226000,207812,259687,-2147483648,3,259687,207812,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476221025,false,true,-2147483648,90,166562,208125,-2147483648,2226000,3,2226000,166562,90,90,2226000,208125,166562,-2147483648,3,166562,208125,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476221568,false,true,-2147483648,90,135625,209375,-2147483648,2226000,3,2226000,135625,90,90,2226000,209375,135625,-2147483648,3,135625,209375,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476222106,false,true,-2147483648,90,160625,205625,-2147483648,2226000,3,2226000,160625,90,90,2226000,205625,160625,-2147483648,3,160625,205625,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476222650,false,true,-2147483648,90,145625,207187,-2147483648,2226000,3,2226000,145625,90,90,2226000,207187,145625,-2147483648,3,145625,207187,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476223191,false,true,-2147483648,90,251875,206562,-2147483648,2226000,3,2226000,251875,90,90,2226000,206562,251875,-2147483648,3,260937,206562,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476223729,false,true,-2147483648,90,181250,208437,-2147483648,2226000,3,2226000,181250,90,90,2226000,208437,181250,-2147483648,3,181250,208437,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476224272,false,true,-2147483648,90,195312,205625,-2147483648,2226000,3,2226000,195312,90,90,2226000,205625,195312,-2147483648,3,195312,205625,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476224807,false,true,-2147483648,90,195312,205312,-2147483648,2226000,3,2226000,195312,90,90,2226000,205312,195312,-2147483648,3,195312,205312,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476225359,false,true,-2147483648,90,151250,203750,-2147483648,2226000,3,2226000,151250,90,90,2226000,203750,151250,-2147483648,3,151250,203750,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476225901,false,true,-2147483648,90,182500,202187,-2147483648,2226000,3,2226000,182500,90,90,2226000,202187,182500,-2147483648,3,182500,202187,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476226444,false,true,-2147483648,90,170937,200000,-2147483648,2226000,3,2226000,170937,90,90,2226000,200000,170937,-2147483648,3,170937,200000,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
1683476226981,false,true,-2147483648,90,220937,199687,-2147483648,2226000,3,2226000,220937,90,90,2226000,199687,220937,-2147483648,3,220937,199687,-2147483648,90,2226000,2,17303567,90,0,100,3,Li-ion,274,4187
